"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.伝票金額","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.価格","D.オーダー日時","D.数量","D.オーダーステータス"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","ウーバーイーツ","00000001205:大盛り","200","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","ウーバーイーツ","00000001205:大盛り","200","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","ウーバーイーツ","00000001205:大盛り","200","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","ウーバーイーツ","00000001475:Uberおしんこ盛り","900","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","ウーバーイーツ","00000001475:Uberおしんこ盛り","900","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","ウーバーイーツ","00000001475:Uberおしんこ盛り","900","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000778","2026/06/01","月","2026/06/01 13:37:05","2026/06/01 13:54:41","0","43000","43000","15","テイクアウト","ウーバーイーツ","00000001475:Uberおしんこ盛り","900","2026/06/01 13:37:05","1","20:配膳済"
"No:202600200000779","2026/06/01","月","2026/06/01 14:34:01","2026/06/01 16:49:49","0","8600","8600","1","テイクアウト","出前館","00000000530:Uber白焼き","8600","2026/06/01 14:34:01","1","20:配膳済"
"No:202600200000780","2026/06/01","月","2026/06/01 17:50:03","2026/06/01 21:47:38","0","17700","17700","4","テイクアウト","出前館","00000002579:Uberうな重松","9400","2026/06/01 17:50:03","1","20:配膳済"
"No:202600200000780","2026/06/01","月","2026/06/01 17:50:03","2026/06/01 21:47:38","0","17700","17700","4","テイクアウト","ウーバーイーツ","00000001205:大盛り","200","2026/06/01 17:50:03","1","20:配膳済"
"No:202600200000780","2026/06/01","月","2026/06/01 17:50:03","2026/06/01 21:47:38","0","17700","17700","4","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/01 17:50:03","1","20:配膳済"
"No:202600200000780","2026/06/01","月","2026/06/01 17:50:03","2026/06/01 21:47:38","0","17700","17700","4","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/01 17:50:03","1","20:配膳済"
"No:202600200000781","2026/06/01","月","2026/06/01 18:19:16","2026/06/01 21:47:45","0","5730","5730","2","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/01 18:19:16","1","20:配膳済"
"No:202600200000781","2026/06/01","月","2026/06/01 18:19:16","2026/06/01 21:47:45","0","5730","5730","2","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","30","2026/06/01 18:19:16","1","20:配膳済"
"No:202600200000782","2026/06/01","月","2026/06/01 18:35:54","2026/06/01 21:47:53","0","15600","15600","2","テイクアウト","menu","00000002586:menuうな重竹","7800","2026/06/01 18:35:54","1","20:配膳済"
"No:202600200000782","2026/06/01","月","2026/06/01 18:35:54","2026/06/01 21:47:53","0","15600","15600","2","テイクアウト","menu","00000002586:menuうな重竹","7800","2026/06/01 18:35:54","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","お通し","00000000443:お通し","700","2026/06/01 19:48:42","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","お通し","00000000443:お通し","700","2026/06/01 19:48:42","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ビール","00000000404:オールフリー","600","2026/06/01 19:48:42","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ソフトドリンク","00000000436:コーラ","500","2026/06/01 19:48:42","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","鰻料理","00000000359:肝焼き","600","2026/06/01 19:50:30","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","鰻料理","00000000359:肝焼き","600","2026/06/01 19:50:30","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","ふぐ料理","00000000372:ふぐ刺し","6000","2026/06/01 19:50:30","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","揚げ物","00000001030:牡蠣フライ2個","1000","2026/06/01 19:50:30","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","一品料理","00000000388:マグロ納豆","1000","2026/06/01 19:50:30","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","一品料理","00000000475:ほうれん草胡麻和え","800","2026/06/01 19:50:30","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","お通し","00000000443:お通し","700","2026/06/01 20:15:46","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ビール","00000000404:オールフリー","600","2026/06/01 20:18:28","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ソフトドリンク","00000000436:コーラ","500","2026/06/01 20:18:28","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ソフトドリンク","00000001187:ジンジャーエール","500","2026/06/01 20:18:28","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","揚げ物","00000001030:牡蠣フライ2個","1000","2026/06/01 20:19:05","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","鰻料理","00000000357:うなぎ白焼き","6000","2026/06/01 20:26:21","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","揚げ物","00000001027:うまから揚げ","1000","2026/06/01 20:26:21","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","鰻料理","00000000359:肝焼き","600","2026/06/01 20:27:12","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ビール","00000000404:オールフリー","600","2026/06/01 20:37:35","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","お刺身","00000000469:あじ","1200","2026/06/01 21:01:12","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","ランチドリンク","00000002542:ジンジャーエール","0","2026/06/01 21:01:12","0","30:キャンセル済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","フード","鰻料理","00000000358:う巻","4500","2026/06/01 21:01:12","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ビール","00000000404:オールフリー","600","2026/06/01 21:41:05","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ビール","00000000404:オールフリー","600","2026/06/01 21:41:05","1","20:配膳済"
"No:202600200000783","2026/06/01","月","2026/06/01 19:48:42","2026/06/01 21:42:01","3","34540","34540","24","ドリンク","ソフトドリンク","00000001187:ジンジャーエール","500","2026/06/01 21:41:24","1","20:配膳済"
"No:202600200000784","2026/06/01","月","2026/06/01 19:53:37","2026/06/01 21:48:00","0","7600","7600","2","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/01 19:53:37","1","20:配膳済"
"No:202600200000784","2026/06/01","月","2026/06/01 19:53:37","2026/06/01 21:48:00","0","7600","7600","2","テイクアウト","ウーバーイーツ","00000001481:Uber豆腐サラダ","1900","2026/06/01 19:53:37","1","20:配膳済"
"No:202600200000785","2026/06/01","月","2026/06/01 20:47:12","2026/06/01 21:48:08","0","13500","13500","2","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/01 20:47:12","1","20:配膳済"
"No:202600200000785","2026/06/01","月","2026/06/01 20:47:12","2026/06/01 21:48:08","0","13500","13500","2","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/01 20:47:12","1","20:配膳済"
"No:202600200000786","2026/06/01","月","2026/06/01 21:14:57","2026/06/01 21:48:16","0","9000","9000","3","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/01 21:14:57","1","20:配膳済"
"No:202600200000786","2026/06/01","月","2026/06/01 21:14:57","2026/06/01 21:48:16","0","9000","9000","3","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/01 21:14:57","1","20:配膳済"
"No:202600200000786","2026/06/01","月","2026/06/01 21:14:57","2026/06/01 21:48:16","0","9000","9000","3","テイクアウト","ウーバーイーツ","00000001475:Uberおしんこ盛り","900","2026/06/01 21:14:57","1","20:配膳済"
"No:202600200000787","2026/06/02","火","2026/06/02 11:30:52","2026/06/02 12:24:36","2","7600","2600","2","コース","コース","00000003215:ランチ梅セット1ドリンク","3800","2026/06/02 11:30:52","1","20:配膳済"
"No:202600200000787","2026/06/02","火","2026/06/02 11:30:52","2026/06/02 12:24:36","2","7600","2600","2","コース","コース","00000003215:ランチ梅セット1ドリンク","3800","2026/06/02 11:30:52","1","20:配膳済"
"No:202600200000788","2026/06/02","火","2026/06/02 11:38:27","2026/06/02 12:25:54","2","11500","11500","3","フード","ランチ","00000001984:ランチうな重","5500","2026/06/02 11:38:27","1","20:配膳済"
"No:202600200000788","2026/06/02","火","2026/06/02 11:38:27","2026/06/02 12:25:54","2","11500","11500","3","フード","ランチ","00000001984:ランチうな重","5500","2026/06/02 11:38:27","1","20:配膳済"
"No:202600200000788","2026/06/02","火","2026/06/02 11:38:27","2026/06/02 12:25:54","2","11500","11500","3","フード","ランチサイド","00000002641:カキフライ1個","500","2026/06/02 11:38:35","1","20:配膳済"
"No:202600200000789","2026/06/02","火","2026/06/02 16:34:23","2026/06/02 16:43:22","0","8300","8300","3","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/02 16:34:23","1","20:配膳済"
"No:202600200000789","2026/06/02","火","2026/06/02 16:34:23","2026/06/02 16:43:22","0","8300","8300","3","テイクアウト","ウーバーイーツ","00000001205:大盛り","200","2026/06/02 16:34:23","1","20:配膳済"
"No:202600200000789","2026/06/02","火","2026/06/02 16:34:23","2026/06/02 16:43:22","0","8300","8300","3","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/02 16:34:23","1","20:配膳済"
"No:202600200000790","2026/06/02","火","2026/06/02 17:23:01","2026/06/02 20:33:27","0","23400","23400","4","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/02 17:23:01","1","20:配膳済"
"No:202600200000790","2026/06/02","火","2026/06/02 17:23:01","2026/06/02 20:33:27","0","23400","23400","4","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/02 17:23:01","1","20:配膳済"
"No:202600200000790","2026/06/02","火","2026/06/02 17:23:01","2026/06/02 20:33:27","0","23400","23400","4","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/02 17:23:01","1","20:配膳済"
"No:202600200000790","2026/06/02","火","2026/06/02 17:23:01","2026/06/02 20:33:27","0","23400","23400","4","テイクアウト","ウーバーイーツ","00000001478:Uberとろろサラダ","2100","2026/06/02 17:23:01","1","20:配膳済"
"No:202600200000791","2026/06/02","火","2026/06/02 17:28:46","2026/06/02 20:34:05","0","6030","6030","3","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/02 17:28:46","1","20:配膳済"
"No:202600200000791","2026/06/02","火","2026/06/02 17:28:46","2026/06/02 20:34:05","0","6030","6030","3","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/02 17:28:46","1","20:配膳済"
"No:202600200000791","2026/06/02","火","2026/06/02 17:28:46","2026/06/02 20:34:05","0","6030","6030","3","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","30","2026/06/02 17:28:46","1","20:配膳済"
"No:202600200000792","2026/06/02","火","2026/06/02 17:33:56","2026/06/02 20:37:18","0","5760","5760","3","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/02 17:33:56","1","20:配膳済"
"No:202600200000792","2026/06/02","火","2026/06/02 17:33:56","2026/06/02 20:37:18","0","5760","5760","3","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","30","2026/06/02 17:33:56","1","20:配膳済"
"No:202600200000792","2026/06/02","火","2026/06/02 17:33:56","2026/06/02 20:37:18","0","5760","5760","3","ウーバーイーツ","鰻料理","00000003299:Uber山椒小袋","30","2026/06/02 17:33:56","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","お通し","00000000443:お通し","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","お通し","00000000443:お通し","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","お通し","00000000443:お通し","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","お通し","00000000443:お通し","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","お通し","00000000443:お通し","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","700","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","日本酒","00000001185:テラザス","6500","2026/06/02 18:04:49","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","一品料理","00000003526:旬菜3点盛り","1000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","一品料理","00000003526:旬菜3点盛り","1000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","一品料理","00000003526:旬菜3点盛り","1000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","一品料理","00000003526:旬菜3点盛り","1000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","一品料理","00000003526:旬菜3点盛り","1000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","サラダ","00000002354:チョレギサラダ","1000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","揚げ物","00000001029:たこの唐揚げ","1000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","鰻料理","00000000357:うなぎ白焼き","6000","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","鰻料理","00000000358:う巻","4500","2026/06/02 18:09:30","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","700","2026/06/02 18:20:03","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","700","2026/06/02 18:20:03","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000000421:吉四六 グラス","850","2026/06/02 18:29:37","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","ビール","00000000400:ｻﾞ･ﾌﾟﾚﾐｱﾑ･ﾓﾙﾂ ﾀﾝﾌﾞﾗｰ","700","2026/06/02 18:35:31","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000000466:梅干し","200","2026/06/02 18:35:31","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","揚げ物","00000001027:うまから揚げ","1000","2026/06/02 18:58:46","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000000421:吉四六 グラス","850","2026/06/02 18:59:01","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000000466:梅干し","200","2026/06/02 18:59:01","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000002213:しき焼酎(芋)","800","2026/06/02 18:59:01","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","鰻料理","00000002577:うな重竹","5800","2026/06/02 19:13:55","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","鰻料理","00000002577:うな重竹","5800","2026/06/02 19:13:55","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","フード","鰻料理","00000002578:うな重梅","4200","2026/06/02 19:13:55","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000000421:吉四六 グラス","850","2026/06/02 19:37:18","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000002213:しき焼酎(芋)","800","2026/06/02 19:37:18","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000002213:しき焼酎(芋)","800","2026/06/02 19:37:18","1","20:配膳済"
"No:202600200000793","2026/06/02","火","2026/06/02 18:04:49","2026/06/02 19:49:31","5","59305","59305","35","ドリンク","焼酎グラス","00000002214:しき焼酎(麦)","800","2026/06/02 19:37:18","1","20:配膳済"
"No:202600200000794","2026/06/02","火","2026/06/02 18:12:23","2026/06/02 20:37:29","0","21450","21450","6","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/02 18:12:23","1","20:配膳済"
"No:202600200000794","2026/06/02","火","2026/06/02 18:12:23","2026/06/02 20:37:29","0","21450","21450","6","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/02 18:12:23","1","20:配膳済"
"No:202600200000794","2026/06/02","火","2026/06/02 18:12:23","2026/06/02 20:37:29","0","21450","21450","6","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/02 18:12:23","1","20:配膳済"
"No:202600200000794","2026/06/02","火","2026/06/02 18:12:23","2026/06/02 20:37:29","0","21450","21450","6","テイクアウト","出前館","00000000520:Uber肝焼き","750","2026/06/02 18:12:23","1","20:配膳済"
"No:202600200000794","2026/06/02","火","2026/06/02 18:12:23","2026/06/02 20:37:29","0","21450","21450","6","テイクアウト","出前館","00000000520:Uber肝焼き","750","2026/06/02 18:12:23","1","20:配膳済"
"No:202600200000794","2026/06/02","火","2026/06/02 18:12:23","2026/06/02 20:37:29","0","21450","21450","6","テイクアウト","出前館","00000000520:Uber肝焼き","750","2026/06/02 18:12:23","1","20:配膳済"
"No:202600200000795","2026/06/02","火","2026/06/02 18:47:09","2026/06/02 20:37:44","0","21700","21700","4","テイクアウト","出前館","00000002580:Uberうな重竹","7800","2026/06/02 18:47:09","1","20:配膳済"
"No:202600200000795","2026/06/02","火","2026/06/02 18:47:09","2026/06/02 20:37:44","0","21700","21700","4","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/02 18:47:09","1","20:配膳済"
"No:202600200000795","2026/06/02","火","2026/06/02 18:47:09","2026/06/02 20:37:44","0","21700","21700","4","テイクアウト","ウーバーイーツ","00000001457:Uberう巻","6100","2026/06/02 18:47:09","1","20:配膳済"
"No:202600200000795","2026/06/02","火","2026/06/02 18:47:09","2026/06/02 20:37:44","0","21700","21700","4","テイクアウト","ウーバーイーツ","00000001478:Uberとろろサラダ","2100","2026/06/02 18:47:09","1","20:配膳済"
"No:202600200000796","2026/06/02","火","2026/06/02 18:56:45","2026/06/02 20:38:07","0","6000","6000","2","テイクアウト","出前館","00000002581:Uberうな重梅","5700","2026/06/02 18:56:45","1","20:配膳済"
"No:202600200000796","2026/06/02","火","2026/06/02 18:56:45","2026/06/02 20:38:07","0","6000","6000","2","ウーバーイーツ","鰻料理","00000002226:Uber鰻のタレ","300","2026/06/02 18:56:45","1","20:配膳済"
"No:202600200000797","2026/06/02","火","2026/06/02 19:19:47","2026/06/02 20:19:44","2","16050","16050","9","フード","お通し","00000000443:お通し","700","2026/06/02 19:19:47","1","20:配膳済"
