管理No,テーマ,タイトル,フック,解決策,エンド,ネタメモ,カテゴリ,元No
11,ハンバーガー業態を選ぶ方は本気で覚悟した方がいい事実（マクド）,ハンバーガー業態を選ぶ方は本気で覚悟した方がいい事実（マクド）,ハンバーガー業態を選ぶなら本気で覚悟した方がいいですよ,"なぜなら一般人のイメージは競合がマクドナルドだからです
なので美味しいだけでは絶対に勝てません
価格、スピード、安定感、認知、全てにおいて個人店はほぼ負けます","マクドと比べられない設計を先に作ること
・時間
・価格
・食べる理由
・使うシーン
ここをずらせないなら、ハンバーガー業態は絶対に選ばない方がいい",ハンバーガー業態を選ぶ方は本気で覚悟した方がいい事実（マクド）,新テーマ,11
12,暑くなる時期の食中毒対策,暑くなる時期の食中毒対策,食中毒対策、暑くなる前から始めんと手遅れになりますよ,"・夏だけ仕込み量を減らす
・ピーク前後で触る食材を固定する
・判断が必要な工程を一つ減らす
・冷蔵庫の使い方を人基準から場所基準に変える",この夏、注意喚起を増やす前に、一工程だけ減らせないかそれを考えてください,暑くなる時期の食中毒対策,トリガー,12
13,タンとハラミばっかり出てしんどいわって焼肉店のオーナーさん（メニュー表、指南書メニュー）,タンとハラミばっかり出てしんどいわって焼肉店のオーナーさん（メニュー表、指南書メニュー）,タンとハラミばっかり出てしんどいわって焼肉店のオーナーさん,タンとハラミが出すぎるお店は注文を設計できていないお店です,"同じ場所・同じ文字サイズに置く必要はありません
・出したい肉
・利益が残る肉
・在庫を回したい肉
これを意図的に目立たせることが重要です",タンとハラミばっかり出てしんどいわって焼肉店のオーナーさん（メニュー表、指南書メニュー）,過去に伸びたもの,1
14,昼ピークで終わる、夜対策してへん蕎麦屋さん,昼ピークで終わる、夜対策してへん蕎麦屋さん,"昼ピークで終わる、夜対策してへんお蕎麦屋さん
昼の営業のまま夜惰性でやってませんか？","夜のお客は時間を使って何を楽しむかを選びに来てるので
同じ蕎麦を出してるだけで勝てるわけがない","昼が強いから仕方ないはただの思考停止です
夜に必要なのは商品じゃなく来店するための理由です",昼ピークで終わる、夜対策してへん蕎麦屋さん,過去に伸びたもの,2
15,“安定”という言葉が存在しない=キッチンカー　ブランドにお客様が付かない,“安定”という言葉が存在しない=キッチンカー　ブランドにお客様が付かない,キッチンカーには安定という言葉が存在しません,キッチンカーでお客様がお店に付かないのは場所か習慣でしか覚えてないからです,"キッチンカーで店名を覚えてもらおうとしているなら戦い方を間違えています
キッチンカーでやるべき正解はブランド作りじゃくて一発で選ばれる理由を毎回作ることです",“安定”という言葉が存在しない=キッチンカー　ブランドにお客様が付かない,過去に伸びたもの,3
16,特別な日需要で戦ってるケーキ屋さんは長く持ちません,特別な日需要で戦ってるケーキ屋さんは長く持ちません,"誕生日がないと思い出されへんケーキ屋さん
「このお店何もない日は来られへんわ」って思われてますよ","ケーキ屋を長く続けたいなら特別じゃない日に買われる理由が必要です
何もない日に選ばれへんお店は売上も人も安定しません","サイズを日常サイズに落としたり、自分用ブランディングをしてみたり、曜日戦略もあります。
明日できることから初めて見たいので、ぜひこんなことしてますよっていう実例はコメントお願いします！",特別な日需要で戦ってるケーキ屋さんは長く持ちません,過去に伸びたもの,4
17,夏の鍋屋さん、冬のアイス屋さん さてどう戦いますか？,夏の鍋屋さん、冬のアイス屋さん さてどう戦いますか？,夏の鍋屋さん、冬のアイス屋さん さてどう戦いますか？,"夏の鍋屋：「うちの鍋はあっさりで夏でも美味しい」
冬のアイス屋：「暖房の効いた店内で食べると美味しい」
みたいな商品説明してないですよね？
こういう時こそタイミングトリガーを使ってください","状態の定義をして状態に名前をつけてあげてください
みなさんはどうやって戦ってますか？ぜひ教えてください","夏の鍋屋さん、冬のアイス屋さん
さてどう戦いますか？",今伸びてるもの,5
18,お好み焼きの地域の話＋おでんの牛すじ,お好み焼きの地域の話＋おでんの牛すじ,"お好み焼きって、関西と関東で出てき方が全然違うの知ってましたか？
こういう文化の違いを経営のヒントに落とし込めてこそ経営者です","関西は焼いたものが出てくる
関東は焼く前の状態が出てきて自分で焼く
これ料理の違いじゃなく何を楽しむかの違いです",もんじゃの文化もあるからかもしれませんが、焼く体験やそこでの会話がコンテンツになってるのが関東なんです,お好み焼きの地域の話＋おでんの牛すじ,今伸びてるもの,6
19,商業施設集客で困ってるオーナーは絶対に意識すべき,商業施設集客で困ってるオーナーは絶対に意識すべき,商業施設集客で困ってるオーナーほどSNSをやってはいけないです,"「目的来店」じゃなく「ついで需要」を取りにいくということを理解しないといけないです
ということはSNSなどで来店理由を発信するのではなく立ち寄り理由を作ることが先決です","商業施設は良い店が勝つ場所じゃなくて分かりやすい店が勝つ場所です
☑︎「〇〇のついでに」が言語化されている
☑︎ 店頭で一文で分かる
 ☑︎初来店の一択がある
 ☑︎隣の店を意識している
 ☑︎時間帯で売り方が違う
このチェック3つ以下なら、集客できないのは実力じゃなく準備不足です",商業施設集客で困ってるオーナーは絶対に意識すべき,今伸びてるもの,7
20,インバウンドや観光頼りの飲食店さん、オフシーズンの準備は完璧ですか？,インバウンドや観光頼りの飲食店さん、オフシーズンの準備は完璧ですか？,インバウンドや観光頼りの飲食店さん、オフシーズンの準備は完璧ですか？,"暇になる時の準備をしてる店はほとんどありません
耐え方を先に決めるだけの話です","オフシーズンは、頑張る時期じゃありません
もし今、忙しいから後で考えると思っているならそれが一番危ないです
明日一回観光客がいない前提で自分の店を見直してみてください
それができる店だけが次の繁忙期を強く迎えられます",インバウンドや観光頼りの飲食店さん、オフシーズンの準備は完璧ですか？,今伸びてるもの,8
21,インバウンド特化にして日本人が入りづらいって言ってたら経営者失格です,インバウンド特化にして日本人が入りづらいって言ってたら経営者失格です,インバウンド特化にしてるくせに日本人が入りづらいって言ってたら経営者失格です,あえて対象外のペルソナを指定することでマーケティングをしやすくする戦略もあるんです,"特化とは他を切ることではないです
切っても壊れない状態を先に作ることです",インバウンド特化にして日本人が入りづらいって言ってたら経営者失格です,今伸びてるもの,9
22,GW明けでスッタフがやめたのがじわじわ効いてきてる頃ちゃいますか？,GW明けでスッタフがやめたのがじわじわ効いてきてる頃ちゃいますか？,GW明けでスッタフがやめたのがじわじわ効いてきてる頃ちゃいますか？,"人が辞めた店で本当に困るのは人手不足じゃなくて
新人を迎える準備が何もなかったことです","新人が迷わず動ける状態を作ること
・最初の1日で何をやるか
・1週間でどこまで任せるか
・誰に聞けばいいか
これが決まってない店ほど人は早く辞めます",GW明けでスッタフがやめたのがじわじわ効いてきてる頃ちゃいますか？,今伸びてるもの,10
23,歓送迎会のフィーバーが落ち着いて焦ってませんか？,歓送迎会のフィーバーが落ち着いて焦ってませんか？,歓送迎会のフィーバーが落ち着いて焦ってませんか？,"「売上が落ちた」のではなく、集客の準備を一切してへんかっただけ
歓送迎会という自動で人が動くボーナス期間に、何も仕込まずに終わったことが問題です
やることは3つ
・新規客を一見”で終わらせない設計
・次に来る理由（用途・名目）を事前に刷り込む
・繁忙期中に「次の売上の種」を回収する","忙しい時にマーケを考えていない店は、必ず暇な時に焦ります
歓送迎会で来た人たちに、次に来る理由を用意していたか？を正直に振り返ってください",歓送迎会のフィーバーが落ち着いて焦ってませんか？,新テーマ,11
24,ロスリーダー戦略も知らんと原価決めてたら隣の店舗に勝てませんよ,ロスリーダー戦略も知らんと原価決めてたら隣の店舗に勝てませんよ,ロスリーダー戦略も知らんと原価決めてたら隣の店舗に勝てませんよ,"価格は「集客用」「利益回収用」「比較回避用」に分けて設計してください
ロスリーダー戦略の本質は、「安く売ること」じゃなくてどの商品で客を連れてきて、どこで利益を取るかを決めて役割分担することです","今日やれることは一つ。
メニューを見て、「これは集客用か？利益用か？それとも何も考えてないか？」
この3択で全商品を仕分けてみてください",ロスリーダー戦略も知らんと原価決めてたら隣の店舗に勝てませんよ,トリガー,12
25,給料上げてもスタッフは辞めます,給料上げてもスタッフは辞めます,給料を上げても、スタッフは普通に辞めます,"人は「評価が不明確な環境」から必ず離れます。
辞める店に共通しているのはこの3つです。
・何を頑張れば評価されるのか分からない
・怒られる基準はあるが、褒められる基準がない
・店長や社長の機嫌で扱いが変わる",給料を上げる前に期待値と評価基準を言語化し、再現できる状態にすることです,給料上げてもスタッフは辞めます,過去に伸びたもの,1
26,キッチンカー経営なめたらあかん,キッチンカー経営なめたらあかん,キッチンカー経営を「初期費用が安いから簡単」ってなめたらあかん,"「事業としての前提条件」が、普通の飲食店と全く違うからです
キッチンカーは「飲食店」ではなく「移動型マーケティング事業」です
難しいと言われる理由は主に3つ。
・売上が「立地」ではなく「日と時間」に完全依存する。
・集客と営業を全部自分でやらないといけない。
・スケールしにくい。","キッチンカーは“楽な独立”じゃありません。
「自分は料理人か？それとも営業マンか？」を正直に決めてください。
この質問の意味を理解した上でやる人だけが、生き残ります。",キッチンカー経営なめたらあかん,過去に伸びたもの,2
27,お金がない！銀行に借りよう！が一番失敗します（貸してくれへん）,お金がない！銀行に借りよう！が一番失敗します（貸してくれへん）,融資は、返せる状態が説明できる人にしかお金は出ません,"融資が出る条件は「熱意」でも「夢」でもありません
返済原資が数字で説明できること、お金の使い道が“利益に変わる構造”になっていること、すでに管理できている実績があること
ここしかみられません","最低限、これだけは、即答できる状態にしておくべきです。
・営業利益はいくらか
・人件費率・原価率はいくらか
・この利益から、毎月いくら返せるか",お金がない！銀行に借りよう！が一番失敗します（貸してくれへん）,過去に伸びたもの,3
28,アルコールを売ろうとしてるのは時代遅れです,アルコールを売ろうとしてるのは時代遅れです,アルコールを売ろうとしてるのは時代遅れです,ノンアルを代替ではなく主役候補として持ち上げつつ、滞在時間・会話・食事そのものを価値付けし、「飲まなくても来ていい店」というメッセージを明確に出して行きましょう,"あなたのお店、飲まない人が楽しめる設計になっていますか？
酒を売る店は減ります。今後居心地を売る店が残る時代になるのでしっかり意識して行きましょう",アルコールを売ろうとしてるのは時代遅れです,過去に伸びたもの,4
29,店長の熱量とアルバイトの熱量に差が出始めたら危険信号です,店長の熱量とアルバイトの熱量に差が出始めたら危険信号です,店長の熱量とアルバイトの熱量に差が出始めたら危険信号です,"店長が熱く語れば語るほど人が離れて行きます
今後は数字・目的・因果・判断基準を軸に会話をしてください","ただ、創業初期や少人数フェーズでは、一時的にパッション主導が機能する場合もあります
組織になろうとした瞬間切り替えるべきです",店長の熱量とアルバイトの熱量に差が出始めたら危険信号です,今伸びてるもの,5
30,ラストオーダー30分前、めちゃくちゃ嫌な顔されました,ラストオーダー30分前、めちゃくちゃ嫌な顔されました,ラストオーダー30分前、めちゃくちゃ嫌な顔されました,"その店は次の来店を自分で捨てています
「閉店間際＝単価が下がる・いいお客様が来ない時間帯」だと、お店側が勘違いしていること","閉店間際の接客が、その店の本性です
接客は営業時間中ずっと同じ価値です
閉店が近いほど、雑にしていい時間帯なんて存在しません",ラストオーダー30分前、めちゃくちゃ嫌な顔されました,今伸びてるもの,6
31,厨房面積比率,厨房面積比率,厨房面積比率を理解せずに店を作ると開業した瞬間から利益が出ない構造が完成します,"厨房面積比率は“料理”ではなく“オペレーション”から逆算する必要があります
・一般的な飲食店：30〜40％
・オペが軽い業態：25〜30％
・仕込み重め／専門業態：40％","厨房が広すぎると席数が減って売上上限が下がる
狭すぎるとオペレーションが詰まり人件費が跳ねる
人件費率と売上天井を同時に決めているということです",厨房面積比率,今伸びてるもの,7
32,賄いは課税対象,賄いは課税対象,無料で賄い出してたら税務調査で突っ込まれますよ,"(1) 従業員が食事の価額の半分以上を負担していること
(2)（食事の価額 − 従業員負担額）が 1か月当たり 3,500円以下（税抜）であること
この2つが同時に満たされている必要があります。","賄いは条件を満たさない限り、給与課税です
賄いは善意で出すのではなく税法に従って提供しましょう",賄いは課税対象,今伸びてるもの,8
33,法人or個人,法人or個人,法人or個人で迷う人の9割は、最大の違いを見れてないです,"個人事業主の最大のメリットは何よりも固定コストがほぼ無い身軽さです
逆に最大のデメリットは利益が出るほど、全部「自分の所得」になること

法人の最大のメリットはお金を「分けて設計できる」こと
最大のデメリットは固定コストから逃げられないです",個人は稼げば稼ぐほど、個人は苦しくなるので稼ぐフェーズに入った瞬間法人成りは視野に入れましょう,法人or個人,今伸びてるもの,9
34,人時売上高,人時売上高,人時売上高は、高ければいい数字じゃありません,"人時売上高は、この式で出します。
人時売上高 ＝ 売上 ÷（労働時間の合計）","人時売上高を見ていない店は、儲かっているつもりで、静かに閉業に向かってる場合もあります
高すぎるのは未来を削って今を作っているだけ、低すぎるのは忙しいだけで利益が残らないです
健全に上がった人時売上高だけが正解です",人時売上高,今伸びてるもの,10
35,事務作業やってたらライバル店に置いていかれる,事務作業やってたらライバル店に置いていかれる,売上を伸ばしているお店ほど、現場のパソコン業務をしてません,"飲食店経営は「現場と判断」に集中した店が勝ちます
利益を直接生まない業務は、全部外注にしています","事務作業を「自分でやるか・やらないか」は、コストの話じゃなくて経営スピードの話です
もし今
・事務に追われて現場が見れていない
・数字はあるのに判断が遅れる
・社長が一番忙しい
このどれかに当てはまるなら、僕が提供している飲食店専門のバックオフィスサービスを低額でお受けできますのでいつでもご相談ください",事務作業やってたらライバル店に置いていかれる,新テーマ,11
36,税理士さんから去年の決算書そろそろ届きました？,税理士さんから去年の決算書そろそろ届きました？,税理士さんから決算書が届いても売上だけ見てたら経営者失格です,"最低限、この3つだけ見る癖をつけてください
・営業利益は増えたか、減ったか
・人件費率・原価率は去年と比べてどうか
・現金は増えているか、減っているか","決算書を読まない人に経営が上手くなる未来はありません
決算書は難しい書類ではなく経営の通知表です
去年と今年の決算書を並べて、数字が増えたか減ったかに○×をつけるだけでも理解が深まりますよ",税理士さんから去年の決算書そろそろ届きました？,トリガー,12
37,厳しい話ですが、アルバイトはお金目的です,厳しい話ですが、アルバイトはお金目的です,厳しい話ですが、アルバイトはお金目的で働きに来てます,お金は動機ではなく前提条件であってマネジメントで多くのお店が失敗する理由はお金（衛生要因）とやりがい（満足要因）を混同しているからです,"まずは衛生要因を満たしたあと判断基準を明確にし、裁量を渡し承認をしてあげてください
明日アルバイトにこう聞いてみてください。
「この店で、何を頑張れば評価されると思う？」
この質問にアルバイトが即答できないのであれば危険信号です",厳しい話ですが、アルバイトはお金目的です,過去に伸びたもの,1
38,交差原価,交差原価,あなたのお店のメニュー、お客様から「つまらん」って思われる構成になってるかもですよ,"交差原価とはメニュー全体の平均原価で判断する考え方
交差原価＝ 単品原価率 × 売上構成比で各商品の交差原価が計算できます",原価高いから値上げ・削除と早まるのではなく集客用メニュー、利益残すようメニューと使い分けられるようになりましょう,交差原価,過去に伸びたもの,2
39,計画しなさすぎ（PL）→コメントで無料面談,計画しなさすぎ（PL）→コメントで無料面談,これから飲食店を始めるのにPLを一切考えてない人、多すぎます,"飲食は勢いで始められるけど、計画なしでは生き残れないビジネスです
飲食店は、開業前にPLが描けていない時点で負けです。
・月商はいくらを狙うのか
・原価と人件費は何％にするのか
・家賃と固定費はいくらか
・最終的に、いくら残したいのか
ここからさらに
・席数
・単価
・営業時間
・人員配置
全部が逆算で決まります","もしあなたが
・これから飲食店を始める
・今まさに計画段階にいる
このどちらかなら、今が一番、軌道修正しやすいタイミングです。
今回は「これから開業」または「計画段階」の方のみ限定で、 PL計画の無料面談をやります
面談お願いしたい方はコメントください",計画しなさすぎ（PL）→コメントで無料面談,過去に伸びたもの,3
40,365日なにがあっても上げ続けられますか？（ショート動画）,365日なにがあっても上げ続けられますか？（ショート動画）,365日、何があっても上げ続けられないなら、SNS集客はやらない方がマシです,"「時間がある時にでも」
「投稿ネタが浮かんだら」
「週一投稿は頑張る」
このスタンスで集客に成功したお店はありません
SNS集客は、センスじゃなく継続できるかどうかの勝負です","・完璧を狙わない
・毎回バズらせようとしない
・反応より“投稿回数”を最優先する
SNSは1本の神投稿より、100本の普通の投稿が効きます",365日なにがあっても上げ続けられますか？（ショート動画）,過去に伸びたもの,4
41,社長の仕事は意思決定,社長の仕事は意思決定,"社長の仕事は現場ではなく意思決定です
頑張っているのに伸びひんのは努力不足じゃなくて役割を取り違えているだけです","社長がやるべき仕事は「判断」と「優先順位付け」だけ
一瞬の判断の遅れはキャッシュフローが早い飲食では致命傷です","現場を回す社長は、会社を止めます
社長が現場にいる時間が長いほど、会社は今の現状から抜け出せません
明日から
・何に投資するか
・何をやめるか
・誰に任せるか
3つを決めて仕事をしてください",社長の仕事は意思決定,今伸びてるもの,5
42,ペルソナが決まってなかったら開業時に大失敗します（メニュー開発、写真、皿などのコスト）,ペルソナが決まってなかったら開業時に大失敗します（メニュー開発、写真、皿などのコスト）,ペルソナが決まっていないまま開業すると、200万円は損します,"ペルソナはマーケの話だけじゃなくてコスト管理の話です
ペルソナが曖昧やと
・メニューが増える
・写真を撮り直す
・皿を買い替える
逆に、ペルソナが決まっていれば
・売る品数が絞れる
・必要な写真が決まる
・皿の数・サイズ・素材が決まる
つまり、先に誰を決めるだけで、開業コストは落ちるんです","計画しない開業は、必ず高くつきます。
「この店は、誰のどんなシーンを取りに行くのか」
これがまだ分からないなら計画は甘いです",ペルソナが決まってなかったら開業時に大失敗します（メニュー開発、写真、皿などのコスト）,今伸びてるもの,6
43,取引業者や営業に対して高圧的な態度取ってる経営者は会社の成長止めてますよ,取引業者や営業に対して高圧的な態度取ってる経営者は会社の成長止めてますよ,取引業者や営業に高圧的な経営者は情報と選択肢を失いますよ,"外部への態度は、そのまま社内マネジメントの写し鏡です
業者に対して横柄・一方的・敬意がない
この姿勢は、必ず社内に伝播します
「立場が上なら、雑に扱っていい」とスタッフは勘違いしますよ","マネジメントは、社内だけの話じゃありません。
外部への敬意は、会社の文化になります
「この態度を、社員は見てどう思うか？」これを一度だけ意識してください。",取引業者や営業に対して高圧的な態度取ってる経営者は会社の成長止めてますよ,今伸びてるもの,7
44,守り攻めのマインド　リスク志向（RQ）,守り攻めのマインド　リスク志向（RQ）,組織が伸びない最大の原因は全員に同じリスク判断を求めていることです,"マネジメントは「能力を伸ばすと思ってたら勘違いで、リスクの取り方を設計する仕事です
人によってリスク許容度は異なります",守り型、攻め型のバランスを取りながらチームを構成し、個々人に合わせたマネジメントをしてください,守り攻めのマインド　リスク志向（RQ）,今伸びてるもの,8
45,自分は料理できひんしって経営者さん、それでいいんです,自分は料理できひんしって経営者さん、それでいいんです,自分は料理できひんしって経営者さん、それでいいんです,"社長が現場で一番うまくやる必要はありません
「自分がやった方が早い」は一番高いコストです
社長の仕事は包丁を握ることではなく意思決定です","社長が現場を回すほど、会社は前に進みません
明日の予定を見て、作業か意思決定か仕分けしてください
料理ができなくてもいいので決められる社長でいてください",自分は料理できひんしって経営者さん、それでいいんです,今伸びてるもの,9
46,お店を始める時にデザイナーは絶対入れろ,お店を始める時にデザイナーは絶対入れろ,お店を始める時に空間デザイナーを入れへんお店は確実に高くつきます,"DIYでええわって初期費用を下げたつもりで将来コストを爆増させます
内装で一番高くつくのはやり直しです
・動線が悪くてオペが詰まる
・席配置を変えたくなって壁を壊す
・照明や色が合わず撮影し直す
・コンセプトが曖昧で客層がズレる
これ、全部開業後に気づくから高いんです","内装は「安く作る」ものじゃない
「動線を考えた上で作る」ものです
半年後も同じ形で使えてるか？を想像してください
ここはケチらずしっかりプロを入れましょう",お店を始める時にデザイナーは絶対入れろ,今伸びてるもの,10
47,月次決算は出せ,月次決算は出せ,月次決算出してへん経営は上手く行くはずがないんです,"決算書だけ見て年１で見てるってそれ手遅れになってから原因を探しているだけですよ
コストは月次でしか制御できません
ズレを小さいうちに潰すため月次決算を出してください","先月分の「売上・原価・人件費」この3つを、1枚にまとめてください
細かい勘定科目はいらないのでまずは毎月、同じ数字を見る癖をつけましょう",月次決算は出せ,新テーマ,11
48,ID、PASS管理してますか？,ID、PASS管理してますか？,IDとパスワードを管理していない店は、いつ営業停止してもおかしくありません,"ID／PASS管理は“ITの話”ではなく経営リスク管理の話です
今の飲食店は、ITに握られて経営しているからです
グルメ媒体、SNS、予約、決済、どれか一つ失った瞬間お店は簡単に止まります","グルメ媒体・SNS・予約・決済、ログインできるかを今すぐ全部確認してください
ITは便利ですが、放置すると一番怖い
管理は、経営の基本です
・全媒体のID／PASSを一覧化
・管理者を1人決める
・引き継ぎルールを作る
これらを決めて運用しましょう",ID、PASS管理してますか？,トリガー,12
49,悩みがつきない経営者→公式ライン追加で情報提供をしています,悩みがつきない経営者→公式ライン追加で情報提供をしています,飲食店経営をしていて、悩みが一切ない人なんていません,"・数字のこと
・人のこと
・集客のこと
・将来のこと
一人で考え続けて正解が分からなくなっている経営者さん、ほんまに多いです。","経営の悩みは、一人で抱えるほどこじれます
でも悩みがあるのは、ちゃんと経営している証拠です。
もし今、誰にも相談できていないのであれば僕のプロフィールから公式ライン追加してみてください
飲食店経営に使える有益な情報も流していますよ",悩みがつきない経営者→公式ライン追加で情報提供をしています,過去に伸びたもの,1
50,SNSやらんくていいお店,SNSやらんくていいお店,SNSをやらなくていいお店もあるんです,"一等地の家賃は毎月払う広告費です
人通り・視認性・偶然の来店、これをお金で買っている状態です
一方で二等地・裏通り・住宅街・郊外ここはSNS必須です
人通りがない代わりに、マーケで来店理由を作らないと成立しないです",家賃を払って立地集客を取るかマーケ費用を払って理由集客を取るかのどちらかです,SNSやらんくていいお店,過去に伸びたもの,2
51,原価計算めんどい,原価計算めんどい,正直原価計算、面倒ですよね,"でも、「めんどいからやらん」を続けているお店ほど、気づかんうちに利益を削っています
原価計算を後回しにする店は、一生なんで儲からないかが分かりません","なので今回は、原価計算と連動したレシピシートを配布します
レシピをメモってるだけで原価計算がほぼできるのでぜひ欲しい方はコメントください",原価計算めんどい,過去に伸びたもの,3
52,既製品を正しく味方につけろ,既製品を正しく味方につけろ,既製品＝プロじゃない、この考えが原価と人件費を無駄に押し上げています,"既製品は代替じゃなくて工程を買うという選択です
既製品を使うと
・原価が安定する（ブレない）
・人件費が下がる（仕込み・教育が減る）
・品質が揃う（属人化しない）
しかも今の既製品は、ベースだけ既製で仕上げは店でというハイブリッド運用が前提で作られているも増えました","これからは賢く既製品を使える料理人が必要とされています
既製品を利益を守るための戦略として取り入れてみませんか？",既製品を正しく味方につけろ,過去に伸びたもの,4
