集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額,取引No,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ QR),クレジットカード(オンライン決済),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジ担当者名,ID,カテゴリー名,メニュー名,価格,注文数量
,,,,,,,,,,RB0120260101202141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28B99E63A2584CEDB4C2B00213985F43,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
,,,,,,,,,,RB0120260101202141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28B99E63A2584CEDB4C2B00213985F43,オリジナルカクテル,Arrow Head,2000,1
,,,,,,,,,,RB0120260101212605000,2026/01/01,22:04:39,6930,6300,630,0,6930,630,0,6930,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,630,2,5,00:38:33,"5, 6",橋本,47EC9154CABC47AFB60C68C59D371ADA,その他,tablecharge,500,2
,,,,,,,,,,RB0120260101212605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47EC9154CABC47AFB60C68C59D371ADA,ノンアルコールカクテル,【AL】茉莉花Majorca,1700,1
,,,,,,,,,,RB0120260101212605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47EC9154CABC47AFB60C68C59D371ADA,オリジナルカクテル,Tommy's Verde Margarita,1800,1
,,,,,,,,,,RB0120260101212605000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47EC9154CABC47AFB60C68C59D371ADA,ワイン（グラス）,"サングリア白　1,800円",1800,1
,,,,,,,,,,RB0120260101214317000,2026/01/01,23:52:48,11550,10500,1050,0,11550,1050,0,11550,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,0,1050,2,9,02:09:31,"8, 9",橋本,1D96CDF9D53E436A85E1A7F93955EAAA,その他,tablecharge,500,2
,,,,,,,,,,RB0120260101214317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1D96CDF9D53E436A85E1A7F93955EAAA,ワイン（グラス）,デバルド・ビアンコ,1200,5
,,,,,,,,,,RB0120260101214317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1D96CDF9D53E436A85E1A7F93955EAAA,ジャパニーズカクテル,Japanese High Tea,1800,1
,,,,,,,,,,RB0120260101214317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1D96CDF9D53E436A85E1A7F93955EAAA,ジャパニーズカクテル,Hojicha Negroni,1700,1
,,,,,,,,,,RB0120260101225821000,2026/01/02,00:11:04,13420,12200,1220,0,13420,1220,13420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,1220,2,8,01:12:43,A,大泉,B8003CE7497E460492147CE234F43D7B,スナック,生チョコレート,1000,1
,,,,,,,,,,RB0120260101225821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8003CE7497E460492147CE234F43D7B,その他,tablecharge,500,2
,,,,,,,,,,RB0120260101225821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8003CE7497E460492147CE234F43D7B,黒板メニュー,黒板メニュー　肉料理,3000,1
,,,,,,,,,,RB0120260101225821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8003CE7497E460492147CE234F43D7B,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
,,,,,,,,,,RB0120260101225821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8003CE7497E460492147CE234F43D7B,オリジナルカクテル,ゴールデンタイムフィズ,1700,1
,,,,,,,,,,RB0120260101225821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8003CE7497E460492147CE234F43D7B,オリジナルカクテル,Fifth Taste Mary,1800,1
,,,,,,,,,,RB0120260101225821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B8003CE7497E460492147CE234F43D7B,ジャパニーズカクテル,焙じ茶ジンソーダ,1400,1
,,,,,,,,,,RB0120260102182442000,2026/01/02,19:12:51,8800,8000,800,0,8800,800,0,8800,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,800,2,7,00:48:09,C,大泉,214733B63C2848CCBC21200065563F87,その他,tablecharge,500,2
,,,,,,,,,,RB0120260102182442000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214733B63C2848CCBC21200065563F87,スナック,生ハム盛り,1600,1
,,,,,,,,,,RB0120260102182442000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214733B63C2848CCBC21200065563F87,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
,,,,,,,,,,RB0120260102182442000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214733B63C2848CCBC21200065563F87,ノンアルコールカクテル,ヘーゼルナッツラテ,1300,1
,,,,,,,,,,RB0120260102182442000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214733B63C2848CCBC21200065563F87,スナック,ガーリックブロッコリー,800,1
,,,,,,,,,,RB0120260102182442000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214733B63C2848CCBC21200065563F87,スナック,パテドカンパーニュ,1000,1
,,,,,,,,,,RB0120260102175431000,2026/01/02,19:21:34,16500,15000,1500,0,16500,1500,20000,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,1500,0,1500,2,13,01:27:03,A,橋本,98253EED07FD4F5AAF3E933B1EB08B86,その他,tablecharge,500,2
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,アラカルト,カルパッチョ,1700,1
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,デザート,本日のデザート,1200,2
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,ご飯もの,マルゲリータ,1800,1
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,オリジナルカクテル,ゴールデンタイムフィズ,1700,1
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,スナック,バーニャカウダ,1000,1
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,スナック,ブルスケッタ,1000,1
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,スナック,パテドカンパーニュ,1000,1
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,ソフトドリンク,コーラ,800,2
,,,,,,,,,,RB0120260102175431000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98253EED07FD4F5AAF3E933B1EB08B86,ワイン（グラス）,"サングリア赤　1,800円",1800,1
,,,,,,,,,,RB0120260102201407000,2026/01/02,22:08:10,8910,8100,810,0,8910,810,0,8910,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,810,1,6,01:54:03,9,橋本,A04A81EC19594D59BFDEDCBC94D736DE,その他,tablecharge,500,1
,,,,,,,,,,RB0120260102201407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A04A81EC19594D59BFDEDCBC94D736DE,カクテル,クラシックカクテル,1400,4
,,,,,,,,,,RB0120260102201407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A04A81EC19594D59BFDEDCBC94D736DE,ウイスキー（ハイボール・ボトル・オリジナル）,BFAジェームズベイ,2000,1
,,,,,,,,,,RB0120260102231452000,2026/01/03,00:00:25,4510,4100,410,0,4510,410,0,4510,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,410,2,4,00:45:33,"4, 5",橋本,9E1C54697BF34A4EA0A8E42C4B9D9A7A,その他,tablecharge,500,2
,,,,,,,,,,RB0120260102231452000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E1C54697BF34A4EA0A8E42C4B9D9A7A,ビール,ガージェリー,1300,1
,,,,,,,,,,RB0120260102231452000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E1C54697BF34A4EA0A8E42C4B9D9A7A,オリジナルカクテル,Tommy's Verde Margarita,1800,1
,,,,,,,,,,RB0120260103180111000,2026/01/03,19:43:31,14410,13100,1310,0,14410,1310,0,14410,0,0,0,0,0,0,0,0,0,0,0,0,0,1310,0,1310,2,10,01:42:19,A,橋本,49E9ACD71C594618A43862590EC333B2,その他,tablecharge,500,2
,,,,,,,,,,RB0120260103180111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49E9ACD71C594618A43862590EC333B2,アラカルト,カルパッチョ,1700,1
,,,,,,,,,,RB0120260103180111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49E9ACD71C594618A43862590EC333B2,ビール,ガージェリー,1300,2
,,,,,,,,,,RB0120260103180111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49E9ACD71C594618A43862590EC333B2,ジャパニーズカクテル,Japanese High Tea,1800,1
,,,,,,,,,,RB0120260103180111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49E9ACD71C594618A43862590EC333B2,ジャパニーズカクテル,Niu Japonica,1600,1
,,,,,,,,,,RB0120260103180111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49E9ACD71C594618A43862590EC333B2,ご飯もの,ラザニア,1600,1
,,,,,,,,,,RB0120260103180111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49E9ACD71C594618A43862590EC333B2,ジャパニーズカクテル,本わさびジンソニック,1800,1
,,,,,,,,,,RB0120260103180111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49E9ACD71C594618A43862590EC333B2,スナック,バーニャカウダ,1000,1
,,,,,,,,,,RB0120260103200445000,2026/01/03,21:18:14,13530,12300,1230,0,13530,1230,0,13530,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,0,1230,3,11,01:13:29,A,橋本,DE69D00C96C54C6B9CD9EFDA701793EA,その他,tablecharge,500,3
,,,,,,,,,,RB0120260103200445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE69D00C96C54C6B9CD9EFDA701793EA,ウイスキー（ハイボール・ボトル・オリジナル）,ハウスハイボール,1300,2
,,,,,,,,,,RB0120260103200445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE69D00C96C54C6B9CD9EFDA701793EA,アラカルト,唐揚げ,1300,1
,,,,,,,,,,RB0120260103200445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE69D00C96C54C6B9CD9EFDA701793EA,ノンアルコールカクテル,ピニャコラーダ,1800,1
,,,,,,,,,,RB0120260103200445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE69D00C96C54C6B9CD9EFDA701793EA,ノンアルコールカクテル,Kamille Bloom,1300,1
,,,,,,,,,,RB0120260103200445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE69D00C96C54C6B9CD9EFDA701793EA,ジャパニーズカクテル,焙じ茶ジンソーダ,1400,2
,,,,,,,,,,RB0120260103200445000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DE69D00C96C54C6B9CD9EFDA701793EA,スナック,パテドカンパーニュ,1000,1
,,,,,,,,,,RB0120260103191329000,2026/01/03,21:56:36,18150,16500,1650,0,18150,1650,0,18150,0,0,0,0,0,0,0,0,0,0,0,0,0,1650,0,1650,2,12,02:43:07,E,橋本,D6747F055B5D45FDA1DD817F0D0803FC,スナック,チーズ盛り合わせ,2200,1
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,スナック,パプリカ詰めオリーブ,1000,1
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,その他,tablecharge,500,2
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,ワイン（グラス）,パナメラ・カルベネ・ソーヴィニョン,1600,3
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,アラカルト,フレンチフライ,1000,1
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,アラカルト,鶏もものソテー,1800,1
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,ノンアルコールカクテル,茉莉花Majorca,1500,1
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,ノンアルコールカクテル, ローズレッドスナッパー,1400,1
,,,,,,,,,,RB0120260103191329000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D6747F055B5D45FDA1DD817F0D0803FC,ジャパニーズカクテル,本わさびジンソニック,1800,1
,,,,,,,,,,RB0120260103224557000,2026/01/03,23:53:36,2610,2900,237,0,2610,237,0,2610,0,0,0,0,0,0,0,0,0,0,0,0,0,-290,0,-290,2,4,01:07:39,E,橋本,B05CFC6FD9AD48F4B9FDA0D2D9DB6B4C,未設定,No charge,0,2
,,,,,,,,,,RB0120260103224557000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B05CFC6FD9AD48F4B9FDA0D2D9DB6B4C,ジャパニーズカクテル,Niu Japonica,1600,1
,,,,,,,,,,RB0120260103224557000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B05CFC6FD9AD48F4B9FDA0D2D9DB6B4C,ノンアルコールカクテル,Kamille Bloom,1300,1
,,,,,,,,,,RB0120260103212423000,2026/01/04,00:21:13,10560,9600,960,0,10560,960,0,10560,0,0,0,0,0,0,0,0,0,0,0,0,0,960,0,960,1,7,02:56:50,6,橋本,FC3FCFF32C4D423A88975574D7749339,未設定,No charge,0,1
,,,,,,,,,,RB0120260103212423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC3FCFF32C4D423A88975574D7749339,その他,氷、ボトル割りもの（割引対象外）,1500,1
,,,,,,,,,,RB0120260103212423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC3FCFF32C4D423A88975574D7749339,ジン,エンジン,1600,1
,,,,,,,,,,RB0120260103212423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC3FCFF32C4D423A88975574D7749339,ウイスキー,シングルトン12年,1400,1
,,,,,,,,,,RB0120260103212423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC3FCFF32C4D423A88975574D7749339,ウイスキー,グレンアラヒー8年,1600,1
,,,,,,,,,,RB0120260103212423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC3FCFF32C4D423A88975574D7749339,ウイスキー,ダルモア 12年,1700,1
,,,,,,,,,,RB0120260103212423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC3FCFF32C4D423A88975574D7749339,ウイスキー,ロイヤルブラックラ 12年,1800,1
,,,,,,,,,,000120260108205537464,2026/01/08,20:56:13,40000,40000,3636,0,40000,3636,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,01:35:06,"A, B, C",橋本,DF539DE76FA74AA3B64438E896B9BECE,コース&セット,その他CLPコース,5000,8
,,,,,,,,,,RB0120260108192107000,2026/01/08,21:49:19,64900,64900,5900,0,64900,5900,0,0,0,0,0,0,0,0,0,0,0,0,64900,0,0,0,5900,5900,7,11,02:28:12,"A, B, C",橋本,73471C87BA8D4B4F8084B918FA0E28E9,イベント,イベントフード,12000,1
,,,,,,,,,,RB0120260108192107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73471C87BA8D4B4F8084B918FA0E28E9,コース&セット,その他CLPコース,8000,1
,,,,,,,,,,RB0120260108192107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73471C87BA8D4B4F8084B918FA0E28E9,コース&セット,その他CLPコース,3000,8
,,,,,,,,,,RB0120260108192107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73471C87BA8D4B4F8084B918FA0E28E9,ワイン,ラリエ,15000,1
,,,,,,,,,,RB0120260108220722000,2026/01/08,22:29:10,10670,9700,970,0,10670,970,0,10670,0,0,0,0,0,0,0,0,0,0,0,0,0,970,0,970,2,7,00:21:48,C,橋本,5A19C0527F5C41ED83BE667EE09E2FB9,その他,tablecharge,500,2
,,,,,,,,,,RB0120260108220722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5A19C0527F5C41ED83BE667EE09E2FB9,アラカルト,トマトのカプレーゼ,1500,1
,,,,,,,,,,RB0120260108220722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5A19C0527F5C41ED83BE667EE09E2FB9,ビール,ガージェリー,1300,1
,,,,,,,,,,RB0120260108220722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5A19C0527F5C41ED83BE667EE09E2FB9,ご飯もの,マルゲリータ,1800,1
,,,,,,,,,,RB0120260108220722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5A19C0527F5C41ED83BE667EE09E2FB9,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
,,,,,,,,,,RB0120260108220722000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5A19C0527F5C41ED83BE667EE09E2FB9,オリジナルカクテル,Espresso Martini,1800,1
,,,,,,,,,,RB0120260108225418000,2026/01/09,00:34:15,17820,16200,1620,0,17820,1620,0,17820,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,0,1620,2,10,01:39:57,E,橋本,47A24BB53C97468FB4C5F5931B85A178,スナック,チーズ盛り合わせ,2200,1
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,その他,tablecharge,500,2
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,アラカルト,トマトのカプレーゼ,1500,1
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,ご飯もの,ボロネーゼ,1600,1
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,ご飯もの,禁断パスタ,1800,1
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,ジャパニーズカクテル,柚子と旨味のセッションサワー,2200,1
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,ジャパニーズカクテル,Japanese High Tea,1800,1
,,,,,,,,,,RB0120260108225418000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47A24BB53C97468FB4C5F5931B85A178,オリジナルカクテル,Syndicate,1800,1
,,,,,,,,,,RB0120260108225548000,2026/01/09,01:11:54,21450,19500,1950,0,21450,1950,0,21450,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,0,1950,2,11,02:16:06,D,大泉,B7226375C98D4400A445851685FE1FFB,スナック,チーズ盛り合わせ,2200,1
,,,,,,,,,,RB0120260108225548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7226375C98D4400A445851685FE1FFB,その他,tablecharge,500,2
,,,,,,,,,,RB0120260108225548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7226375C98D4400A445851685FE1FFB,アラカルト,トマトのカプレーゼ,1500,1
,,,,,,,,,,RB0120260108225548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7226375C98D4400A445851685FE1FFB,ジャパニーズウイスキー,知多,1800,1
,,,,,,,,,,RB0120260108225548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7226375C98D4400A445851685FE1FFB,ジャパニーズカクテル,柚子と旨味のセッションサワー,2200,1
,,,,,,,,,,RB0120260108225548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7226375C98D4400A445851685FE1FFB,ジャパニーズカクテル,山葵と梨のスマッシュ,2300,1
,,,,,,,,,,RB0120260108225548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7226375C98D4400A445851685FE1FFB,ジャパニーズカクテル,Niu Japonica,1600,1
,,,,,,,,,,RB0120260108225548000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B7226375C98D4400A445851685FE1FFB,オリジナルカクテル,Syndicate,1800,1
