集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額,取引No,来店日,来店時間,会計日,会計時間,合計,小計,内消費税,修正金額合計,修正後合計,修正後内消費税,現金,クレジットカード(Airペイ),交通系電子マネー(Airペイ),QUICPay(Airペイ),iD(Airペイ),QR決済(Airペイ),QR決済(Airペイ QR),クレジットカード/電子マネー(Square),ポイント(Airペイ ポイント),ポイント(ホットペッパーグルメ),Pontaポイント(Airウォレット),金券内訳,売掛内訳,金券合計,売掛合計,おつり,現金以外おつり不支払額,全体割引/割増(税込),個別割引/割増(税込),まとめ買い割引(税込),割引/割増合計(税込),人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,リソース名,ID,カテゴリー名,メニュー名,種別１,種別２,価格,注文数量,個別割引/割増数量,個別割引/割増単価,単位,個別割引/割増合計額,まとめ買い割引名,まとめ買い割引セット価格,まとめ買い割引セット数,まとめ買い割引数,まとめ買い割引合計額
,,,,,,,,,,HD0020260103170654831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FBE0B115FD054714811EBB602CBE19AA,お通し,お通し,男性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170654831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FBE0B115FD054714811EBB602CBE19AA,単品料理,ピリ辛メンマ,,,528,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170654831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FBE0B115FD054714811EBB602CBE19AA,サワー,こだわりレモン【メガ】,メガレモンサワー,,880,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,2026/01/03,17:03:32,2026/01/03,18:51:30,8899,8899,809,0,8899,809,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101,0,0,0,0,0,2,16,01:47:58,T6,0001,深沢媛心,未設定,52D9BA869EBC41ADA4E14FA998526496,串焼き,アスパラ肉巻き,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,ビール,生ビール,生ジョッキ,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,アルコール,角ハイボール,角ハイボール,,660,6,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,単品料理,たたききゅうり,,,495,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,お通し,お通し,女性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,串焼き,豚しそ巻き,,,286,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,単品料理,ニラ玉,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,日本酒,仙禽【モダン無垢】,,,1210,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,串焼き,レタス巻き,レタス巻き,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170446427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52D9BA869EBC41ADA4E14FA998526496,串焼き,お好み焼き串,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,2026/01/03,17:00:27,2026/01/03,18:56:42,13018,13018,1183,0,13018,1183,13018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,01:56:15,T11,0001,深沢媛心,未設定,C0B8F8EC2F5549D89AF75DE7CF3C4E71,串焼き,アスパラ肉巻き,,,330,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,串焼き,えのき肉巻き,,,308,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,串焼き,ミニトマト肉巻き,,,286,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,ビール,生ビール,生ジョッキ,,660,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,アルコール,かめやハイボール,極かめやハイボール,,605,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,単品料理,梅水晶,,,528,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,お通し,お通し,男性,,330,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,単品料理,ニラ玉,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,ビール,瓶ビール【赤星】,,,770,4,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,串焼き,レタス巻き,レタス巻き,,350,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,ソフトドリンク,お冷,,,0,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,単品料理,わさびと食べる紅生姜のだし巻き,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,単品料理,シャカシャカポテト,バーベキュー,,638,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103170236264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C0B8F8EC2F5549D89AF75DE7CF3C4E71,単品料理,丸ごとガリトマト,,,715,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,2026/01/03,17:42:58,2026/01/03,19:00:02,8874,8874,806,0,8874,806,0,8874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,01:17:04,T3,0001,深沢媛心,未設定,E24432138EBE4CC6B97B5FF3906178E8,串焼き,のりチーズ,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,黒チーズ,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,アスパラ肉巻き,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,えのき肉巻き,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,椎茸肉巻き,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,うずら肉巻き串,,,275,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,つくね,,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,ビール,生ビール,生ジョッキ,,710,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,ビール,生ビール,生ジョッキ,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,お通し,お通し,女性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,お通し,お通し,男性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,デザート,かめバニラ,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,単品料理,焼きおにぎり,,,418,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,単品料理,きつね納豆,,,528,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,レタス巻き,レタス巻き,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,単品料理,わさびと食べる紅生姜のだし巻き,,,660,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,万能ネギのしゃぶ串,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103174306039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E24432138EBE4CC6B97B5FF3906178E8,串焼き,エビマヨ串,,,365,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103180810935,2026/01/03,17:55:41,2026/01/03,19:51:44,4235,4235,385,0,4235,385,4235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,01:56:03,T16,0001,佐藤舞桜,未設定,430BA7EAB2B64BF0A739DC4599220E26,アルコール,かめやハイボール,メガコークハイ,,990,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103180810935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430BA7EAB2B64BF0A739DC4599220E26,お通し,お通し,女性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103180810935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430BA7EAB2B64BF0A739DC4599220E26,串焼き,焼き鳥【皮】,塩,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103180810935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430BA7EAB2B64BF0A739DC4599220E26,ビール,メガビール,,,1045,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103180810935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430BA7EAB2B64BF0A739DC4599220E26,串焼き,焼き鳥【ぼんじり】,塩,,308,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103180810935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430BA7EAB2B64BF0A739DC4599220E26,串焼き,焼き鳥【砂肝】,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103180810935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430BA7EAB2B64BF0A739DC4599220E26,串焼き,焼き鳥【軟骨】,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,2026/01/03,18:42:34,2026/01/03,20:19:43,6006,6006,546,0,6006,546,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3994,0,0,0,0,0,2,12,01:37:09,T5,0001,佐藤舞桜,未設定,82FFA8FABD4A4303AC8F55E77EBB902B,串焼き,アスパラ肉巻き,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,串焼き,えのき肉巻き,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,ビール,生ビール,生ジョッキ,,660,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,アルコール,ウーロンハイ,ノーマル,,495,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,単品料理,たたききゅうり,,,495,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,お通し,お通し,女性,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,カクテル,ピーチリキュール,ピーチウーロン,,660,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,単品料理,ネギトロユッケ,,,748,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103184334019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82FFA8FABD4A4303AC8F55E77EBB902B,串焼き,万能ネギのしゃぶ串,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,2026/01/03,18:34:00,2026/01/03,20:31:54,15195,15195,1381,0,15195,1381,0,15195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,01:57:54,T14,0001,佐藤舞桜,未設定,7885D5EFE19144D182620D50922D81BB,串焼き,のりチーズ,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,黒チーズ,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,アスパラ肉巻き,,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,えのき肉巻き,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,えびしそチーズおろしポン酢,,,365,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,ミニトマト肉巻き,,,286,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,うずら肉巻き串,,,275,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,つくね,,,308,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,ビール,生ビール,生ジョッキ,,660,5,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,アルコール,かめやハイボール,ジンジャー,,660,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,ソフトドリンク,ウーロン茶,,,385,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,ソフトドリンク,ジンジャーエール【瓶】,,,440,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,単品料理,枝豆,,,418,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,単品料理,茄子の揚げ浸し,,,638,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,お通し,お通し,女性,,330,3,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,お通し,お通し,男性,,330,1,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,串焼き,豚串,,,330,2,0,0,-,0,,0,0,0,0
,,,,,,,,,,HD0020260103183438841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7885D5EFE19144D182620D50922D81BB,単品料理,きつね納豆,,,528,1,0,0,-,0,,0,0,0,0
