エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"2号店問題は、現場や努力の問題ではなく、１号店の成功をどう理解しているかの問題です
同じ店を作った＝同じ成果が出ると思っていると必ず閉店します"
,,,,
,"3
過去に伸びたもの",,ネタメモ：売上報告は出すが、決定権はない,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,多店舗フェーズで、店舗管理者に売上報告は出させるが、決定権はない状態だと広げきれないですよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,権限と責任は必ずセットで渡すこと、権限は「一気に」渡さないで段階で渡すこと、判断基準は人に任せずルールで渡すこと、これを守ってから権限委譲して行きましょう
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"多店舗経営は、社長が優秀でも回らないです
判断が分散され、それでもブレない設計がある時だけ回ります"
,,,,
,"4
過去に伸びたもの",,ネタメモ：めちゃくちゃ忙しい時間帯に限ってビール樽交換…でもアルバイトはできひんしって経験ないですか？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,めちゃくちゃ忙しい時間帯に限ってビール樽交換…でもアルバイトはできひんしって経験ないですか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"判断力で指揮を取っている人が、一番単純な作業に縛られることが危険な状態ということに早く気づいてください
忙しい時に発生する作業は忙しい時に一番手が空いている人ができるようにしておくことです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,暇な時に全員が一度は経験して教えていない・任せれないを無くして、判断がいらない作業まで、店長・社員がやらなくて済む準備をしましょう
,,,,
,"5
今伸びてるもの",,ネタメモ：新店舗、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね,
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,焼肉屋さん、どこもかしこも〇〇牛みたいなブランド牛で戦ってもう差別化が難しいんですよね
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,提供価値が機能的価値（スペックや性能）になってしまっているためお金さえ払えば誰でも簡単に参入できてしまうんです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,焼肉店が生き残る鍵は体験などの情緒的価値を先に設計し真似されにくいお店作りにすることです
,,,,
,"6
今伸びてるもの",,ネタメモ：炭火焼きのお店、焼き台に立てる人が増えない問題にぶち当たってませんか？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,炭火焼きのお店の焼き場、いつも人手に困ってませんか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"「技術職」なのは確かですが、教育の仕方がいまだに「見て覚えろ」止まりじゃないですか？
それって職人ではなく教育じたいが属人化させているんじゃないですか？"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"「焼ける／焼けない」で判断せずに、いきなり全部任せないように段階を切って段階ごとにOKラインを決めること
失敗も許容してあげながら少しずつ成功体験を積ませて行きましょう"
,,,,
,"7
今伸びてるもの",,ネタメモ：焼き鳥は安いもんってイメージのせいで単価取れてへんお店はしんどいですよね,
構成,,秒数,シーン,"①セリフを考える（ライティング）
7本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,焼き鳥は「安いもん」という市場イメージが強く単価を取り切れていない店が多いって知ってましたか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,これは個別店の努力不足ではなく市場側の固定観念が強すぎるため、業態が抱えるブランディング問題です
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,ポジショニングの再定義をし、「焼き鳥を売る店」なのか「焼き鳥が手段の店」なのかを決めると未来が見えますよ
,,,,
,"8
今伸びてるもの",,ネタメモ：パン屋は廃棄を減らすほど、お客の満足と単価が下がるジレンマ（ロスパン安い）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
8本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,パン屋は、廃棄を減らすほどお客様の満足度と単価が下がる、かなり残酷なジレンマがあります。
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"廃棄を価格で処理するお店は長期的に必ず単価が落ちます
理由はシンプルでお客様は正規価格を高いと感じ始めるからです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"廃棄を減らしたいなら安く売るのではなく、売り方・量・時間・ラインナップを
設計し直すことです"
,,,,
,"9
今伸びてるもの",,ネタメモ：うちはイタリアンやからパスタ出したいけどオペレーションがどうしても,
構成,,秒数,シーン,"①セリフを考える（ライティング）
9本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,パスタは「頑張って回す」を選んで現場を壊します
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"その条件なら生麺に変える判断ならアリです
理由はシンプルで茹で時間・再現性・技術依存を一気に下げられるから"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"・ピークの同時提供数
・鍋と火口の数
・新人でも作れるか
この3つを整理してから初めて選ぶ選択肢です
これを考えずに生麺にしてもたぶん何も解決しません"
,,,,
,"10
今伸びてるもの",,ネタメモ：せっかく仕入れたワイン、抜栓しても売り切れんから困ってるビストロから相談いただくんですが,
構成,,秒数,シーン,"①セリフを考える（ライティング）
10本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"せっかく仕入れたワイン抜栓しても売り切れん
これビストロの相談でいちばん多い悩みです"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13," ・メニューor黒板で主役にした
・スタッフ全員が一言で勧められる
・値引きではなく理由付けで提案している
全部にチェックがつかないなら売れないのは当然です"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"もし抜栓ワインが残り続けてるならそれは仕入れの失敗ではなく売り方を決めずに
開けてる設計ミスです
次に抜栓する一本を何杯で・いつまでに売り切るかを決めてから開けてください"
,,,,
,"11
新テーマ",,ネタメモ：ハンバーガー業態を選ぶ方は本気で覚悟した方がいい事実（マクド）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
11本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,ハンバーガー業態を選ぶなら本気で覚悟した方がいいですよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"なぜなら一般人のイメージは競合がマクドナルドだからです
なので美味しいだけでは絶対に勝てません
価格、スピード、安定感、認知、全てにおいて個人店はほぼ負けます"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"マクドと比べられない設計を先に作ること
・時間
・価格
・食べる理由
・使うシーン
ここをずらせないなら、ハンバーガー業態は絶対に選ばない方がいい"
,,,,
,"12
トリガー",,ネタメモ：暑くなる時期の食中毒対策,
構成,,秒数,シーン,"①セリフを考える（ライティング）
12本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,食中毒対策、暑くなる前から始めんと手遅れになりますよ
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"・夏だけ仕込み量を減らす
・ピーク前後で触る食材を固定する
・判断が必要な工程を一つ減らす
・冷蔵庫の使い方を人基準から場所基準に変える"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,この夏、注意喚起を増やす前に、一工程だけ減らせないかそれを考えてください
,"1
過去に伸びたもの",,ネタメモ：タンとハラミばっかり出てしんどいわって焼肉店のオーナーさん（メニュー表、指南書メニュー）,
構成,,秒数,シーン,"①セリフを考える（ライティング）
1本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,タンとハラミばっかり出てしんどいわって焼肉店のオーナーさん
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,タンとハラミが出すぎるお店は注文を設計できていないお店です
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"同じ場所・同じ文字サイズに置く必要はありません
・出したい肉
・利益が残る肉
・在庫を回したい肉
これを意図的に目立たせることが重要です"
,,,,
,"2
過去に伸びたもの",,ネタメモ：昼ピークで終わる、夜対策してへん蕎麦屋さん,
構成,,秒数,シーン,"①セリフを考える（ライティング）
2本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"昼ピークで終わる、夜対策してへんお蕎麦屋さん
昼の営業のまま夜惰性でやってませんか？"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"夜のお客は時間を使って何を楽しむかを選びに来てるので
同じ蕎麦を出してるだけで勝てるわけがない"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"昼が強いから仕方ないはただの思考停止です
夜に必要なのは商品じゃなく来店するための理由です"
,,,,
,"3
過去に伸びたもの",,ネタメモ：“安定”という言葉が存在しない=キッチンカー　ブランドにお客様が付かない,
構成,,秒数,シーン,"①セリフを考える（ライティング）
3本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,キッチンカーには安定という言葉が存在しません
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,キッチンカーでお客様がお店に付かないのは場所か習慣でしか覚えてないからです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"キッチンカーで店名を覚えてもらおうとしているなら戦い方を間違えています
キッチンカーでやるべき正解はブランド作りじゃくて一発で選ばれる理由を毎回作ることです"
,,,,
,"4
過去に伸びたもの",,ネタメモ：特別な日需要で戦ってるケーキ屋さんは長く持ちません,
構成,,秒数,シーン,"①セリフを考える（ライティング）
4本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"誕生日がないと思い出されへんケーキ屋さん
「このお店何もない日は来られへんわ」って思われてますよ"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"ケーキ屋を長く続けたいなら特別じゃない日に買われる理由が必要です
何もない日に選ばれへんお店は売上も人も安定しません"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"サイズを日常サイズに落としたり、自分用ブランディングをしてみたり、曜日戦略もあります。
明日できることから初めて見たいので、ぜひこんなことしてますよっていう実例はコメントお願いします！"
,,,,
,"5
今伸びてるもの",,"ネタメモ：夏の鍋屋さん、冬のアイス屋さん
さてどう戦いますか？",
構成,,秒数,シーン,"①セリフを考える（ライティング）
5本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,夏の鍋屋さん、冬のアイス屋さん さてどう戦いますか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"夏の鍋屋：「うちの鍋はあっさりで夏でも美味しい」
冬のアイス屋：「暖房の効いた店内で食べると美味しい」
みたいな商品説明してないですよね？
こういう時こそタイミングトリガーを使ってください"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"状態の定義をして状態に名前をつけてあげてください
みなさんはどうやって戦ってますか？ぜひ教えてください"
,,,,
,"6
今伸びてるもの",,ネタメモ：お好み焼きの地域の話＋おでんの牛すじ,
構成,,秒数,シーン,"①セリフを考える（ライティング）
6本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,"お好み焼きって、関西と関東で出てき方が全然違うの知ってましたか？
こういう文化の違いを経営のヒントに落とし込めてこそ経営者です"
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"関西は焼いたものが出てくる
関東は焼く前の状態が出てきて自分で焼く
これ料理の違いじゃなく何を楽しむかの違いです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,もんじゃの文化もあるからかもしれませんが、焼く体験やそこでの会話がコンテンツになってるのが関東なんです
,,,,
,"7
今伸びてるもの",,ネタメモ：商業施設集客で困ってるオーナーは絶対に意識すべき,
構成,,秒数,シーン,"①セリフを考える（ライティング）
7本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,商業施設集客で困ってるオーナーほどSNSをやってはいけないです
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"「目的来店」じゃなく「ついで需要」を取りにいくということを理解しないといけないです
ということはSNSなどで来店理由を発信するのではなく立ち寄り理由を作ることが先決です"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"商業施設は良い店が勝つ場所じゃなくて分かりやすい店が勝つ場所です
☑︎「〇〇のついでに」が言語化されている
☑︎ 店頭で一文で分かる
 ☑︎初来店の一択がある
 ☑︎隣の店を意識している
 ☑︎時間帯で売り方が違う
このチェック3つ以下なら、集客できないのは実力じゃなく準備不足です"
,,,,
,"8
今伸びてるもの",,ネタメモ：インバウンドや観光頼りの飲食店さん、オフシーズンの準備は完璧ですか？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
8本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,インバウンドや観光頼りの飲食店さん、オフシーズンの準備は完璧ですか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"暇になる時の準備をしてる店はほとんどありません
耐え方を先に決めるだけの話です"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"オフシーズンは、頑張る時期じゃありません
もし今、忙しいから後で考えると思っているならそれが一番危ないです
明日一回観光客がいない前提で自分の店を見直してみてください
それができる店だけが次の繁忙期を強く迎えられます"
,,,,
,"9
今伸びてるもの",,ネタメモ：インバウンド特化にして日本人が入りづらいって言ってたら経営者失格です,
構成,,秒数,シーン,"①セリフを考える（ライティング）
9本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,インバウンド特化にしてるくせに日本人が入りづらいって言ってたら経営者失格です
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,あえて対象外のペルソナを指定することでマーケティングをしやすくする戦略もあるんです
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"特化とは他を切ることではないです
切っても壊れない状態を先に作ることです"
,,,,
,"10
今伸びてるもの",,ネタメモ：GW明けでスッタフがやめたのがじわじわ効いてきてる頃ちゃいますか？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
10本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,GW明けでスッタフがやめたのがじわじわ効いてきてる頃ちゃいますか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
イントロ,このあとへの興味付けを加える,6,10,
,比較を用いて伝える,4,11,
,例え話で伝える,6,12,
解決,正解を断定的に伝える,4,13,"人が辞めた店で本当に困るのは人手不足じゃなくて
新人を迎える準備が何もなかったことです"
,具体内容,6,14,
,解決策,6,15,
,見てる人の感情をなぞる,5,16,
エンド,自分の主張を曖昧にせず簡潔に完結させ、何かしらの行動を起こす示唆出し,4,17,"新人が迷わず動ける状態を作ること
・最初の1日で何をやるか
・1週間でどこまで任せるか
・誰に聞けばいいか
これが決まってない店ほど人は早く辞めます"
,,,,
,"11
新テーマ",,ネタメモ：歓送迎会のフィーバーが落ち着いて焦ってませんか？,
構成,,秒数,シーン,"①セリフを考える（ライティング）
11本目"
フック,"主張をはっきりさせた結論＋問題定義
（極論でOK)",2,1,歓送迎会のフィーバーが落ち着いて焦ってませんか？
問題提起,視聴者の感情を代弁,2,2,
,視聴者のやりがちな行動を代弁,2,3,
,それらを否定,1,4,
,"その問題を放置するといずれ訪れる
「最悪の未来」",3,5,
問題拡張,コールドリーディングで掌握,3,6,
,あなたのニーズや悩みの理解してますよ,2,7,
,その裏側にある感情の代弁,2,8,
,寄り添いと突き放し,2,9,
