No,カテゴリ,企画タイトル,概要,シーン番号,シーン概要,映像イメージ,必要な撮影素材,テロップ（文字）,音声（ナレーション）,効果音（オノマトペ）,注意点・指示
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,2,カフェランチ紹介（導入）,"動画：おしゃれな紙袋をデスクに「ドン」と置く。
テロップ：『①おしゃれカフェ派』
色=白（縁取り黒）、サイズ=中、位置=左上","被写体：スタッフA
撮影者：別スタッフ
撮影方法：デスクの高さから、紙袋が置かれる瞬間を撮影。
ライティング：天井照明＋リングライト",①おしゃれカフェ派,（BGM）,ドンッ、シュッ,紙袋にカフェのロゴや店名が映らないように、無地のものを使うか、映らない角度で撮影する。
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,3,カフェランチ紹介（実食）,"動画：紙袋からランチボックスを取り出し、蓋を開ける。彩り豊かなサラダやサンドイッチが見える様子を俯瞰で撮影。
テロップ：『野菜たっぷりで嬉しい！』
色=黄色（縁取り黒）、サイズ=中、位置=中央下","被写体：スタッフA
撮影者：別スタッフ
撮影方法：スマホを真上から構え、俯瞰で手元を撮影。
ライティング：リングライトで影を消す。",野菜たっぷりで嬉しい！,（BGM）,パカッ、ジャーン,食べ物が美味しそうに見えるように、彩りを意識したメニューを選ぶ。レタスなどがしなびていないか確認。
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,4,コンビニアレンジ紹介（導入）,"動画：コンビニの袋から商品（サラダチキン、カップスープ、おにぎり等）をテンポよくデスクに出していく。早送り編集。
テロップ：『②賢くコンビニアレンジ派』
色=白（縁取り黒）、サイズ=中、位置=右上","被写体：スタッフB
撮影者：別スタッフ
撮影方法：デスクの高さから、商品を次々に出す様子を撮影。
ライティング：天井照明＋リングライト",②賢くコンビニアレンジ派,（BGM）,ザッ、ザッ、ザッ、ピコン,商品のブランド名やロゴが見えないように、パッケージを剥がすか、裏側を向けて置く。
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,5,コンビニアレンジ紹介（実食）,"動画：サラダチキンをフォークでほぐしてカップスープに入れるなど、簡単なアレンジをする手元アップ。
テロップ：『ちょい足しで満足度UP！』
色=水色（縁取り黒）、サイズ=中、位置=中央下","被写体：スタッフB
撮影者：別スタッフ
撮影方法：手元に寄ってスマホで撮影。アレンジの工程が分かりやすいように。
ライティング：リングライトで手元を明るく照らす。",ちょい足しで満足度UP！,（BGM）,トントン、ぐるぐる、ゴクッ,簡単ですぐ真似できるアレンジにするのがポイント。手際よく見えるように何度か練習する。
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,6,手作り弁当紹介（導入）,"動画：可愛い布に包まれたお弁当箱を、そっとデスクに置く。
テロップ：『③愛情たっぷり手作り弁当派』
色=白（縁取り黒）、サイズ=中、位置=左下","被写体：スタッフC
撮影者：別スタッフ
撮影方法：デスクの高さから、お弁当箱が優しく置かれる様子を撮影。
ライティング：天井照明＋リングライト",③愛情たっぷり手作り弁当派,（BGM）,フワッ、ポワン,お弁当を包む布は、清潔でシワのないものを使用する。家庭的な温かみが伝わるように。
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,7,手作り弁当紹介（実食）,"動画：お弁当の蓋を開けると、綺麗に詰められたお弁当が見える。箸で卵焼きをつまみ上げる。
テロップ：『彩り◎でテンションあがる！』
色=ピンク（縁取り黒）、サイズ=中、位置=中央下","被写体：スタッフC
撮影者：別スタッフ
撮影方法：俯瞰で蓋を開ける瞬間を撮り、その後、箸でつまむ手元に寄る。
ライティング：リングライトで影を消し、お弁当を明るく見せる。",彩り◎でテンションあがる！,（BGM）,パカッ、キラキラ、パクッ,お弁当の中身は、赤（トマト）、黄（卵焼き）、緑（ブロッコリー）などを入れて彩り豊かに見せる。
2,スタッフの日常,ランチ紹介シリーズ,近くのカフェ・コンビニアレンジ・スタッフ弁当を紹介,8,エンディング,"動画：3つのランチ（カフェ、コンビニアレンジ、弁当）を横に並べた俯瞰映像。3人のスタッフが一緒に「いただきます」をする手元。
テロップ：『あなたはどれ派？コメントで教えてね！』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフA, B, C
撮影者：別スタッフ
撮影方法：3つのランチ全体が映るように、少し引いた位置から俯瞰で撮影。
ライティング：全体が明るくなるように調整。",あなたはどれ派？コメントで教えてね！,（BGMフェードアウト）,ジャジャーン、キラキラ,3つのランチのバランスを見て配置する。視聴者のコメントを促すことでエンゲージメントを高める。
3,スタッフの日常,バッグの中身チェック,コスメ・お菓子・お守りアイテムなどを見せる,1,オープニング：企画開始の宣言,"動画：清潔感のある服装のスタッフが、デスクにおしゃれなバッグを置く手元。
テロップ：『抜き打ち！スタッフのバッグの中身チェック🔍』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ（手元のみ）
撮影者：別スタッフ
方法：俯瞰（真上から）でスマホ撮影
ライティング：天井照明＋リングライト",抜き打ち！スタッフのバッグの中身チェック🔍,（BGMスタート）,ドンッ、ジャジャーン,バッグのブランドロゴが映らないように角度を調整。デスクの上は綺麗に片付けておく。爪は短く清潔に。
3,スタッフの日常,バッグの中身チェック,コスメ・お菓子・お守りアイテムなどを見せる,2,アイテム紹介①：コスメ,"動画：バッグから可愛いポーチを取り出し、中からリップクリームとハンドクリームを出す。手のひらに乗せて見せる。
テロップ：『まずは必須の保湿アイテム✨』
色=白（縁取り黒）、サイズ=中、位置=上部","被写体：スタッフ（手元のみ）
撮影者：別スタッフ
方法：手元に寄ってスマホで撮影
ライティング：リングライトで手元を明るく",まずは必須の保湿アイテム✨,ポーチの中身はこんな感じです。乾燥対策は欠かせません！,ガサゴソ、スッ、キラキラ,コスメのブランド名が見えない角度で撮影。ポーチも無地やロゴが目立たないものを選ぶ。
3,スタッフの日常,バッグの中身チェック,コスメ・お菓子・お守りアイテムなどを見せる,3,アイテム紹介②：お菓子,"動画：バッグの内ポケットから個包装のチョコレートを取り出し、一つを手のひらに乗せる。
テロップ：『脳の栄養！糖分は欠かせません🍫』
色=白（縁取り黒）、サイズ=中、位置=上部","被写体：スタッフ（手元のみ）
撮影者：別スタッフ
方法：手元に寄ってスマホで撮影
ライティング：リングライト",脳の栄養！糖分は欠かせません🍫,疲れた時のために、甘いものは絶対入れてます。,カサカサ、ポンッ,お菓子のパッケージに記載されているブランド名や商品名が映らないように注意。無地の袋に入れ替えるか、中身だけ見せる。
3,スタッフの日常,バッグの中身チェック,コスメ・お菓子・お守りアイテムなどを見せる,4,アイテム紹介③：お守りアイテム,"動画：バッグの奥から、小さなキーホルダーを取り出す。それを両手で優しく包み込むように見せる。
テロップ：『これがないと落ち着かない…お守りです🙏』
色=白（縁取り黒）、サイズ=中、位置=上部","被写体：スタッフ（手元のみ）
撮影者：別スタッフ
方法：手元のアップをスマホで撮影
ライティング：リングライト",これがないと落ち着かない…お守りです🙏,これは学生の時からずっと持ってるお守りなんです。,ゴソゴソ、フワッ、ポワーン,個人情報に繋がるようなアイテム（名前入りなど）は避ける。キャラクターものの場合は著作権に配慮し、映さないようにする。
3,スタッフの日常,バッグの中身チェック,コスメ・お菓子・お守りアイテムなどを見せる,5,アイテム紹介④：意外なアイテム,"動画：バッグの底からまさかの「ミニチュアの動物フィギュア」が出てくる。それをデスクの隅にちょこんと置く。
テロップ：『…なんでこれ入ってるの？🦒（笑）』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：スタッフ（手元のみ）
撮影者：別スタッフ
方法：手元のアップをスマホで撮影
ライティング：リングライト",…なんでこれ入ってるの？🦒（笑）,…なんでしょうね、これ（笑）。たまに見て癒されてます。,ガサゴソ…、えっ！？、コトン,アイテムのチョイスが重要。クスッと笑えるような、当たり障りのないものが良い。
3,スタッフの日常,バッグの中身チェック,コスメ・お菓子・お守りアイテムなどを見せる,6,エンディング：中身を全て並べる,"動画：デスクの上に紹介したアイテムが綺麗に並べられている俯瞰映像。最後にスタッフが画面に向かって小さく手を振る。
テロップ：『ご視聴ありがとうございました！👋』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ（手元のみ）
撮影者：別スタッフ
方法：俯瞰（真上から）でスマホ撮影
ライティング：天井照明＋リングライト",ご視聴ありがとうございました！👋,以上、私のバッグの中身でした！また見てくださいねー！,キラキラ〜、バイバーイ,全てのアイテムがバランス良く映るように配置する。ブランドロゴが隠れているか最終チェックを行う。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,1,オープニング：起床,"動画：ベッドから上半身（首から下）を起こす様子。朝日が差し込んでいるイメージ。
テロップ：『美容クリニックスタッフのモーニングルーティン』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ（パジャマ姿）
撮影者：別スタッフ
方法：少し引きのアングルからスマホで撮影
ライティング：自然光 or 暖色系の照明",美容クリニックスタッフのモーニングルーティン,（爽やかな朝をイメージしたBGMスタート）,ピロン♪,部屋は整理整頓し、生活感が出すぎないようにする。パジャマは清潔感のあるものを選ぶ。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,2,洗顔,"動画：洗面台で、手元で洗顔料をモコモコに泡立てる様子をアップで撮影。
テロップ：『摩擦レス洗顔が美肌の基本』
色=白、サイズ=中、位置=下部","被写体：スタッフ
撮影者：別スタッフ
方法：手元にフォーカスし、マクロ気味にスマホで撮影
ライティング：洗面台の照明＋リングライト",摩擦レス洗顔が美肌の基本,まずは優しく洗顔から始めます。,モコモコ、シュワ〜,洗顔料のボトルが映る場合は、ブランド名がわからないようにラベルを剥がすか、無地の容器に移し替える。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,3,スキンケア：化粧水,"動画：化粧水を手に取り、首やデコルテに優しくハンドプレスで馴染ませる手元のアップ。
テロップ：『化粧水はケチらずたっぷり！』
色=白、サイズ=中、位置=上部","被写体：スタッフ
撮影者：別スタッフ
方法：手元と首元が映るように斜め上から撮影
ライティング：リングライトで肌が綺麗に見えるように調整",化粧水はケチらずたっぷり！,しっかり保湿していきます。,パシャパシャ、ギュッ,化粧水のボトルもブランドがわからないように注意。爪は短く清潔に保つ。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,5,日焼け止め,"動画：日焼け止めを手に取り、腕や首筋に丁寧に塗り広げる様子。
テロップ：『365日！紫外線対策はマスト』
色=黄色（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ
撮影者：別スタッフ
方法：塗り広げる動きが分かりやすいように少し引きで撮影
ライティング：明るく健康的な印象になるように調整",365日！紫外線対策はマスト,出勤時も紫外線対策はバッチリ！,スーッ、ピカッ,塗りムラがないように、丁寧に塗る様子を撮影する。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,6,ベースメイク,"動画：手の甲に出した下地を、指で混ぜてから首元にポンポンと馴染ませる様子。
テロップ：『目指すは“素肌感”のあるツヤ肌』
色=白、サイズ=中、位置=下部","被写体：スタッフ
撮影者：別スタッフ
方法：手元と首元をアップで撮影
ライティング：リングライトでツヤ感を強調する",目指すは“素肌感”のあるツヤ肌,ベースは薄づきでナチュラルに仕上げます。,トントン、ツヤッ,ファンデーションのブランドが分からないように、パレットや手の甲に出して使用する。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,7,ポイントメイク,"動画：リップを指に取り、唇にポンポンと優しく乗せる口元のアップ（顔全体は映さない）。
テロップ：『リップで血色感をプラス！』
色=ピンク、サイズ=中、位置=上部","被写体：スタッフ
撮影者：別スタッフ
方法：口元のみを画角に収めるようにアップで撮影
ライティング：顔に影ができないように正面からライトを当てる",リップで血色感をプラス！,仕上げにリップを塗って…,ポンポン、ちゅるん,「顔から上は表示しない」ルールに則り、鼻や顎が映らないよう口元のみに限定する。難しい場合はアイブロウブラシで眉を整える手元などに変更。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,8,ヘアセット,"動画：後ろ姿で、髪を一つに束ねてお団子にする一連の流れを早送りで見せる。
テロップ：『お仕事モードにスイッチON！』
色=白、サイズ=大、位置=中央","被写体：スタッフ
撮影者：別スタッフ
方法：後ろから三脚で固定して撮影し、編集で早送りにする
ライティング：後頭部が暗くならないようにライトを配置",お仕事モードにスイッチON！,髪をまとめて、準備完了です！,シュルシュル、キュッ,後れ毛などが出ないように、きっちりとまとめることで清潔感を演出する。
4,スタッフの日常,出勤前の朝の支度,スキンケアやメイクのこだわりを紹介,9,着替え・完成,"動画：私服姿から、ジャンプするなどのトランジションで制服姿に切り替わる。最後に玄関で靴を履き、ドアノブに手をかける。
テロップ：『今日も1日頑張ります！』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ
撮影者：別スタッフ
方法：トランジション部分は三脚で固定撮影。最後は手持ちで動きを出す
ライティング：全体的に明るく、清潔感のある照明",今日も1日頑張ります！,（BGMが一番盛り上がる部分）いってきます！,シュバッ！、コツ、ガチャ,制服はシワがないようにアイロンをかけておく。玄関周りも綺麗に整頓しておくこと。
5,スタッフの日常,制服チェンジ動画,普段着から白衣に切り替わるトランジション動画,1,導入：普段着で登場,"動画：清潔感のある普段着のスタッフがカメラに向かって歩いてきて止まり、画面を隠すように手をかざす（胸から下のアングル）。
テロップ：『お仕事モードに…』
色=白（縁取り黒）、サイズ=中、位置=上部","被写体：スタッフ（普段着）が手をかざす
撮影者：別スタッフ
撮影方法：スマホを三脚で固定。ミドルショット。
ライティング方法：室内照明＋リングライト",お仕事モードに…,(アップテンポなBGMスタート),【スッ…】,手をかざして画面が真っ暗になるタイミングでカット。私服にブランドロゴが大きく映らないように注意。
5,スタッフの日常,制服チェンジ動画,普段着から白衣に切り替わるトランジション動画,2,トランジション：白衣にチェンジ,"動画：手が画面から離れると、瞬時に白衣姿に切り替わっている。同じ場所、同じアングル。
テロップ：『チェンジ！』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：スタッフ（白衣）が手を画面から離す
撮影者：別スタッフ
撮影方法：シーン1と全く同じ位置にスマホを固定。ミドルショット。
ライティング方法：シーン1と同じ",チェンジ！,(BGMのサビ部分),【シュバッ！】,カメラを絶対に動かさないこと。シーン1の最後のポーズと繋がるように撮影する。白衣はシワのない綺麗なものを着用。
5,スタッフの日常,制服チェンジ動画,普段着から白衣に切り替わるトランジション動画,3,決めポーズ＆アピール,"動画：白衣姿で腕を組み、プロフェッショナルなポーズを決める。聴診器を首にかけるなど小物を使っても良い。
テロップ：『今日も頑張ります！』
色=白（縁取り黒）、サイズ=中、位置=下部","被写体：スタッフ（白衣）が決めポーズをとる
撮影者：別スタッフ
撮影方法：シーン2と同じ固定カメラ。
ライティング方法：シーン2と同じ",今日も頑張ります！,(BGMが一番盛り上がる部分),【シャキーン！】【キラキラ】,胸元の名札などに個人名が映らないように注意。清潔感を最大限に意識する。
5,スタッフの日常,制服チェンジ動画,普段着から白衣に切り替わるトランジション動画,4,エンディング：ロゴ表示,"静止画：白背景にクリニックのロゴと名称を表示。
テロップ：クリニック名
色=公式カラー、サイズ=大、位置=中央",素材：クリニックのロゴデータ（PNG）,〇〇クリニック,(BGMフェードアウト),【ピロン♪】,ロゴが見やすいように、背景はシンプルにする。
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介,1,オープニング,"動画：スタッフが施術部屋のドアをゆっくり開ける。中から明るい光が漏れ出す様子。
テロップ：『【ルームツアー】施術部屋を大公開！』
色=白（縁取り黒）、サイズ=大、位置=中央上","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：手元とドアに寄ってスマホで撮影（ローアングル）
ライティング：部屋の中を最大限明るくしておく",【ルームツアー】施術部屋を大公開！,（BGMスタート）本日は、当院の施術部屋をご案内します！,ギィ…キラキラ,ドアを開ける手元は清潔感を意識。爪を短く整えておくこと。ゆっくり開けて期待感を煽る。
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介,2,部屋の全体像紹介,"動画：部屋に入り、広角で室内全体をゆっくりとパン（右から左へ）撮影する。
テロップ：『白を基調とした清潔感あふれる空間✨』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：なし（部屋全体）
撮影者：スタッフ
方法：スマホの広角モードで、手ブレしないようにゆっくりパン撮影
ライティング：天井照明＋リングライトで影をなくす",白を基調とした清潔感あふれる空間✨,こちらが施術を行うお部屋です。リラックスしていただけるよう、落ち着いた空間になっています。,ジャーン,事前に部屋を完璧に清掃・整頓しておく。私物や余計なものが映り込まないように画角を要確認。
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介,3,施術ベッド紹介,"動画：施術ベッドに近づき、スタッフが新しいシーツを綺麗に広げてかける。手でベッドを優しく押し、ふかふか感を表現する。
テロップ：『ふかふかベッドでリラックス😴』
色=白（縁取り黒）、サイズ=中、位置=中央下","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：ベッド全体→手元アップなど複数のカットを撮影
ライティング：天井照明",ふかふかベッドでリラックス😴,患者様には、こちらのベッドでリラックスしてお過ごしいただきます。,ファサッ、フワッ,シーツにシワが寄らないように、丁寧に素早くかける。手元の動きは優雅に見えるように意識する。
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介,4,最新マシンの紹介,"動画：施術で使う機械（マシン）にズームイン。スタッフが電源を入れると、操作パネルのライトが点灯する様子をアップで撮影。
テロップ：『最新マシンで美をサポート💪』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：機械のスタイリッシュさが伝わるように様々な角度から撮影。手元のアップも。
ライティング：リングライトで機械を照らす",最新マシンで美をサポート💪,こちらが当院自慢の最新マシンです。皆様のお悩みを解決するお手伝いをします。,ピッ、シャキーン,機械のメーカー名やロゴ、型番が映らないようにマスキングテープで隠すか、映らないアングルで撮影する。
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介,5,こだわりの照明紹介,"動画：スタッフが手元のスイッチで無影灯（照明）を点灯させる。ライトの明るさや機能性がわかるように、ベッドの上を照らす様子を撮影。
テロップ：『このライトでお肌を正確にチェック！💡』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：ライトが点灯する瞬間と、照らされた場所の明るさがわかるように撮影
ライティング：部屋の照明は少し落とし、無影灯の明るさを際立たせる",このライトでお肌を正確にチェック！💡,この特別なライトで、お肌の状態をより正確に確認しながら、丁寧に施術を行います。,カチッ、パーッ,カメラの露出設定に注意し、ライトの光で白飛びしないように調整する。
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介,6,アメニティ・小物紹介,"動画：壁際の棚に綺麗に整頓されたタオルやブランケット、小物を紹介。スタッフが清潔なタオルを一つ手に取る。
テロップ：『アメニティも充実してます♪』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：棚全体→小物に寄るなど緩急をつけて撮影
ライティング：天井照明",アメニティも充実してます♪,施術後にお使いいただけるアメニティもご用意しておりますので、ご安心ください。,キラキラ、ポン,小物のブランド名やロゴが映らないように、向きを調整したり、無地のものを使用したりする。
6,クリニック紹介,施術部屋のルームツアー,ライトや機械・小物など施術部屋を紹介,7,クロージング,"動画：再度、部屋全体を映し、最後にスタッフが患者様をお見送りするように、ドアの前で丁寧にお辞儀をする（腰から下のみ）。
テロップ：『ご来院お待ちしております♡』
色=白（縁取り黒）、サイズ=大、位置=中央","被写体：看護師役スタッフ
撮影者：別スタッフ
方法：引きのアングルで部屋全体とスタッフを映す
ライティング：天井照明＋リングライト",ご来院お待ちしております♡,（BGMフェードアウト）皆様のご来院を、心よりお待ちしております。,（BGMのみ）,お辞儀は最も丁寧な角度（45度）を意識する。最後にクリニックのロゴやアカウント名をテロップで追加するのも効果的。
7,クリニック紹介,ビフォーアフターのデモ,手の甲の水分チェックなど簡単な施術例を紹介,1,オープニング（問題提起）,"動画：白衣を着たスタッフが、少し乾燥気味の手の甲をカメラに見せるアップ。
テロップ：『その手、大丈夫？』
色=白（縁取り黒）、サイズ=大、位置=中央上","被写体：スタッフ1名（施術を受ける側）
撮影者：別スタッフ
方法：スマホで手元に寄って撮影
ライティング：天井照明のみで少し影を作り、乾燥感を演出",その手、大丈夫？,（BGMスタート）,【カサカサ…】,爪は短く清潔に。あえて少し乾燥して見えるライティングを工夫する。
7,クリニック紹介,ビフォーアフターのデモ,手の甲の水分チェックなど簡単な施術例を紹介,2,ビフォー測定,"動画：水分チェッカーを手の甲に当てる。測定結果の低い数値（例：25%）がアップで表示される。
テロップ：『水分量を測ってみると…』→『25%!?』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：スタッフ1名（施術者）、スタッフ1名（被施術者）
撮影者：別スタッフ
方法：水分チェッカーの表示が見やすいようにピントを合わせてアップで撮影
ライティング：リングライトで明るくする",水分量を測ってみると… → 25%!?,まずは、施術前の水分量をチェックしてみましょう。,【ピッ】→【ガーン】,水分チェッカーのブランド名が映らないように注意。数値がはっきり見えるように撮影する。
7,クリニック紹介,ビフォーアフターのデモ,手の甲の水分チェックなど簡単な施術例を紹介,3,施術デモ,"動画：清潔な手つきで、手の甲に保湿剤を優しく塗り広げていく様子。少し早送りで見せる。
テロップ：『当院の保湿ケアで…』
色=白（縁取り黒）、サイズ=中、位置=中央","被写体：スタッフ1名（施術者）、スタッフ1名（被施術者）
撮影者：別スタッフ
方法：スマホで手元をアップ撮影。施術の丁寧さが伝わるように。
ライティング：リングライトで手元を明るく照らす",当院の保湿ケアで…,当院のスペシャルケアで、しっかり保湿していきます。,【スルスル〜】【キラキラ】,保湿剤の容器にブランド名が映らないようにする。清潔感のある手技を意識する。
