投稿者,口コミタイトル,口コミ内容,総合点数,投稿日,訪問日,口コミタイプ,使った金額_夜,料理・味,サービス,雰囲気,CP,酒・ドリンク,この口コミへのいいね数
hamamoooooo,おしゃれでゆっくりできるバー,"3周年記念で最初にスパークリングいただいた
ソファー席でゆっくりできる

ピニャコラーダ（ノンアル）
紫蘇のカクテル
ジャパニーズハイティー

どれもおしゃれで美味しかったし、
二人で5杯飲んで1万いかないからまだお得な方では",3.5,'25/08/13,'25/08,夜,,,,,,,3
MATSUMUSA,こんなに素敵なお店があったなんて！,"新宿西口で素敵なBARに、
出会ってしまいました。
いつもビルの前を歩いているのに、
知りませんでした！！
⁡
店内に入ると、広くてグリーンが美しい装飾とモダンなインテリア。
座り心地最高なソファー。
⁡
久しぶりに、カクテルを楽しみました。
お料理もしっかり美味しい。
⁡また行きたいお店です！
⁡
⁡
⁡
⁡",3.7,'25/05/22,'25/05,夜,,4.0,3.5,4.0,3.5,4.0,29
Nana@旅するグルメお姉さん,様々なウィスキーを軽やかに紹介してくれるダイニングバー,"初めてここに来たのは実はビジネス関連の交流会。
その際に飲んだウィスキーが忘れられなく、自分の嗅覚を活かして見つけ出しました。
清潔感と高級感溢れたお店で、意中の異性をどうにかしたい。
そんな時に良いお店（どんな説明）

私はウィスキーが印象的だったので、色々なウィスキーを紹介してもらったのですが、
ちょっとマイナーなお酒とかも置いてあり、気さくに説明をしてくださいます。
聞いているだけで凄く楽しくなります。
店員さんもとにかく軽やかにお話をしてくれるものだから居心地が良いんです。
上品な居心地の良さ。

また、西新宿で飲む際にはお邪魔します！",4.5,'25/03/17,'24/11,夜,"￥3,000～￥3,999",3.0,4.5,5.0,3.5,4.0,12
すーさん、さいこ～,素敵なお店でした,素晴らしい空間。また，行きたいです。,4.0,'24/07/16,'24/07,夜,,4.0,4.5,4.5,3.5,4.0,9
mimi87,圧倒的アートなダイニングBAR,"◾️2024年5月　訪問

日曜日の新宿駅、ホテルのBARに行こうと思ったが
どこも閉まっていてBAR難民になりかけていたところ
こちらのBARを発見しました。

入口からグリーンがたくさん飾られ、照明などもいい感じ。
広めのカウンター席やテーブル席もあり、アートがたくさん飾られています。
おしゃれなBARでした。

私たちは四人でしたがデートで利用している人や、おひとり様、
六人以上で楽しんでいる方それぞれいます。
お酒も充実していますが食事メニューもあり、
ペペロンチーノと焼き野菜を注文。
焼き野菜はとても美味しかったけどペペロンチーノは
太麺でもちもちしていて良かったけど、
塩気がもの足りなく少し残念。

この日のフルーツカクテルがさくらんぼオンリーでした。

ごちそうさまでした！",3.3,'24/05/28,'24/05,夜,"￥5,000～￥5,999",,,,,,5
つづき007,,新宿西口にあるバーです。米国のスピークイージーみたいに、いい雰囲気です。値段は少しお高め。ドルに直すとそうでもないですが。ボウモア、カリラ、アードベックを飲みました。生ハムもおいしかったです。12時が閉店みたいですね。,2.8,'24/02/26,'24/02,夜,"￥5,000～￥5,999",,,,,,4
はる| 女子が喜ぶグルメをセレクト,大人な雰囲気のバー,"緑に囲まれた大理石のカウンター、壁にはアートと新宿にいるとは思えない、お洒落な空間。
少し薄暗く、時間を忘れてゆっくりできる場所。奥にはゆったり座れるソファー席も。

変わったウィスキーなどもあり、カクテルもレベルが高い。また、フルーツを使ったカクテルもあり、お酒が飲めない人でも楽しめる。
フードメニューは、本格フレンチが充実。どれも美味しくて大満足。

夜遅くまで営業しているので、仕事帰りやデートの2軒目にフラッと立ち寄りたい。

季節のフレッシュフルーツカクテル 1,800円〜
飲む香水 1,700円",4.0,'24/03/10,'23/12,夜,,4.0,4.0,4.0,4.0,4.0,10
Maple I,雰囲気最高、美味しいカクテルと出会えます,"新宿駅西口エリアの雑居ビルにあるこちらのお店。エレベーターをおりたところから緑がいっぱいの素敵な雰囲気です。
店内はカウンターとソファ＆ローテーブルの席がいくつかあり、ゆったりとスペースが取られています。
アートをテーマにしていて、店内の装飾だけでなく、カクテルも目にも楽しいものばかりです。
友人と4人で伺いましたが、カクテルだけでテーブルが華やかに。それぞれ好みが違って楽しい。
私はコーヒーが感じられるジンのカクテルにしました。ゆっくりお酒を飲みながら過ごせます。
チャージ1,000円、サービス料10％がかかります。",3.5,'23/10/07,'23/10,夜,"￥2,000～￥2,999",,,,,,27
wakka169,隠れ家的なお店,西新宿にあるお洒落なお店です。隠れ家的でアートを鑑賞しながらゆっくりとお料理が堪能できました。今回はフルコースにドリンクのペアリングをつけてオーダー。お料理とあったお酒が5杯出てきましたがとてもマッチしていて良いです。オススメです。料理も嗜好が凝らしてあって楽しめました。,3.3,'23/08/22,'23/08,夜,"￥20,000～￥29,999",4.0,3.5,3.5,3.0,3.5,2
baachee,,乾杯シャンパンからグラスワインをお料理に合わせあれこれ頂きました。お料理もワインも季節感とお酒の進むお味と、なによりお店の内装、お客さんの層も含め雰囲気につい飲み過ぎてしまいました。スタッフさんのお見送りまでのサービスも心地く、すっかりファンになりました。,5.0,'23/07/02,'23/06,夜,,,,,,,6
suicagenki,,"食後の一杯。
落ち着いた雰囲気ですね。
ご馳走さまでした。",,'23/06/17,'23/06,,,,,,,,1
☆よちこ☆,,"大人デート、女子会なら良きなんかな⁉️
お酒の種類が独特‼️",2.8,'23/02/09,'23/02,夜,,,,,,,0
takumi__room,,"【BAR FIVE ARROWS】新宿
@bar_five_arrows 
@yukinoyuki_ 

ゆうきさんが経営されるBARに3回目お邪魔しました！お店さんとのコラボ、アフターヌーンティーイベントなどいろんなことにチャレンジ中のお店！１つ１つの食材、1杯へのこだわりは他のお店とは比べ物にならないです！ぜひ皆さん一度足を運んでみてはいかがですか？

（頼んだメニュー）
▪️飲む香水 ¥1,700
▪️季節のフレッシュフルーツカクテル ¥1,500
（店舗詳細）
BAR FIVE Arrows
050-5589-5775
東京都新宿区西新宿1-13-1 今佐ビル 6F
https://tabelog.com/tokyo/A1304/A130401/13274215/

#新宿#新宿bar#新宿バー#カクテル#フルーツカクテル#バーテンダー#barfivearrows",4.0,'22/11/24,'22/11,夜,"￥4,000～￥4,999",4.0,4.5,4.0,2.5,3.5,119
ゆい/東京のカフェとレストランetc,,"「五感で楽しむダイニングバー」

新宿のビルの6階にある隠れ家バー。
暗く落ち着く雰囲気の店内、飾られたアーティスティックな現代アートは夜のデートを演出する。

10月は期間限定コラボで、”薬膳ネコパンチ”を飲むことが出来る。
まさにネコパンチを喰らったかのような、感覚が味わえるオリジナルカクテル。ぜひみんなにも堪能してもらいたい。

ここは料理も秀逸。
今回注文した”牛サガリのロースト ビーツのソース”は、写真映えすることはもちろん、本格的な味わいで、口の中を満たしてくれる。

カウンター席では、目の前でカクテルを作ってくれるので、観ていて楽しい。面白いバーテンダーの方々との会話が楽しめるのも、このお店の魅力の一つ。

間違いなくリピートしたい、誰かに紹介したくなる素敵なレストランバー。

【アクセス】
新宿駅から徒歩5分

【住所】
〒160-0023 東京都新宿区西新宿１丁目１３−１ 今佐ビル 6F

【営業時間】
18:00〜24:00",4.5,'23/12/05,'23/10,夜,"￥6,000～￥7,999",,,,,,14
ISA ITGK,,新宿西口ヨドバシ裏に小洒落たダイニングバー発見！そこは雑居ビルの最上階。エレベーターの扉が開くと予想外の空間が。カジュアルなイタリアンを摘みながらカウンターでも椅子席でもソファでも気ままにその時々のメンバーや雰囲気に合わせて楽しめるとこも良いね〜。一次会でも二次会でも自由自在。ちょっとしたイベントなんてのも良いかもねー。,5.0,'25/09/24,'25/09,夜,"￥6,000～￥7,999",,,,,,12
みﾟﾇ,,"すっごい雰囲気好き。

新宿でこんな落ち着いたお店あるんか……
そう思わせるいい意味で新宿らしくないお店でした。

お客さんも多くなく、カウンターを利用している方もいらっしゃいました。
こちらはJapanese High tea(ネイティブ です。
メニューにアルコール強さの目安が記載されてるのでお酒に弱い方も安心です。

２軒目に是非。

また利用させていただくにょ",4.0,'25/08/31,'25/08,夜,"￥2,000～￥2,999",,,,,,6
ゆんゆ氏,,"新国立劇場でのバレエ観劇後に訪問
終わってから行くとなると店着が
21:45〜22:00くらいになることもあり
こちらはBarだから夜遅くても
予約できるのとてもありがたくて利用◎

以前連れてきてもらったときは
バーテンさんがいてオリジナルカクテルを
作ってもらえたけどこの日はいなくて
「メニューにあるものしかご提供できない」
と言われたのが残念ポイント

フードも充実していて何より雰囲気が
おしゃれで大好きなのでまた行きたい♡
2人で料理4品、お酒を私が3杯・友人2杯飲んで
1人6000円ちょっとはCP良すぎかと♡",3.4,'25/05/28,'25/04,夜,"￥6,000～￥7,999",,,,,,2
あつぽん19709,今年Bar飲み納め,"今年の外での飲み納めとして行かせてもらいました。
入店して座ってから丁寧にこんなドリンクとこんなフードがございますとそのお店と今日の強みを教えていただき、じゃあそれは頼まなきゃなという気にさせてくれます。
カクテルも美味しいし、お値段も意外にリーズナブルでした。

お店の中も緑が多く、一般的なBarにあるビンテージ感はあまりありませんが、オシャレな雰囲気のある空間でした。

また行きたい。",4.0,'24/12/30,'24/12,夜,"￥4,000～￥4,999",,,,,,6
シュ〜2011,,落ち着いた雰囲気、量少なめ,4.0,'24/12/08,'24/11,夜,,,,,,,7
食うじょー承太郎,,季節のカクテルがおいしいお店です。おうかがいした時はナシ、マスカット、など初秋の果物をつかったカクテルが一杯2000円くらいだったと思います。人がいっぱいの週末新宿の中で落ち着いてゆっくり飲めるお店です！,3.2,'24/10/04,'24/09,夜,,,,,,,6
