タイトル,投稿日,訪問日,レビュアー名,総合評価,料理・味,サービス,雰囲気,CP,酒・ドリンク,金額_夜,金額_昼,いいね数,口コミ本文
,'25/12/31,'25/12,えりログ2171,4.4,4.4,4.4,4.4,4.4,4.4,"￥10,000～￥14,999",－,29,"銀座新橋付近で友人と行くご飯を探していたところ新しい店舗で気になったので予約して伺いました！！居酒屋のジャンルで書いてありますが店内に入ると大理石調で暗めの照明がまたお洒落でとても居酒屋さんとは思えない豪華な作りでした(*´-`)3時間飲み放題付きコース | 全10品 / 9,800円◆MENU◆松坂牛のユッケからしゃぶしゃぶも一枚一枚が大きく食べ応えのあるお肉で松坂牛を堪能できて贅沢でした✨野菜もたっぷりあるので嬉しいです。金目鯛の煮付けも丸々1匹いただける贅沢な一品。身がホクホクで思わずご飯が欲しくなりますね(*´-`)お酒にも合います！そしてしゃぶしゃぶの残った出汁で茹でたお蕎麦はカラスミが乗ってて匂いも良く蕎麦のコシもあってスルスルっと食べられました美味しかったです♩飲み放題もついてで銀座でこの値段はコスパがいいと思うので女子会でもデートでも普段使いもできそうですしどのシーンでも利用出来そうですね✨"
,'25/12/29,'25/12,sabo16123,4.0,,,,,,"￥8,000～￥9,999",－,4,飲み放題コースを頂きました。しっかりボリュームがあり、食べ終わる頃には満腹でした！和牛のしゃぶしゃぶが特に美味しかったです
,'25/12/29,'25/12,しんちゃんグルメ1998,5.0,,,,,,"￥6,000～￥7,999",－,3,【銀座の隠れ家】松阪牛とカラスミ蕎麦の衝撃！「別天地 銀座」がまさに理想郷すぎた銀座のビルの中に、名前通りの「別天地」を発見！最高級の松阪牛から、香りが爆発するカラスミ蕎麦まで……一品ごとに感動が押し寄せる、しんちゃんのための極上コースでした** 喰らい尽くした「別天地コース」お品書き **壱、先付 胡麻豆腐雲丹濃厚な胡麻のコクと、とろける雲丹の甘みが完璧なデュエット。肆、黒毛和牛ユッケ噛むほどに溢れる肉の旨味。銀座クオリティの鮮度に脱帽。伍、松阪牛のしゃぶしゃぶ本日のメイン！出汁の香りが松阪牛のポテンシャルを極限まで引き上げる。陸、カラスミ蕎麦しゃぶ蕎麦の香りとカラスミのコク。これぞ「大人の贅沢」の終着駅。捌、朧昆布おにぎりふわっふわの朧昆布に包まれた、旨味の塊。最後の一口まで驚きがある。**しんちゃんのポイント**店内の高級感あふれるカウンターで、一品ずつ提供される丁寧な仕事。銀座駅からも近く、大切な日や自分への最大のご褒美にふさわしい場所です。
1人1鍋で味わう松阪牛しゃぶしゃぶ,'25/12/28,'25/12,マシュメロ,4.0,4.0,4.0,4.0,4.0,4.0,"￥8,000～￥9,999",－,8,"松阪牛のしゃぶしゃぶをはじめ金目鯛や旬食材を使った和食が楽しめる大人の一軒今回はコースで利用■別天地コース　7,800円【壱】先付 胡麻豆腐雲丹なめらかな胡麻豆腐に雲丹をのせた先付け濃厚ながらも後味は上品で最初の一品から期待が高まる【弐】八寸 前菜盛り合わせ鰹のたたき、塩銀杏、蟹ほぐしもずく、翡翠茄子季節感を大切にした彩り豊かな盛り合わせ【参】白子と根セロリの昆布だし和えとろける白子に昆布出汁をかけて仕上げた一品根セロリの香りが良いアクセント【肆】黒毛和牛ユッケきめ細かな肉質で旨味がぎゅっと凝縮✨卵黄ソースが絡みコクがさらに引き立つ！【伍】松坂牛のしゃぶしゃぶ本日のメイン！美しいサシの入った松阪牛をさっと湯にくぐらせると甘みと柔らかさが際立ちとろける美味しさ✨野菜にも肉の旨味が染み込み…贅沢な仕上がりに！1人1鍋で提供される贅沢なスタイルも嬉しい【陸】カラスミの余香そば目の前で削ってくれるカラスミとそばの香りが調和した一皿【漆】金目鍋の煮付け甘辛い煮汁がほどよく染み込んでいて身はふっくらで美味しい【捌】朧昆布のやさしいおむすび【玖】菊花椀朧昆布のやさしい味わいでほっとする〆【拾】甘味 抹茶わらび餅黒蜜かけぷるっとなめらか甘さ控えめで最後まで上品〈ドリンク〉・生ビール・土田生酛 別誂・田酒料理は一皿ごとに丁寧な仕事を感じ盛り付けや器の美しさも印象的✨すべて1人一皿で提供されるため特別感のあるコース構成でした厳選された日本酒のラインナップも豊富で料理との相性も抜群店内は和モダンで落ち着いた雰囲気で記念日や大人のディナーにぴったりな銀座らしい一軒でした！ごちそうさまでした"
,'25/12/27,'25/12,おかか41525,3.4,,,,,,"￥8,000～￥9,999",－,2,銀座に新しくオープンした別天地さんに伺いました。銀座で飲み放題付で1万円を切る価格設定は素晴らしいと思います。コースも品数も多くお腹いっぱいになります。贅沢を言えばもう少し一品一品のクオリティを上げて欲しい気もしますが、価格を踏まえると文句は言えません。品数を少し絞ってでも料理のクオリティを上げると文句無しになるのではないでしょうか。とはいえしゃぶしゃぶはさすがのクオリティでボリューム、肉質ともに大満足でした。
,'25/12/26,,louis1230,3.0,,,,,,－,－,0,ひとりずつに鍋のようなものがついてるピンポンないから、店員呼ぶの大変
銀座でこの内容はコスパ最強…！和モダン空間で楽しむ贅沢日本料理コース,'25/12/23,'25/12,りょうちょり,3.5,,,,,,"￥8,000～￥9,999",－,3,"11月末に銀座にオープンした日本料理居酒屋 別天地 に行ってきたよ✨銀座らしい和モダンで落ち着いたおしゃれ空間なのに豪華食材×繊細な出汁を堪能できるコースがコスパ良すぎてびっくり…！⸻️ 注文メニュー別天地コース（3時間飲み放題付き） 9,800円壱｜濃胡麻豆腐に雲丹とろり濃厚な胡麻豆腐のなめらかさに、雲丹のとろりとした旨味が重なる一口弐｜八寸 海と山のほぐれ味季節の恵みを少しずつ楽しめる前菜（蟹味噌入り蟹ほぐし・塩銀杏・翡翠茄子・鰹のたたき など）参｜白子と根セロリの昆布だし和えとろける白子に、根セロリの香りがふわっと寄り添う上品な一品肆｜松坂牛 マイクロハーブユッケ濃密な旨味の松坂牛×卵黄のとろり感がたまらない…♡伍｜松坂牛 しゃぶしゃぶ名物！一人一鍋の専用鍋で楽しめる贅沢しゃぶしゃぶ✨湯気と一緒に立ち上がる香りが最高！陸｜カラスミの余香そば削りたてカラスミの芳醇な塩気が麺に絡む、大人な締め漆｜金目鯛の煮付けふっくら金目鯛に甘辛い煮汁がじんわり染みる一皿捌｜朧昆布のやさしいおむすびほどける口当たりと優しい旨味でほっこり玖｜菊華椀（きっかわん）蓋を開けた瞬間の香りまで楽しめる、余白を味わう一品拾｜抹茶わらび餅 黒蜜かけ最後まで抜かりない、大満足のデザート⸻推しポイント・銀座とは思えないコスパの良さ・松坂牛や雲丹、白子など豪華食材づくし・名物しゃぶしゃぶは一人一鍋で食べられる・出汁がとにかく繊細で上品⸻飲み放題ポイント・お酒だけじゃなくお茶の種類が豊富✨・お酒飲めない人でも楽しめるのが嬉しい◎⸻子連れポイント・子供可・ボックスのソファー席ありで一緒に食事できた‍♀️・子供用グッズは特になし・エレベーターあり・店内に段差があるので、ベビーカーは降ろした方がベター⸻営業時間17:30 - 23:00↑食べログでは営業時間17:00〜になってるけど、17:00に行ったら準備中だった⸻銀座でちょっと特別な日や、大人の集まりにもおすすめなお店でした✨"
,'25/12/22,'25/12,Ai♡,4.7,,,,,,－,－,8,"2025年11月25日オープン！高級感のあるおしゃれな店内で、1人ひとつ専用鍋でいただけちゃいます！！黒毛和牛のしゃぶしゃぶは脂が乗っていて絶品☺️お野菜もたっぷり取れて女性にも嬉しい♡初めから最後まで、お皿も盛り付けも可愛くて、お酒も美味しくて最高でした✨【お店情報】店名　別天地　銀座住所　東京都中央区銀座7-6-10 アソルティ銀座花椿通りビル 4FOpening November 25, 2025!Enjoy a luxurious and stylish dining experience with a private pot for each person!The Kuroge Wagyu beef shabu-shabu is delicious and fatty. ☺️It's also packed with vegetables, perfect for ladies. ♡From start to finish, the plates and presentation were lovely, and the drinks were delicious. It was the best! ✨【Store Information】Name: Betenchi GinzaAddress: 4F, ​​Assorti Ginza Hanatsubaki Dori Building, 7-6-10 Ginza, Chuo-ku, Tokyo"
一人一鍋で味わう松坂牛のしゃぶしゃぶ！,'25/12/22,'25/12,えりっく502,4.0,4.0,4.0,4.0,4.0,4.0,"￥8,000～￥9,999",－,61,"2025年11月25日に新規オープンした【銀座 別天地】さんへ。割烹料理をもっと気軽に楽しめるというコンセプトのもと、店内は盆栽が飾られていたり和のテイストでした!!特に印象的だったのが「一人一つの専用鍋」で提供される松坂牛のしゃぶしゃぶ！周囲に気を遣うことなく、自分のペースで楽しめるのがとても心地よいお店でした！コースは、前菜から甘味まで次々と運ばれてきてスピーディーでした。今回予約したコースは、【 3時間飲み放題付きコース | 全10品 / 9,800円 】⚫︎濃胡麻豆腐に雲丹とろりなめらかな胡麻豆腐に雲丹が添えられていて優し味でした。⚫︎八寸 海と山のほぐれ味(カツオのたたき、銀杏、蟹入りもずく酢、翡翠茄子)４種の前菜は、少しづつ色々食べられるので嬉しかったです。⚫︎白子と根セロリの昆布だし和え白子のとろける食感に、根セロリの香りがふんわりと香り、優しい味わいでした。⚫︎松坂牛 マイクロハーブユッケしっかりと火入れされた松坂牛のユッケはマイクロハーブとともにさっぱりと頂きました。⚫︎松坂牛 しゃぶしゃぶ一人一鍋で提供され、自分のタイミングで食べられるのが良いですね！最初に九条ネギを入れると出汁の香りが良くなるとのことで、最初に九条ネギを投入したら、ネギの香ばしい匂いと出汁にネギの甘みが滲み出ていました！⚫︎カラスミの余香そば今回カウンターだったので、目の前で削ってくれる削りたてのカラスミの塩味と香りを楽しみながら麺をいただけました。⚫︎金目鯛の煮付け甘辛い煮汁が染み込んでいました。⚫︎朧昆布のおむすびたっぷりのおぼろ昆布と大きめのおにぎりが一気に胃袋を満腹にしてくれます！⚫︎菊華椀蓋を開けた瞬間に立ち上る菊の華の香りが印象的でした！⚫︎抹茶わらび餅 黒蜜かけ柔らかくて甘さ控えめのわらび餅は〆にピッタリでした。銀座でありながら、気軽に割烹を楽しめるお店！そして、３時間飲み放題付きで、このお値段はコスパ最高でした！場所も新橋駅、銀座駅どちらもアクセス良好なのも良きですね！！ご馳走様でした！"
11月20日NEWオープン,'25/12/22,'25/11,ココタベノミログ,4.0,4.0,4.0,4.2,3.8,4.2,"￥10,000～￥14,999",－,11,銀座駅 徒歩3分銀座七丁目の立地にニューオープンの国産和牛しゃぶしゃぶ＆お鍋・お魚料理を楽しめるお店和牛すき焼きをはじめとした食事に飲み放題がついたコース。＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿・『前菜四品』（茄子煮浸し・鰹のタタキ・蒸し地鶏・銀杏串焼）・『和牛カツサンド』塩と柚子胡椒添え・『和牛のたたき』・『蟹味噌もずく』大好物の蟹味噌。日本酒が進みます。・『金目鯛の煮付け』ボリューム満点。・『和牛のすき焼き』リブロースと肩ロース。スタッフさんが焼いてくださるすき焼。溶き卵を絡めていただきました。・『土鍋ご飯』乄のご飯飲み物・仙禽モダン(栃木・山田錦)・神亀(埼玉・山田錦)・なかむら(鹿児島・芋)・みむろ杉(奈良)＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿︎︎︎☺︎お料理・一皿ごとに大人のビジュアル。派手さよりも品のある華やかさがあって写真に収めたくなる。︎︎︎☺︎雰囲気・内装・柔らかな照明がとても心地よく落ち着く空間・カウンターとテーブルがあり店内の座席は50席。団体or少人数でも利用しやすいと思います。銀座らしい落ち着いた雰囲気にも肩肘張らずくつろげる雰囲気。日常の延長に“非日常のごほうび” を感じられる大人のためのお店。＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿＿東京都中央区銀座7-6-10 アソルティ銀座花椿通りビル 4F03-6264-6992月・火・水・木・金・土・日16 - 23:00
和洋折衷の四季折々の料理が堪能できる,'25/12/21,'25/12,harapeko __girl,4.2,4.2,4.5,4.0,4.0,4.2,"￥10,000～￥14,999",－,104,こんにちは！今日も腹ペコ！はらぺこちゃんです。————店舗詳細————————————店舗名　:別天地最寄駅　:新橋駅銀座口より徒歩8分住所　　: 〒104-0061東京都中央区銀座7-6-10アソルティ銀座 花椿通りビル4F営業時間:17:00〜23:00定休日　:日曜日予算　　:¥10000〜¥15000————————————————————今回は、新橋駅銀座口より徒歩8分！和洋折衷の四季折々の料理が堪能できる『別天地』さんへ行ってきました！『別天地』さんは、海の幸・山の幸・郷の恵みの豊かな旬の食材と素材の持ち味を生かした繊細な味わいにこだわった料理の数々を楽しめます♪有名店で腕を磨いた料理長が織りなす和洋折衷と四季折々の釜飯・しゃぶしゃぶ・すき焼き・金目鯛などのお魚料理などの和食から、ヒレカツサンドなどのお肉料理まで♪アラカルトはもちろん！松坂牛と金目鯛が出てくる和の贅沢を極めた最高級コースなどもあるので接待、会食、大切な記念日、お祝い事にピッタリです！ドリンクメニューは、ビールをはじめ、サワー系・ハイボール・お茶割り・果実酒・ワイン・種類豊富な日本酒・焼酎までプレミアムな人気銘柄も多数あるので、日本の極上の地酒を美味しい料理と一緒にペアリングも楽しめます！今回頼んだコース【国産和牛しゃぶしゃぶコース】・濃胡麻豆腐に雲丹とろりなめらかでもっちりと弾力のある胡麻豆腐と雲丹のとろっとした旨味が絶品。・八寸・蟹味噌入り蟹ほぐしもずく添え・塩銀杏イチョウ添え・翡翠茄子・鰹のたたき・白子と根セロリの昆布だし和えぷりぷりの白子と根セロリの素材の味が引き立つシンプルなお吸い物でした♪・松坂牛 マイクロハーブユッケ噛めば噛むほど松坂牛の旨味が口の中に広がります。・松坂牛 しゃぶしゃぶ温めたお出汁にさっとくぐらせていただけるのは贅沢すぎました♡松阪牛はちょうど良いさしがはいってて柔らかくて美味しかったです♪備え付けのポン酢と一緒にいただきました。・カラスミの余香そば目の前でカラスミを削ってくれました！芳醇な塩気が麺にまとわり少しお鍋で温めていただくとカラスミの香りと塩味が相性抜群！・金目鯛の煮付け とろ照り旨煮高級な金目鯛がいただけるなんて感激！ふっくらとした金目鯛の身に甘い煮汁がじんわり染み混んでおり美味しかったです♡・朧昆布のやさしいおむすびほんのりとお出汁で味付けされたおにぎりに朧昆布がふわりのっており、昆布の旨みがクセになります。・菊華椀菊花を使用しているのでお椀の蓋を開けるとほんのり湯気とともにやさしい香りが漂います。・抹茶わらび餅黒蜜かけもっちもちの抹茶の粉がまぶされたわらび餅と黒蜜の相性抜群！店内に入るとすぐに目につくのは綺麗な盆栽がお出迎えしてくれます。和風で高級感溢れる大人の隠れ家のような雰囲気で、調理が目の前で見えるライブ感溢れるカウンター席、ゆったりと座れるテーブル席がありとても素敵な空間でした。今回も腹ペコちゃん満プクです！ご馳走様でした。
前菜から〆まで大満足の松阪牛しゃぶしゃぶ付き別天地コース,'25/12/19,'25/12,大蒜あさり,4.0,4.0,4.0,4.0,4.0,4.0,"￥8,000～￥9,999",－,304,"平日の夜19:30に予約をして伺いました！こちらのビルは別フロアに毎月通っていたので、広さは同じくらいだろうと思っていたら、想像以上に広くてびっくりです。店内は真ん中に大きなテーブル席があり、BOX席やカウンター席など席タイプもさまざま。デートから宴会まで幅広く使えそうで、この日はすでに満席に近く、とても賑やかな雰囲気でした。本日いただいたのは・松阪牛しゃぶしゃぶ付きの飲み放題の別天地コース ¥9,800銀座でこの内容、この価格は正直すごい…です。しかも月・火・水・木・土・祝日は2時間制、金曜日は3時間制なので、金曜日はさらにお得ですね！お料理はまず・濃胡麻豆腐に雲丹からスタート濃厚な胡麻豆腐に雲丹の旨みが合わさって、ひと口目から安心できる一品・八寸 海と山のほぐれ味季節の恵みを小さな4つの器で・蟹味噌入り蟹ほぐし もずく添え・塩銀杏 イチョウ添え・翡翠茄子・鰹のたたき・白子と根セロリの昆布だし和え直前に冷たいお出汁をかけて完成。大きな白子に驚き！根セロリの香りが意外と相性よかったです。・松阪牛 マイクロハーブユッケ松阪牛の旨みがしっかり感じられ、ローストビーフのサラダ仕立てのような感覚で、思わずパクパク！・松阪牛しゃぶしゃぶお待ちかねのしゃぶしゃぶきめ細かな肉質で、さっと火を入れるだけでとろける松阪牛が本当に美味しい〜1人1鍋スタイルで、カウンター席はIHも目の前に1人1台。長ネギ、豆腐、えりんぎ、えのき、紅芯大根、にんじん、水菜と野菜もたっぷり。量もちょうど良く、これがコースに含まれているのは本当にすごい。タレはさっぱりポン酢でいただきました。・カラスミの余香そば〆はお蕎麦。こちらも直前にカラスミを削ってくださり、しゃぶしゃぶ鍋で温めていただきました。〆に温かいお蕎麦がしみます,・金目鯛の煮付け とろ照り旨煮身はふっくらで甘辛い煮汁がちょうどよい。・朧昆布のやさしいおむすび金目鯛とともにいただく大きめサイズのおにぎり・菊華椀やさしいお出汁でほっこりできるお椀です。デザートは・抹茶わらび餅 黒蜜かけ全体的にボリュームもしっかりで、かなりお腹いっぱい！飲み放題付きなので、たくさん飲みたい方、忘年会・新年会、ワンランク上の居酒屋を探している方にオススメです,"
大人の和食,'25/12/18,'25/12,chieko.tan,4.1,4.1,4.2,4.1,4.1,4.1,－,－,67,11月にオープンしたばかりの別天地 銀座 へ✨■お品書き■【　壱　】濃胡麻豆腐に雲丹とろり【　弐　】八寸 海と山のほぐれ味・蟹味噌入り蟹ほぐしもずく添え・塩銀杏イチョウ添え・翡翠茄子・鰹のたたき【　参　】白子と根セロリの昆布だし和え【　肆　】松坂牛 マイクロハーブユッケ【　伍　】松坂牛 しゃぶしゃぶ【　陸　】カラスミの余香そば【　漆　】金目鯛の煮付け とろ照り旨煮【　捌　】朧昆布のやさしいおむすび【　玖　】菊華椀【　拾　】抹茶わらび餅黒蜜かけ全10品の別天地コースは、雲丹のせ胡麻豆腐から始まり、松坂牛のユッケとしゃぶしゃぶ、白子、金目鯛、カラスミそばまで、一皿ごとに丁寧な余韻が残る構成。素材の良さを引き出すやさしい味付けで、静かに満たされていく大人の和食時間。〆の抹茶わらび餅まで、美しく完走。銀座で落ち着いて食事を楽しみたい夜に、選びたくなる一軒です。
1人1鍋のしゃぶしゃぶ,'25/12/17,'25/12,_takelog,4.0,4.0,4.0,4.0,4.0,4.0,"￥8,000～￥9,999",－,106,"銀座にあるしゃぶしゃぶをメインとしたお店。コースは1万円以下ですが内装が豪華なので会食などにも使えそうなお店。しゃぶしゃぶは1人1鍋なのが嬉しい。コースはしゃぶしゃぶ以外にも色々出てきて松坂牛のユッケが美味しかったかな。〜注文内容〜■お料理のみコース ¥7,800【壱】濃胡麻豆腐に雲丹とろり【弐】八寸　海と山のほぐれ味・蟹味噌入り蟹ほぐしもずく添え・塩銀杏イチョウ添え・翡翠茄子・鰹のたたき【参】白子と根セロリの昆布だし和え【肆】松坂牛 マイクロハーブユッケ【伍】松坂牛しゃぶしゃぶ【陸】カラスミの余香そば【漆】金目鯛の煮付け とろ照り旨煮【捌】朧昆布のやさしいおむすび【玖】菊華椀（きっかわん）【拾】抹茶わらび餅黒蜜かけ"
,'25/12/16,'25/12,えぬぐるめ,4.1,,,,,,"￥10,000～￥14,999",－,122,"【最寄駅】銀座駅 徒歩8分⁡【来店時間】月曜日 19時30分頃⁡【用途】ディナー⁡【定休日】【予約】あり【待ち時間(店外)】なし⁡【利用人数】2名⁡【予算】￥10,000～￥14,999【注文内容】おまかせコース⁡【レポ】☆外観からしておしゃれで、大人の雰囲気が漂う素敵なお店。店内は広々としていて、大テーブル・カウンター・ボックス席など席の種類も豊富です。シーンに合わせて、デートや女子会、カジュアルな飲み会から少しかしこまった会食まで幅広く使えそう！さらに嬉しいのが、一人一つずつIHの焼き場があるスタイル。おひとり様用の鍋で楽しめるので、取り分けの手間もなく、自分のペースでゆっくり味わえるのが最高です。料理もどれも美味しく、コース全体の量もしっかり多めで、満足感たっぷりでした。雰囲気も料理も大満足で、またぜひ利用したいお店です。ごちそうさまでした！✏︎- - - - - - - - - - - - - - - - - - - - - - - - - - - - -⁡最後まで読んで頂き誠にありがとうございます！気軽にコメント頂けましたら返信させて頂きます。少しでも皆様のグルメ情報のご参考になれば幸いです。"
一人ひと鍋が嬉しい♡銀座New Openのお手頃割烹,'25/12/14,'25/12,まんぷく夫婦の外食備忘録,3.9,4.0,3.5,4.4,4.0,4.0,"￥10,000～￥14,999",－,155,【銀座×居酒屋】銀座でちょっと贅沢、という時にとっても良いおだと思います。何と言ってもコースの鍋は一人ひと鍋で楽しめるのが嬉しい！今回は黒毛和牛しゃぶしゃぶを楽しめるコースを事前に予約してお伺いしました。店内は中央に大きなテーブル、それを囲むようにボックス席があり、仕切りが高いためプライベート感もしっかり。中央の大きなテーブルとバーカウンターがとてもおしゃれで空間へのこだわりを感じました。コースは胡麻豆腐×雲丹の新しい組み合わせで幕開け！八寸には大好きな蟹が入っていて、素材一つ一つがとても贅沢！白子とセロリの椀はお出汁を目の前でかけてくれるサービスがあり、ライブ感がとても良かったです◎そしてセロリおろしが美味しすぎて‥この日一番印象に残ったメニューです。さてさてメインのしゃぶしゃぶは季節の野菜がたっぷり！入荷状況でラインナップは変わるそうで、他レビュワーさんを見ていると本当にお野菜の種類などが違っていてびっくりしました。お肉と一緒にお野菜がたっぷり味わえるのが嬉しい。紅辛大根やにんじんなど彩を添える野菜も多く、とても映えました♡しゃぶしゃぶをしっかり楽しんだ後は旨味がたっぷりのスープで味わう蕎麦しゃぶ。蕎麦を10秒程度スープに浸し、店員さんを呼んだら‥カラスミをこれでもか！というぐらいまでたっぷりかけていただきます。カラスミの塩気をしっかり感じ、とても美味しかったです。ひとつひとつのお料理が温かみを感じる優しい内容の他、ドリンクの種類が豊富で驚きました。レモンサワーでも3種類あったりお茶割りの種類も豊富！ソフトドリンクも豊富だったので、お食事をメインに楽しみたい方にもおすすめです。ご馳走様でした。
,'25/12/11,'25/12,youringo,4.3,,,,,,－,－,15,先月オープンしたばかりの新店です。場所は新橋駅近く、銀座からも徒歩圏内。アソルティ銀座花椿通りビルの4Fにあります。外観からおしゃれで大人の雰囲気漂うお店。店内は広々としており、大テーブル、カウンター、ボックス席と席の種類も豊富。照明が暗めで落ち着いた空間です。この日のコース料理・濃胡麻豆腐に雲丹とろりクリーミーで濃厚な胡麻豆腐に、たっぷりの雲丹が乗って贅沢そのもの！・八寸 海と山のほぐれ味4種の小鉢に上品に盛り付けられ、お酒が進みます。特に「蟹味噌入りの蟹ほぐしもずく添え」が絶品！温かい塩銀杏はホクホクで塩加減がちょうど良く、翡翠茄子は美しく、鰹のたたきは臭みゼロの新鮮さでした。・白子と根セロリの昆布だし和えプリプリの白子がたっぷり。根セロリがまろやかさを加え、目の前で注がれる昆布だしが香り高く最高です。・松坂牛 マイクロハーブユッケ松坂牛の旨みがぎゅっと凝縮されたジューシーなユッケ。・松坂牛 しゃぶしゃぶ一人一鍋で自分のペースで楽しめます。出汁の香りが良く、野菜はこだわりありの紅芯大根にカモギ茸、ひらたけなどキノコは3種類。さすがの松坂牛は口の中でとろける美味しさでした。・カラスミの余香そば目の前でカラスミを削ってくれるパフォーマンスが素敵。香り豊かなカラスミとお蕎麦の相性が抜群です。・金目鯛のとろ照り旨煮・朧昆布のやさしいおむすびやや甘辛の金目鯛に、ふわふわの朧昆布のおむすびがよく合います。・菊華椀優しいお吸い物に菊の花が爽やかさをプラス。・抹茶わらび餅 黒蜜かけ甘さ控えめの柔らかわらび餅に、黒蜜がよく合います。ドリンクメニューがとても充実していて、特に日本酒は銘柄が豊富！グラスで注文できるのも嬉しいポイントです。いただいた日本酒・赤武（岩手）純米吟醸　→　フルーティで私好み・みむろ杉（奈良）ろまんシリーズ 山田錦 純米大吟醸　→　旨みがしっかり・紀土（和歌山）純米大吟醸 山田錦　→　やや辛口でスッキリオープンしたてとは思えない完成度の高さで、大満足のコースでした(^^)
高級感あふれる和モダン割烹,'25/12/09,'25/11,hirono_yummy_n001,4.2,4.0,4.5,5.0,4.0,4.0,"￥10,000～￥14,999",－,25,"メニューや店内情報の写真あり！【ディナーデートにおすすめ】今ならまだ穴場！和食を堪能したいならココ！…これは保存するしかない ▶︎ 保存＆シェアで次のデートの参考に！ ▶︎ フォローして“あの人の笑顔”ゲットしよう！**別天地■ 店内テーブル・カウンターあり。長机もあって大人数利用もできる！カウンター席だとバーみたいでめっちゃ雰囲気良かった〜■ シーン別おすすめ度デート：★★★（初回でもオススメ！）女子会：★★☆ひとり：★★☆同僚・友人：★★★■ 注文メニュー＆感想【 別天地コース | 全10品】¥9,800/人・島豆腐と雲丹・揚げ銀杏・翡翠ナス・蟹ともずく・鰹のタタキ・白子と根セロリの昆布だし和え・黒毛和牛ユッケ風・黒毛和牛しゃぶしゃぶ（お肉2種類）・カラスミ蕎麦・魚の煮付け（金目鯛）・朧昆布おにぎり・わかめと雲丹としらすの出汁スープ・甘味個人的には初っ端の島豆腐が結構おいしくて好きだった！もちろんメインのお肉も美味しかった！お肉は黒毛和牛が2種類。野菜もついてきました◎ボリュームは充分！✨〆は蕎麦！これがめちゃめちゃ美味しくて！！！カラスミもかけてもらって美味しすぎて驚いた！と思ったら〆じゃなかったのか？！まさかの巨大すぎる金目鯛が登場2人では本当に多すぎるくらいの量でしたおにぎりも出汁が効いてて美味しかったしこの日はいつも出してる汁物ではない「わかめと雲丹としらすの出汁スープ」が出てきました。めちゃめちゃ美味しくて最後までとろけた和食を充分にたのしめるコースでした＊—————————＊—————————＊銀座駅　徒歩7分新橋駅　徒歩7分17:00〜23:00ディナー¥8,000〜予約OK  03-6264-6992カード・QRコード・電子マネー対応＊—————————＊—————————＊他にも“リピートしたいお店”のみ紹介中！気になったらプロフィールから他の投稿もチェックしてね→ @azato_date_gourmet次の投稿もお楽しみに☆＊—————————＊—————————＊"
,'25/12/05,,matsu363712,5.0,,,,,,－,－,2,料理が全部美味しかったです
銀座で上質なしゃぶしゃぶコースを堪能してきました。,'25/12/04,'25/12,miii.net,4.3,4.3,4.3,4.3,4.3,4.3,"￥10,000～￥14,999",－,92,"店内に入るとまず大きな立派な盆栽が目に入り高級感漂う雰囲気。予約したのは【別天地コース】9,800円一品一品の仕事が丁寧で、季節感も盛り込まれており、最初から最後まで大満足でした。【先付】島豆腐 雲丹のせ濃厚な雲丹とまろやかな豆腐の相性が抜群。【八寸】前菜盛り合わせ・蟹味噌入り蟹ほぐし もずく添え・塩銀杏・翡翠茄子・鰹のたたきどれも丁寧に作られ、味に深みがあります。【白子と根セロリの昆布だし和え】上品なだしが白子の甘みを引き立てて美味。【黒毛和牛ユッケ風】とろける柔らかさで、甘みのある脂が口いっぱいに広がります。【黒毛和牛しゃぶしゃぶ】野菜もたっぷりで、寒い日にぴったりの一品。出汁が美味しくて箸が止まらない。【カラスミ蕎麦】香り豊かなカラスミが良いアクセント。【金目鯛の煮付け】驚くほど大きくて食べ応え抜群。ふっくらと仕上がっていて本当に美味しい。【朧昆布おにぎり】やさしい味でほっとする〆。【菊華椀】お出汁　わかめと雲丹が入ったお吸い物。デザート　やわらかわらび餅上品な味わいでコースの最後にぴったり。銀座で落ち着いて和食としゃぶしゃぶを楽しみたい時に、また伺いたいお店です。"
,'25/12/03,'25/11,なお6bfe,4.0,,,,,,－,－,12,新しく銀座に落ち着いた大人のレストランが誕生お料理はお酒に合うものばかり蟹味噌ともずくの和え物ははじめまして前菜は銀杏や鰹のタタキなどどれも美味しいビールがすすむ2杯目は瀬戸内レモンサワー爽やかで美味しい前菜の後は和牛中心のメニュー贅沢✨✨すき焼きは1人1台のお鍋でお店の方が作ってくれますすごい霜降りのお肉しかも大きい〜脂のってました♪ここでとうもろこしひげ茶割りを注文旅館でしか食べたことないような大きな金目鯛の煮付け身がふっくらで脂のりも良くて味付けも上品〆の釜飯にも和牛がのってる豪華さ素晴らしい銀座の夜でした店内はオシャレなバーのような雰囲気窓から銀座の夜景が見えるのが魅力的です。
