No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
11,ハンバーガー業態を選ぶ方は本気で覚悟した方がいい事実（マクド）,ハンバーガー屋さんやりたい人、本気で覚悟せんと地獄見ますよ。,美味しいバーガー作れば、絶対いけるって思いますよね。,こだわりのパティ、特注のバンズ…味で勝負したらええんやろって。,でも、それだけじゃ絶対に勝てません。,お客さんに「マクドでええか」って言われて、こだわった分だけ心が折れるんです。,「いやいや、うちは味で勝てる」って、まだ思ってませんか？,その自信、めっちゃ大事やし、僕も最初はそうでした。,でも本音では、あの“M”のマークが頭の片隅でチラついてるはずです。,その不安、見ないフリしてたら、ほんまに手遅れになりますよ。,今から、個人店がハンバーガー業態で生き残るための“戦わない”戦略を話します。,マクドナルドと同じ土俵で戦う店と、そもそも比べられない店。どっちが生き残ると思います？,ファストフードの王様と、路地裏の名店。戦い方が全然違うんです。,答えはひとつ。お客さんの頭の中からマクドナルドを消すことです。,なぜなら、価格、スピード、安定感。この３つで個人店は絶対に勝てないからです。,だから、時間、価格、食べる理由、使うシーン。このどれかを意図的にずらす設計が必須なんです。,あなたのこだわりが「高い」で終わるか、「価値」になるかの分かれ道ですよ。,マクドと比べられない設計、できてますか？まずそこから考えてみてください。,POSレジの紹介;AI×飲食　ChatGPTでできる3つの時短;最強の戦略は凡事徹底;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;インスタグラマー集客はやめろ
12,暑くなる時期の食中毒対策,食中毒対策、暑くなってからじゃ遅い。もう手遅れになりますよ。,『うちは衛生管理ちゃんとしてるから大丈夫』って、心のどこかで思てません？,手洗いの声かけ増やしたり、アルコール消毒を徹底したり…毎年やってること、今年もやるだけってなってませんか？,それ、気合だけの対策ですわ。,一回でも事故が起きたら、営業停止だけやない。SNSで一瞬で店の信用、全部なくなりますよ。,ほんまは『万が一』が怖いけど、具体的に何を“追加で”やればええか分からんのちゃいます？,分かりますよ。忙しい中で、これ以上現場に負担かけられへんって思いますよね。,『注意喚起』ばっかりで、スタッフが疲弊していくのを見るのも、しんどいですよね。,でもその優しさが、逆に一番危ない状況を作ってしまってるかもしれへんのです。,今日は、注意喚起や根性論やなくて、『仕組み』で食中毒を防ぐ、賢いやり方をお伝えします。,気合で乗り切る店と、仕組みで防ぐ店。夏終わりのスタッフの顔、全然違いますよ。,食中毒対策ってダムの決壊を防ぐみたいなもん。水かき出すんやなくて、ひび割れ、つまり危ない工程を先に塞がなあかんのです。,食中毒対策のキモは『判断させない』こと。これに尽きます。,例えば、夏だけ仕込み量を減らす。ピーク前後は触る食材を固定する。冷蔵庫も人じゃなく場所で管理するんです。,まずはキッチン作業の中で、スタッフの『どうしよ？』って判断が入りそうな工程を一つだけ見つけて、それを無くすことから始めてください。,僕もこれで『危ないかも』ってヒヤヒヤする瞬間が、ほんまに減りました。現場も心もラクになりますよ。,この夏、注意喚起を増やす前に、一工程だけ減らせないか。それを考えてみてください。,エリアリサーチ　主導線と副動線;売上目標の決め方;PLは％で見れるように;誕生日よりも水曜日を狙え;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる
13,タンとハラミばっかり出てしんどいわって焼肉店のオーナーさん（メニュー表、指南書メニュー）,タンとハラミばっかり出る焼肉屋、それメニューが仕事してへん証拠です。,嬉しい悲鳴やけど、正直またか…ってしんどくなってません？,人気やからって、メニュー表の一番ええ場所にずっと置いてるだけになってません？,それ、自分で自分の首絞めてるだけですよ。,このままやと、忙しいだけで利益の薄い『タンハラ専門店』になってしまいます。,ほんまは他の希少部位とか、もっと利益出る肉も知ってほしいって思てますよね？,分かります。看板メニューに頼りすぎるの、経営者としてはちょっと怖いんですよね。,お客様の満足と、お店の利益。このバランス取るの、ほんま難しいですもんね。,でも、お客様の注文をただ待ってるだけやと、この状況は一生変わりません。,今日は、お客様の注文をこっそり誘導して、お店が売りたいもんを売るメニューの作り方、お伝えします。,ただの品書きになってるメニュー表と、売上を作る『指南書メニュー』。似てるようで全然ちゃいます。,メニューブックって、お店の最強の営業マンなんです。どこに何を置くかで注文は操れます。,タンとハラミが出すぎるのは、あなたがメニュー表でそう仕向けてるだけなんです。,ポイントは3つ。売りたい肉、利益が残る肉、在庫を回したい肉。これを意図的に目立たせること。,写真のサイズを変える、オススメの印をつける、周りを線で囲む。これだけで注文は変わります。,お客様に選んでもらうんやなくて、こっちが売りたいもんを選んでもらう。この感覚が大事なんです。,全部の肉を同じ大きさで並べる必要なんてないんです。メニュー表で意思表示、してみてください。,メニュー開発は固定概念に囚われてはいけない（リフレーミング）;開業してから考えるな　今いるお客さんの視点から逆算しろ;ロードサイド型店舗の生き残り戦略;ゾーニング;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など
14,昼ピークで終わる、夜対策してへん蕎麦屋さん,昼の売上で満足してる蕎麦屋さん、それ夜の売上ぜんぶ捨ててるのと一緒ですよ。,「夜はまあ、こんなもんか…」って、心のどこかで諦めてません？,昼と同じメニュー、同じ接客で、ただ惰性で店開けてるだけになってません？,それ、夜のお客さんをちゃんと見てない証拠ですわ。,このままやと、“昼だけ忙しい店”のまま。結局、利益が全然残らへん店になりますよ。,「うちは蕎麦屋やから、夜はしゃあない」って、自分に言い聞かせてません？,分かりますよ。昼の仕込みと営業でヘトヘトで、夜まで頭回らん…って日もありますよね。,ほんまは、「夜ももうちょい売上欲しいけど、何したらええか分からん」ってのが本音ちゃいます？,僕も昔そうでした。でもそれ、「仕方ない」んやなくて、「夜の戦い方を知らん」だけなんですわ。,今日は、昼の強みを活かしつつ、夜の売上をちゃんと作る「夜シフト」の考え方、話します。,昼は「食事する場所」。夜は「お酒と蕎麦を楽しむ場所」。お客さんの目的が全然違うんです。,昼の蕎麦屋は牛丼屋に近い。でも夜は居酒屋とかバーと戦わなアカン。土俵が違うんですよ。,夜に必要なのは、昼と同じ蕎麦やない。「ここで夜を過ごす理由」です。,例えば、蕎麦前のアテを3品増やす、〆の蕎麦をハーフサイズにする、日本酒のペアリングを提案する。これだけでええんです。,まずは夜限定の「ちょい飲みセット」から始めてみてください。お客さんの反応がすぐ分かりますから。,「うちの蕎麦、夜もこんなに喜んでもらえるんや…」って気づいたら、夜の営業が楽しくなりますよ。,昼が強いからって夜を諦めるんは、ただの思考停止。夜に必要なのは商品やなく、来店する理由です。,チェーン店に勝つ方法;誕生日よりも水曜日を狙え;スタッフが辞めない育成、実は評価制度より先にやるべきことがある;週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え;立地選び　一等地信仰が危ない理由
15,“安定”という言葉が存在しない=キッチンカー　ブランドにお客様が付かない,キッチンカーに「安定」という言葉はありません。,「今日の売上、大丈夫かな…」って、毎日不安と戦ってませんか？,一生懸命SNSで発信して、なんとか店名を覚えてもらおうと頑張ってる。,でも正直、それお客さんにはほとんど届いてへんのです。,結果、いつまで経っても「あの場所のカレー屋さん」で、あなたの名前は忘れられてしまいます。,「なんであそこの店は行列できんのに、うちはアカンねやろ…」って、他のキッチンカーと比べて落ち込んでません？,美味しいもん作って、ええ接客してる自信はあるのに、なんでやろって思いますよね。,本当は「場所」じゃなくて「あなたのお店」を目指して来てほしい。心の底ではそう思ってるはずです。,その気持ち、めっちゃわかります。でも、戦う土俵を間違えてたら、その想いは一生叶わへんのです。,今から、ブランド作りに頼らんと、キッチンカーが毎回お客さんに選ばれるための「一発必中の理由」の作り方、話しますね。,「覚えてもらう」戦い方と、その場で「選ばれる」戦い方は、全くの別モンなんです。,固定店舗は常連さんを作るマラソン。キッチンカーは通りすがりの人を一目惚れさせる短距離走です。,そもそもお客さんは、あなたの店を「場所」か「曜日」でしか覚えてないんです。,やから大事なんは「限定性」「専門性」「見た目のインパクト」。このたった3つです。,まずは「本日限定〇〇」とか「日本一の〇〇専門」みたいに、一言で強みが伝わる看板に変えてみてください。,あなたが丹精込めて作ったその一品は、もっとたくさんの人に「見つけて」もらえるはずなんです。,キッチンカーはブランド作りより、毎回「一発で選ばれる理由」を作ること。戦い方、間違えんといてくださいね。,無意識のクセが命取り（所作は人格、ふるまいはブランド）;集客に即効性を求めてはいけない;AI×飲食　ChatGPTでできる3つの時短;撤退しない店舗作りのための「最初の一等地」より、「最後に残る一席」の選び方;スタッフが辞めるのは、給料のせいだけじゃない
16,特別な日需要で戦ってるケーキ屋さんは長く持ちません,誕生日がないと思い出されへんケーキ屋さん、それめっちゃ危険信号です。,イベントがある月はええけど、何もない月は売上がガクンと落ちてヒヤヒヤしてません？,「うちのケーキはハレの日に！」って、豪華なホールケーキばっかりアピールしてませんか？,それ、お客さんを自ら遠ざけてるんです。,そのままだと「年に数回しか思い出されない店」になって、静かにお客さんがいなくなりますよ。,「うちみたいな高級なケーキ、普段は買いにくいやろな…」って、無意識に線引きしてません？,ほんまは毎日安定して売れて、安心してケーキ作りに集中したいんですよね。,「特別な店」っていうブランドイメージを守りたい気持ちと、経営の不安との間でしんどくなってるはず。,その気持ち、痛いほど分かります。でも、そのこだわりがお客さんとの間に壁を作ってるんです。,このあと、お客さんが「なんでもない日」にあなたのお店を選ぶようになる、具体的な3つの方法を話します。,「記念日の店」から「いつものご褒美の店」へ。この違いが、1年後の売上を天と地ほど変えます。,高級な寿司屋さんが、ランチで手頃な海鮮丼を出すみたいなもん。一気に通う理由ができますやん？,結論、長く愛されるお店は「特別じゃない日」に買われる理由を持ってるんです。,ポイントは3つ。「おひとり様サイズ」「自分へのご褒美感」「曜日限定のお得感」です。,まずは一番人気のケーキを小さいサイズで売ってみる。そして「自分用」って言葉を添えてみてください。,あなたのケーキが誰かの日常をちょっと豊かにする。そう考えたら、もっと届けたくなりません？,「特別な日」だけじゃなく「いつもの日」も彩るお店へ。皆さんの工夫もコメントで教えてくださいね。,繁盛店＝「良さげな店」ではなく勝ちパターンを持ってる店;PLは％で見れるように;最強の戦略は凡事徹底;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;FL60%なんて守っていたらやっていけない
17,夏の鍋屋さん、冬のアイス屋さん さてどう戦いますか？,夏の鍋屋さん、冬のアイス屋さん。季節のせいにしてる店、だいたい潰れます。,「夏は鍋売れへんし、冬はアイスなんか誰も食べへん…」って、天気のせいにして諦めてません？,「うちの鍋は夏でもあっさり！」とか「冬こそアイス！」とか、無理やりな商品説明で乗り切ろうとしてません？,それ、お客さんには全然響いてへんのです。,そのままだと売上半減の季節が毎年やってきて、気づいたら資金ショート。ほんまに怖いですよ。,「うちの業態は季節もんやから仕方ない」って、自分に言い聞かせてるんとちゃいます？,閑散期の売上の落ち込み、ほんまに心臓に悪いですよね。僕もよう分かります。,でも心のどこかでは「何か手ぇ打たなあかん」って、ずっと焦ってるはずなんです。,その焦り、めっちゃ大事です。でも、やり方間違うたらただの空回りになりますよ。,今日は、季節に関係なくお客さんを呼ぶ「タイミングトリガー」っていう考え方を伝えます。,これを知らん店は天気に一喜一憂するけど、知ってる店は季節を味方につけるんです。,雨の日に「雨の日限定サービス！」ってやるのも一種のトリガー。これを季節に応用するだけなんです。,結論、「商品を売る」んやなくて「食べるキッカケを売る」んです。,夏の鍋なら「クーラーで冷えた体に」。冬のアイスなら「忘年会で火照った後のシメに」。,お客さんが「あ、今食べたいかも」って思う“状態”を定義して、それに名前をつけてあげるんです。,「夏やから鍋は無理」って思ってるお客さんの固定観念を、こっちから壊してあげるのが仕事です。,季節を言い訳にするんは今日で終わり。みなさんは閑散期、どうやって戦ってますか？,人気店ほどクレーム多い理由はミスではなく期待値が高いだけ;飲食店経営は“戦時”と“平時”を分けて考えろ;POPの意味;飲食店は立地で決まる？;人時売上高
18,お好み焼きの地域の話＋おでんの牛すじ,お好み焼きの出し方ひとつで、経営センスがバレてますよ。,「うちのやり方が一番や」って思う気持ち、めっちゃ分かります。,でも、自分の地域の常識だけでメニューや提供方法を決めてしまってません？,それ、お客様が求めてる楽しみを奪ってるかもしれません。,このままやと「なんかちゃうな…」って思われて、気づかんうちにお客様が離れていきますよ。,「文化の違いなんて、うちの店には関係ないわ」って、心のどこかで思ってません？,自分の慣れ親しんだやり方が一番安心やし、変えるのって正直面倒ですもんね。,でもほんまは、もっと色んなお客様に「うまい！」って心から喜んでもらいたいんですよね？,そのこだわり、めっちゃ大事です。でも、自分の常識だけが正解やと思い込んでたら、大きなチャンスを逃しますよ。,このリールを見れば、地域の「当たり前」の違いをどうやって自分の店の武器に変えるか、そのヒントが掴めます。,例えばお好み焼き。関西はプロが焼いた完成品、関東はみんなで焼く体験。提供してるものが全然違うんです。,おでんの牛すじもそう。関西では定番やけど、関東では珍しい。この「当たり前のズレ」にこそビジネスチャンスが眠ってるんです。,結論、僕らが提供してるのは料理やなくて「食の体験」そのものなんですわ。,関西は「プロの味」を、関東は「作る過程の会話」を楽しむ。この目的の違いを理解するのが第一歩です。,まず、自分のお店のエリアのお客様が何を求めてるか観察してみてください。会話なのか、手軽さなのか、特別感なのか。,あなたの店の「当たり前」が、誰かにとっては忘れられへん「新しい体験」になるんです。,自分の常識を疑うこと。それがお客様の心を掴む第一歩です。,インスタグラマー集客はやめろ;始めるより、撤退が上手い店が勝つ;カット済みの納品（肉・野菜）→歩留や人件費;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;レトルト商品
19,商業施設集客で困ってるオーナーは絶対に意識すべき,商業施設集客で困ってるオーナーほどSNSをやってはいけないです。,施設におるのに、なんでウチだけお客さん来えへんのやろ…。,とりあえずインスタで美味しそうな写真あげとこ！ってなってません？,それ、一番やったらあかんやつです。,そのままだと、ただの“通り過ぎる店”になって、気づいたら撤退ですよ。,「商品はええのに、なんで素通りされるんやろ」って、ずっと思ってません？,目の前を人が歩いてるのに、見向きもされへんの、ほんま辛いですよね。,ウチの店に魅力ないんかな…って、自分のせいやと思いつめてますよね。,気持ちは分かるけど、それじゃ何も変わりません。戦う場所、間違えてるだけなんです。,でも実は、商業施設にはSNSより大事な“立ち寄らせる”仕掛けがあるんです。,「美味しいです！」って叫ぶだけの店と、「ついでにどうぞ」って言える店。勝つのは後者です。,商業施設って、目的の本屋さんの隣にある雑貨屋さんみたいなもん。本を買いに来た人に、どうやって入ってもらうか、なんです。,答えはシンプル。「目的来店」やなく「ついで需要」を取りにいくんです。,せやからSNSで来店理由を発信するんやなくて、まず“立ち寄り理由”を作らなあかんのです。,例えば「映画の半券でポテト増量」とか「買い物袋見せたら5%オフ」とか。そういう“ついで”です。,実力がないんやない。ただ集客の準備が、商業施設のルールに合ってへんだけなんです。,商業施設は良い店が勝つ場所やない。分かりやすい店が勝つ場所なんです。,求人が来ない理由とブランドイメージの関連性;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;マルチチャネル経営が必須;ロードサイド型店舗の生き残り戦略;アルバイトの定着
20,インバウンドや観光頼りの飲食店さん、オフシーズンの準備は完璧ですか？,インバウンド頼りの飲食店さん、その売上、来月には蜃気楼みたいに消えるかもしれへんで。,今は満席続きでええかもしれん。でも心のどこかで『この波、いつまで続くんやろ』って思てへん？,『オフシーズンのことは、暇になってから考えよ』って、一番あかんこと後回しにしてません？,それ、準備不足やない。ただの現実逃避です。,観光客が引いた瞬間、店はガラガラ。でも家賃と人件費は待ってくれへん。売上ゼロで耐える日々、想像できます？,『暇な時期、スタッフどうしよ…』『売上落ちたら資金繰りもヤバいな…』って、頭の中ぐるぐるしてません？,目の前のお客さんで手一杯で、先の準備まで頭回らん気持ち、めっちゃわかります。,でも心の奥底では、『このままじゃアカン』って、本当は気づいてるんちゃいます？,忙しいのはあなたのせいじゃない。でも、暇な時期に耐える準備をせんのは、未来への裏切りやで。,今日は、オフシーズンをただ耐えるんやなくて、次の繁忙期に爆発するための『守りの戦略』を具体的に話します。,準備ゼロの店は閑古鳥と戦う。準備してる店は、次の戦略を練る時間にできるんです。,お店経営って農業と一緒。収穫期だけ頑張っても、土を耕す時期をサボったら、次の実はならへんのです。,答えはシンプル。オフシーズンは頑張る時期ちゃいます。どうやって『賢く耐えるか』を先に決めるだけなんです。,やることは3つ。①固定費のミニマム化、②地元客向け限定メニューの開発、③スタッフのスキルアップ研修です。,まずは、オフシーズンの『損益分岐点』を計算して、最低限必要な売上を把握することから始めてください。,先の見えへん不安ってしんどいですよね。でも計画があれば、その不安は『やるべきこと』に変わります。,明日、観光客がゼロやったら自分の店どうなるか考えてみて。それができる店だけが、次の波に強く乗れます。,無意識のクセが命取り（所作は人格、ふるまいはブランド）;地域密着型店舗の落とし穴;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;FL比率;物価高の今やるべきこと
21,インバウンド特化にして日本人が入りづらいって言ってたら経営者失格です,インバウンド特化のくせに「日本人が入りづらい」なんて言うてたら、経営者失格ですわ。,「最近、日本の常連さんの顔、見てへんなぁ…」って、心のどっかで思てません？,英語メニューを一番上に置いたり、派手なインバウンド向けセットばっかり推したり。,それ、日本人のお客さんに「もう来んといて」って言うてるようなもんですよ。,このままやと、インバウンドの波が引いた時、誰もけえへん空っぽの店になってまいますよ。,ほんまは、地元のお客さんにも愛されたいって、心の底では願ってますよね？,売上はええけど、なんか地元での居心地が悪い。そんな寂しさ、ありませんか？,どっちのお客さんも大事にしたい。でも、どうしたらええか分からん…って、立ち止まってません？,その気持ちは正しい。でも今のままやと、結局どっちのお客さんからも見放されてまいます。,この後、インバウンドにも日本人にも「ここがええねん」って言われる店の作り方、お伝えします。,インバウンドに“媚びる”店と、日本の良さで“選ばれる”店。天と地ほどの差があるんです。,お店は地域の一部。外国人観光客だけを向いてたら、そら地元の人もそっぽ向きますわ。,答えはシンプル。「誰に来てほしくないか」を先に決めることなんです。,あえて「うちは賑やかなんで、静かに過ごしたい方には向きません」って書く。そしたら客層が勝手に絞られていくんです。,まずはあなたのお店の「これだけは譲れへん」っていう価値を、一言で書き出してみてください。,「入りづらい」って言われるのは、お店の覚悟が伝わってへんだけ。ブレてるだけなんです。,特化とは他を切ることやない。切っても壊れへん強い軸を先に作ることなんです。,一見客で回す飲食はいつか潰れる;アルバイトの定着;始めるより、撤退が上手い店が勝つ;焼肉屋の仕込みの壁を超える仕組みとは;現場の1秒が崩れると、客単価が300円下がる　動線の再設計術
22,GW明けでスッタフがやめたのがじわじわ効いてきてる頃ちゃいますか？,GW明けでスタッフが辞めたのが、じわじわ効いてきてる頃ちゃいますか？,「あの子がおらんだけで、こんなに現場しんどいんか…」ってなってません？,とりあえず急いで求人出して、新しい子探さなって焦ってしまいますよね。,でも、それじゃ根本的な解決になってへんのです。,このままやと、新しい子が入ってもすぐ辞めて、また求人…その無限ループでオーナーが倒れますよ。,ほんまは「また一から全部教えるんか…」って、内心うんざりしてません？,わかりますよ。ただでさえ忙しいのに、新人教育まで手が回らんって気持ち。,心のどこかで「なんでうちの店は人が定着せえへんのやろ…」って、自分のやり方に自信なくしてません？,その気持ち、痛いほどわかります。でも、そのままずっと同じこと繰り返しますか？,実は、人が辞めた後に本当にやるべきことは、求人サイトを開くことやないんです。,準備がある店は新人がすぐ戦力になるけど、ない店はただの『お客さん』のまま辞めていきます。,新人さんからしたら、地図も渡さんと「宝探ししてこい」って言われてるようなもんですよ。,人が辞めた店で本当に困るのは人手不足やない。新人を迎える準備が何もなかったことです。,大事なんは、新人が迷わず動ける状態を先に作っておくこと。これが全てですわ。,「最初の1日で何をやるか」「1週間でどこまで任せるか」「困ったら誰に聞けばいいか」。この3つ、紙に書き出せますか？,これがないから、新人も不安やし、教える側も毎回言うことが変わって、お互い疲弊するんです。,この仕組みが決まってない店ほど、人は驚くほど早く辞めます。まずはこの3つ、書き出してみてください。,POPの意味;立地選び　一等地信仰が危ない理由;人が辞めないチームの作り方　給与より信じたくなる空気があるか;売上目標の決め方;最強の戦略は凡事徹底
23,歓送迎会のフィーバーが落ち着いて焦ってませんか？,歓送迎会のフィーバーが終わって、急に焦ってませんか？,あれだけ鳴ってた予約の電話が、パタッと止まって不安になってません？,忙しさに流されて、目の前のお客さんをこなすだけで終わってしもた…とか。,それ、一番やったらあかんやつです。,そのまやと、次の繁忙期までずーっと暇な店になって、資金繰りに頭抱えることになりますよ。,「まあ、歓送迎会は特別やしな」って自分に言い聞かせて、現実から目ぇそらしてません？,分かります。忙しい時に次の仕込みなんて、考える余裕ないですもんね。,でも心のどこかで「あの時なんかやっとけば…」って、ちょっと後悔してません？,その気づき、めっちゃ大事です。でも、思うだけじゃ一円にもならへんのです。,実はそれ、「売上が落ちた」んやなくて、単純に「集客の準備」をサボってただけなんです。,忙しい時に種をまく店と、ただ目の前の稲を刈るだけの店。暇になった時の差は歴然ですわ。,歓送迎会って、いわばボーナスステージ。そこで次のステージの鍵を拾わんと、また最初の村からやり直しなんです。,問題は売上やない。自動でお客さんが来るボーナス期間に、次の一手を何も打てへんかったことです。,やることは3つ。新規客を一見で終わらせへん設計、次に来る理由の刷り込み、そして繁忙期中に「次の売上の種」を回収すること。,例えば「夏の打ち上げプラン」の案内を渡したり、LINEで限定コースを告知したり。仕込みは色々あります。,「忙しかったから仕方ない」はもう終わり。忙しい時こそ、未来の自分を助ける最大のチャンスなんです。,忙しい時にマーケを考えられへん店は、必ず暇な時に焦ります。今回のお客さんに、次に来る理由、渡せてましたか？,飲食店経営は“戦時”と“平時”を分けて考えろ;エリアリサーチ　主導線と副動線;オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;人気店は「やりたくないこと」も決めてる
24,ロスリーダー戦略も知らんと原価決めてたら隣の店舗に勝てませんよ,ロスリーダー戦略も知らんと原価決めてたら、隣の店には一生勝てませんよ。,「原価率30%が絶対！」って、お守りみたいに信じてません？,看板メニューもドリンクも、ぜーんぶ同じ考え方で値段決めてもうてる。,それ、一番利益を逃すやり方です。,このまやと、お客さんは来るのになぜか月末お金が残らん…そんな“頑張り損”な店になりますよ。,「安売りはしたくない。でも集客もしたい」って、頭の中でぐるぐるしてません？,僕も昔は、全部のメニューで利益出さなアカン！って必死でしたわ。,でもほんまは、もっと賢く、戦略的に価格を決めたいんですよね？,その気持ち、めっちゃわかります。でも“なんとなく”の値付けしてるうちは、絶対に勝てません。,このあと、安売りせずに集客して、しっかり利益も残すメニューの作り方、具体的に話しますわ。,全部のメニューで利益を出そうとする店と、役割分担させてる店。最終的に笑うのはどっちか、すぐわかります。,野球チームで全員4番バッターやったら勝てへんでしょ？メニューも同じ。役割分担が命なんです。,結論、メニューは『集客用』『利益回収用』『比較回避用』の3つに分けてください。,集客用は赤字覚悟の目玉商品。利益用はセットドリンクや追加の一品。これでしっかり利益を取るんです。,ロスリーダー戦略の本質は、ただ安く売ることやない。どの商品でお客さんを呼んで、どの商品で儲けるか、設計することなんですわ。,“安い”から選ばれるんやなくて、「これがあるから、あの店に行く」って言われる店になりましょうや。,今日やれることは一つ。メニューを見て、「これは集客用か？利益用か？それとも何も考えてへんか？」この3択で全商品を仕分けてみてください。,飲食店がキッチンカー参入で儲からない理由;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;今もコロナ前と同じやり方してる店　変わらないことがリスク;レトルト商品;飲食店経営は“戦時”と“平時”を分けて考えろ
25,給料上げてもスタッフは辞めます,給料を上げても、スタッフは普通に辞めます。,「時給上げたのに、なんで？」って、理由が分からずモヤモヤしてませんか？,良かれと思って給料上げたけど、スタッフの反応はイマイチ…みたいな。,それ、お金の問題とちゃいますねん。,このまやと、ええ子から静かに消えていって、気づけばお店の活気がなくなってますよ。,「これだけ払ってるんやから」って、心のどこかで思ってませんでした？,分かりますよ。なんとかして繋ぎ止めたい、その気持ちは痛いほど。,でも本音は、「どうしたらええか分からん」って、ちょっと途方に暮れてるんちゃいます？,僕も昔はそうでした。でも、スタッフが見てるんは給料明細の数字だけやないんです。,今日は、お金よりも大事な「人が定着する職場」のたった一つの共通点について話します。,「給料は高いけど評価が曖昧な店」と「給料は普通やけど成長を実感できる店」。人が残るのは後者です。,ゴールが見えへんマラソンを走らされてるようなもんですよ。そら、しんどなりますわ。,人は「評価が不明確な環境」から必ず離れます。これが結論です。,辞める店に共通してるのはこの3つ。「何を頑張れば評価されるか不明」「褒められる基準がない」「上司の機嫌で扱いが変わる」。,まずは「うちの店では、これができたら一人前」っていう期待値と評価基準を紙に書き出してみてください。,スタッフが「次これ頑張ります」って自分の言葉で言うてくれた時、ほんまにチームになったって思えますよ。,給料を上げる前に、期待値と評価基準、ちゃんと言葉にしてますか？,エリアリサーチ　主導線と副動線;加工品を賢く取り入れる;限界利益;チェーン店に勝つ方法;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？
26,キッチンカー経営なめたらあかん,キッチンカー経営を「初期費用が安いから簡単」ってなめてたら、ほんまに痛い目みますよ。,「店舗よりリスク低いし、自分でもいけるんちゃうか」って思いますよね。,とりあえず車買うて、ええ感じのメニュー考えたらなんとかなるって思ってません？,でも、その考え方が一番危ないんです。,出店場所が見つからんままガソリン代だけ消えて、結局どこにも呼ばれへんまま廃業ですわ。,「どこに出したら売れるんやろ？」ってイベント情報ばっかり見て、毎日不安になってません？,自分の作った料理で、自由に稼ぎたいって気持ちはめっちゃ分かります。,でもほんまは、料理だけしてたい。営業とか交渉とか、そういう面倒なことはやりたないのが本音ちゃいます？,その気持ち、痛いほど分かるけど、キッチンカーは普通の飲食店とは全く別の事業なんです。,なんで普通の飲食店より難しいって言われるんか。今日はその決定的な理由を3つ話します。,普通の飲食店は「場所」にお客さんを呼びますけど、キッチンカーは「時間」と「日」を自分で掴みに行かなあかんのです。,つまり、キッチンカーは「走る広告塔」であり「移動する営業マン」。料理が美味いだけじゃ全然売れへんのです。,結論、キッチンカーは「飲食店」やのうて「移動型マーケティング事業」として捉えなあかんのです。,難しい理由は主に3つ。①売上が天候と場所に完全依存する、②集客と営業を全部自分でやる、③1台じゃ売上がスケールしにくい。,まず始める前に「自分は料理人なんか？それとも営業マンなんか？」って胸に手ぇ当てて考えてみてください。,この質問の意味が分かって「どっちもやる」って覚悟が決まった人だけが、この世界で生き残れるんです。,キッチンカーは“楽な独立”ちゃいます。料理の腕と同じくらい、営業の腕を磨く覚悟を決めてください。,オーナーしか作れない属人料理;ぶっちゃけ飲食店の成功は立地で決まるかどうか;繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる;こだわりすぎて財務ぐだぐだ→実はこんなお店が好き
