menu_name,Before月_ランク,After_ランク,変化
ブラッドノックアリンタ,C,なし,C→なし
ブルスケッタ,C,なし,C→なし
ヘンリーマッケナ,C,なし,C→なし
ヘーゼルナッツラテ,C,なし,C→なし
マッカランシェリーカスク12年,C,なし,C→なし
ラガヴーリン 16年,C,なし,C→なし
ロッホリー,C,なし,C→なし
ローター・トラウベンモスト,C,なし,C→なし
ロードオブバーベス,C,なし,C→なし
嘉之助,C,なし,C→なし
季の美,C,なし,C→なし
宮城峡,C,なし,C→なし
山崎,C,なし,C→なし
本日のパスタ,C,なし,C→なし
柿の種,C,なし,C→なし
氷、ボトル割りもの（割引対象外）,C,なし,C→なし
牡蠣のレモンマリネ,C,なし,C→なし
白州 12年,C,なし,C→なし
竹鶴,C,なし,C→なし
鴨のスモーク,C,なし,C→なし
鶴,C,なし,C→なし
黒板メニュー　サラダ,C,なし,C→なし
黒板メニュー　パスタ,C,なし,C→なし
7000円飲み放題付（3時間制）,なし,A,なし→A
BAR 専用チョコレート,なし,A,なし→A
ゆずマティーニ,なし,A,なし→A
カルヴァドスモヒート,なし,A,なし→A
ボロネーゼラザニア,なし,A,なし→A
ローズガーデン,なし,A,なし→A
ワカモレチップス,なし,A,なし→A
桜ブロッサム,なし,A,なし→A
森のジントニック,なし,A,なし→A
焙煎ファッションド,なし,A,なし→A
5000円飲み放題付（2時間制）,なし,B,なし→B
オリエンタルアフタヌーン,なし,B,なし→B
オーチャードマティーニ,なし,B,なし→B
キャラメルナッツキャデラック,なし,B,なし→B
キャンディピーカン,なし,B,なし→B
グレンリベット12年,なし,B,なし→B
ケールとベリーのサラダ,なし,B,なし→B
サンセットソルティドッグ,なし,B,なし→B
シルキー麹サワー,なし,B,なし→B
ティラミスロブロイ,なし,B,なし→B
デイドリームレモネード,なし,B,なし→B
トロピカルヴェール,なし,B,なし→B
ベルガモットモスコミュール,なし,B,なし→B
マティポテ,なし,B,なし→B
ミントのジェノベーゼ,なし,B,なし→B
ラ・ロスカ カヴァ ブリュット,なし,B,なし→B
撫子ネグローニ,なし,B,なし→B
牛肉と季節のフルーツのカルパッチョ,なし,B,なし→B
鴨のパイ包み,なし,B,なし→B
BFAカプレーゼ,なし,C,なし→C
にんじんのソテー,なし,C,なし→C
イチローズモルト ホワイトラベル,なし,C,なし→C
オリーブ,なし,C,なし→C
カマンベールフォンデュ,なし,C,なし→C
キャラメルバナナ,なし,C,なし→C
コーヒー,なし,C,なし→C
ソイ抹茶アレキサンダー,なし,C,なし→C
テキーラ,なし,C,なし→C
ハイランドパーク10年,なし,C,なし→C
ハイランドパーク12年,なし,C,なし→C
ハーパー,なし,C,なし→C
バイオレットフィズ,なし,C,なし→C
ビーツのフムス,なし,C,なし→C
ピーチフィズ,なし,C,なし→C
フィグバター＆ブリオッシュ,なし,C,なし→C
フロールデカーニャ12年,なし,C,なし→C
プンタレッラのサラダ,なし,C,なし→C
ベンネヴィス 10年,なし,C,なし→C
マッシュルームサラダとコールドカット,なし,C,なし→C
レモンジンフィズ,なし,C,なし→C
ロイヤルセンテナリオ12年,なし,C,なし→C
ロンサカパ23,なし,C,なし→C
山崎12年,なし,C,なし→C
黒板メニュー　その他,なし,C,なし→C
黒板メニュー　前菜,なし,C,なし→C
