"H.集計フラグ","H.店舗","H.伝票番号","H.伝票番号枝番","H.曜日","H.支払ステータス","H.伝票処理日","H.返還元年月(返品)","H.返還元年月日(赤伝)","H.テーブル番号","H.客数（合計）","H.客数（男）","H.客数（女）","H.客数（選択なし）","H.深夜料金","H.テーブルチャージ料金","H.サービス料金","H.小計","H.総商品数","H.伝票金額","H.伝票税額","H.税抜金額10%","H.税額10%","H.税抜金額8%","H.税額8%","H.非課税金額","H.不課税金額","H.お預かり金額","H.おつり","H.免税額（一般品）","H.免税額（消耗品）","H.値引金額","H.支払金額（現金）","H.支払金額（クレジットカード）","H.支払金額（ポイント）","H.支払金額（電子マネー）","H.支払金額（商品券：釣り無）","H.商品券差額","H.支払金額（商品券：釣り有）","H.商品券現金釣銭","H.支払金額（その他）","H.レジ担当者ID","H.スタイリスト（理美容のみ）","H.受付番号","H.テーブル合算後伝票番号","H.税集計区分","H.支払メモ","H.領収書発行回数","H.領収書発行最終日付","H.キッチンプリンタ印字成否","H.キッチンプリンタ印字日付","H.レシートプリンタ印字成否","H.レシートプリンタ印字日付","H.基幹転送成否","H.基幹転送日付","C.お客様","C.お客様代表","C.客層","H.元伝票番号","H.登録番号","H.事業者名","H.集計営業日","H.伝票発行日"
"","001:麻布しき 旗の台店","No:202500100003352","3","月","11:分割会計済","2025/09/01 13:33:52","","","000000016:テーブル４","5","5","0","0","0","0","0","1200","1","1100","100","1000","100","0","0","0","0","0","0","0","0","100","0","0","0","1100","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:33:56","1:成功","2025/09/01 13:34:41","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:40:30"
"","001:麻布しき 旗の台店","No:202500100003352","4","月","11:分割会計済","2025/09/01 13:34:39","","","000000016:テーブル４","5","5","0","0","0","0","0","2300","2","2100","190","1910","190","0","0","0","0","2100","0","0","0","200","2100","0","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/01 13:34:41","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 12:40:30"
"*","001:麻布しき 旗の台店","No:202500100003353","0","月","10:会計済","2025/09/01 13:54:04","","","000000013:テーブル１","2","1","1","0","0","0","0","11200","2","11200","1018","10182","1018","0","0","0","0","0","0","0","0","0","0","11000","200","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","1","20250901135408","1:成功"," ","1:成功","2025/09/01 13:54:08","1:成功","2025/09/01 13:55:30","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 13:00:09"
"*","001:麻布しき 旗の台店","No:202500100003354","0","月","10:会計済","2025/09/01 13:43:05","","","000000007:カウンター７","1","1","0","0","0","0","0","4400","1","4400","400","4000","400","0","0","0","0","0","0","0","0","0","0","4400","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:43:08","1:成功","2025/09/01 13:43:13","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 13:08:06"
"*","001:麻布しき 旗の台店","No:202500100003355","0","月","10:会計済","2025/09/01 13:38:58","","","000000001:カウンター１","1","1","0","0","0","0","0","1200","1","1200","109","1091","109","0","0","0","0","0","0","0","0","0","0","0","0","1200","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:39:02","1:成功","2025/09/01 13:39:09","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 13:17:24"
"*","001:麻布しき 旗の台店","No:202500100003356","0","月","10:会計済","2025/09/01 13:44:02","","","000000005:カウンター５","1","0","1","0","0","0","0","3300","1","3300","300","3000","300","0","0","0","0","0","0","0","0","0","0","0","0","3300","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 13:44:05","1:成功","2025/09/01 13:50:11","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 13:17:58"
"*","001:麻布しき 旗の台店","No:202500100003357","0","月","10:会計済","2025/09/01 17:34:10","","","000000017:ウーバーイーツ1","0","0","0","0","0","0","0","6700","3","6700","496","0","0","6204","496","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6700","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/01 17:34:15","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 16:38:39"
"*","001:麻布しき 旗の台店","No:202500100003358","0","月","10:会計済","2025/09/01 21:08:05","","","000000017:ウーバーイーツ1","0","0","0","0","0","0","0","21400","4","21400","1585","0","0","19815","1585","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21400","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/01 21:08:06","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 17:34:35"
"*","001:麻布しき 旗の台店","No:202500100003359","0","月","10:会計済","2025/09/01 19:42:16","","","000000013:テーブル１","2","2","0","0","0","0","0","27570","12","27570","2506","25064","2506","0","0","0","0","0","0","0","0","0","0","27570","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","1","20250901194229","1:成功"," ","1:成功","2025/09/01 19:42:20","1:成功","2025/09/01 19:47:56","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 17:53:22"
"*","001:麻布しき 旗の台店","No:202500100003360","0","月","10:会計済","2025/09/01 21:41:47","","","000000016:テーブル４","2","2","0","0","0","0","0","14850","19","14850","1350","13500","1350","0","0","0","0","400","50","0","0","0","350","0","0","0","0","0","0","0","14500","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 21:41:51","1:成功","2025/09/01 21:42:10","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 18:10:42"
"*","001:麻布しき 旗の台店","No:202500100003361","0","月","10:会計済","2025/09/01 21:08:13","","","000000018:ウーバーイーツ2","0","0","0","0","0","0","0","15900","6","15900","1177","0","0","14723","1177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15900","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/01 21:08:15","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 19:14:18"
"*","001:麻布しき 旗の台店","No:202500100003362","0","月","10:会計済","2025/09/01 20:12:34","","","000000009:カウンター９","1","1","0","0","0","0","0","9760","5","9760","771","2600","260","6389","511","0","0","10000","240","0","0","0","9760","0","0","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/01 20:12:38","1:成功","2025/09/01 20:12:54","","","","","T7010401147721","株式会社 麻布しき","01","2025/09/01 19:18:36"
"*","001:麻布しき 旗の台店","No:202500100003363","0","火","10:会計済","2025/09/02 12:29:19","","","000000001:カウンター１","1","1","0","0","0","0","0","1600","1","1600","145","1455","145","0","0","0","0","0","0","0","0","0","0","0","0","1600","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 12:29:22","1:成功","2025/09/02 12:29:45","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:02:50"
"*","001:麻布しき 旗の台店","No:202500100003364","0","火","50:支払取消","2025/09/02 13:22:06","","","000000013:テーブル１","2","1","1","0","0","0","0","16530","5","16330","1484","14846","1484","0","0","0","0","0","0","0","0","200","0","16330","0","0","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","1","20250902132210","1:成功"," ","1:成功","2025/09/02 13:22:10","1:成功","2025/09/02 13:31:09","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:03:33"
"*","001:麻布しき 旗の台店","No:202500100003365","0","火","10:会計済","2025/09/02 12:30:36","","","000000005:カウンター５","1","0","1","0","0","0","0","1200","1","1200","109","1091","109","0","0","0","0","0","0","0","0","0","0","0","0","1200","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/02 12:30:38","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:03:49"
"*","001:麻布しき 旗の台店","No:202500100003366","0","火","10:会計済","2025/09/02 12:24:26","","","000000003:カウンター３","1","1","0","0","0","0","0","1100","1","1100","100","1000","100","0","0","0","0","0","0","0","0","0","0","0","0","1100","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 12:24:30","1:成功","2025/09/02 12:24:51","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:04:51"
"*","001:麻布しき 旗の台店","No:202500100003367","0","火","10:会計済","2025/09/02 12:47:48","","","000000009:カウンター９","2","2","0","0","0","0","0","2400","2","2400","218","2182","218","0","0","0","0","0","0","0","0","0","0","0","0","2400","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 12:47:51","1:成功","2025/09/02 12:48:04","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:06:24"
"*","001:麻布しき 旗の台店","No:202500100003368","0","火","10:会計済","2025/09/02 12:57:54","","","000000014:テーブル２","3","3","0","0","0","0","0","3600","3","3300","300","3000","300","0","0","0","0","0","0","0","0","300","0","0","0","3300","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 12:57:57","1:成功","2025/09/02 12:57:59","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:20:32"
"*","001:麻布しき 旗の台店","No:202500100003369","0","火","10:会計済","2025/09/02 13:01:48","","","000000016:テーブル４","2","1","1","0","0","0","0","7700","4","7700","700","7000","700","0","0","0","0","8000","300","0","0","0","7700","0","0","0","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:01:51","1:成功","2025/09/02 13:01:59","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:24:49"
"*","001:麻布しき 旗の台店","No:202500100003370","0","火","10:会計済","2025/09/02 13:06:37","","","000000003:カウンター３","1","1","0","0","0","0","0","1100","1","1000","90","910","90","0","0","0","0","0","0","0","0","100","0","0","0","1000","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:06:41","1:成功","2025/09/02 13:06:50","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:30:17"
"*","001:麻布しき 旗の台店","No:202500100003371","0","火","10:会計済","2025/09/02 13:20:37","","","000000005:カウンター５","3","0","3","0","0","0","0","3600","3","3300","300","3000","300","0","0","0","0","1100","0","0","0","300","1100","1100","0","1100","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:20:41","1:成功","2025/09/02 13:20:50","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:45:06"
"*","001:麻布しき 旗の台店","No:202500100003372","0","火","10:会計済","2025/09/02 13:40:38","","","000000027:奥座1","8","8","0","0","0","0","0","9400","8","8600","781","7819","781","0","0","0","0","10000","1400","0","0","800","8600","0","0","0","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:40:42","1:成功","2025/09/02 13:40:58","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:57:34"
"*","001:麻布しき 旗の台店","No:202500100003373","0","火","10:会計済","2025/09/02 13:40:04","","","000000009:カウンター９","1","1","0","0","0","0","0","1200","1","1100","100","1000","100","0","0","0","0","0","0","0","0","100","0","0","0","1100","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:40:07","1:成功","2025/09/02 13:40:10","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 13:01:50"
"*","001:麻布しき 旗の台店","No:202500100003374","0","火","10:会計済","2025/09/02 13:42:57","","","000000014:テーブル２","2","0","2","0","0","0","0","2400","2","2400","218","2182","218","0","0","0","0","0","0","0","0","0","0","0","0","2400","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:43:00","1:成功","2025/09/02 13:43:32","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 13:02:42"
"*","001:麻布しき 旗の台店","No:202500100003375","0","火","10:会計済","2025/09/02 13:56:49","","","000000001:カウンター１","2","1","1","0","0","0","0","7680","7","7680","698","6982","698","0","0","0","0","0","0","0","0","0","0","7680","0","0","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:56:53","1:成功","2025/09/02 13:57:43","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 13:10:15"
"*","001:麻布しき 旗の台店","No:202500100003376","0","火","10:会計済","2025/09/02 13:30:17","","","000000013:テーブル１","2","1","1","0","0","0","0","13530","4","13330","1211","12119","1211","0","0","0","0","0","0","0","0","200","0","13330","0","0","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","1","20250902133022","1:成功"," ","1:成功","2025/09/02 13:30:21","1:成功","2025/09/02 13:30:28","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 13:28:40"
"*","001:麻布しき 旗の台店","No:202500100003377","0","火","30:赤伝票","2025/09/02 13:22:06","","20250902","000000013:テーブル１","-2","-1","-1","0","0","0","0","-16530","-5","-16330","-1484","-14846","-1484","0","0","0","0","0","0","0","0","-200","0","-16330","0","0","0","0","0","0","0","138:櫻沢　ジュン","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 13:22:10","1:成功","2025/09/02 13:31:09","","","","No:202500100003364","T7010401147721","株式会社 麻布しき","02","2025/09/02 12:03:33"
"*","001:麻布しき 旗の台店","No:202500100003378","0","火","10:会計済","2025/09/02 18:05:40","","","000000017:ウーバーイーツ1","0","0","0","0","0","0","0","10900","2","10900","807","0","0","10093","807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10900","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/02 18:05:43","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 16:27:48"
"*","001:麻布しき 旗の台店","No:202500100003379","0","火","10:会計済","2025/09/02 18:12:27","","","000000007:カウンター７","1","0","1","0","0","0","0","7550","6","7550","686","6864","686","0","0","0","0","10550","3000","0","0","0","7550","0","0","0","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/02 18:12:31","1:成功","2025/09/02 18:13:14","","","","","T7010401147721","株式会社 麻布しき","02","2025/09/02 17:36:47"
"*","001:麻布しき 旗の台店","No:202500100003380","0","水","10:会計済","2025/09/03 12:43:56","","","000000013:テーブル１","2","0","2","0","0","0","0","10550","4","10550","959","9591","959","0","0","0","0","10600","50","0","0","0","10550","0","0","0","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 12:44:00","1:成功","2025/09/03 12:44:16","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 11:33:51"
"*","001:麻布しき 旗の台店","No:202500100003381","0","水","10:会計済","2025/09/03 12:36:29","","","000000005:カウンター５","2","1","1","0","0","0","0","2630","3","2630","239","2391","239","0","0","0","0","0","0","0","0","0","0","0","0","2630","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 12:36:33","1:成功","2025/09/03 12:37:00","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 12:01:38"
"*","001:麻布しき 旗の台店","No:202500100003382","0","水","10:会計済","2025/09/03 12:37:19","","","000000009:カウンター９","1","0","1","0","0","0","0","1800","1","1800","163","1637","163","0","0","0","0","0","0","0","0","0","0","0","0","1800","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 12:37:22","1:成功","2025/09/03 12:37:31","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 12:13:06"
"*","001:麻布しき 旗の台店","No:202500100003383","0","水","10:会計済","2025/09/03 12:54:48","","","000000001:カウンター１","2","1","1","0","0","0","0","2300","2","2300","209","2091","209","0","0","0","0","0","0","0","0","0","0","0","0","2300","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","1","20250903125452","1:成功"," ","1:成功","2025/09/03 12:54:52","1:成功","2025/09/03 12:55:05","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 12:13:26"
"*","001:麻布しき 旗の台店","No:202500100003384","0","水","10:会計済","2025/09/03 12:51:42","","","000000007:カウンター７","1","1","0","0","0","0","0","1100","1","1100","100","1000","100","0","0","0","0","0","0","0","0","0","0","0","0","1100","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 12:51:45","1:成功","2025/09/03 12:51:46","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 12:29:36"
"*","001:麻布しき 旗の台店","No:202500100003385","0","水","10:会計済","2025/09/03 13:21:44","","","000000016:テーブル４","2","1","1","0","0","0","0","2800","2","2800","254","2546","254","0","0","0","0","5000","2200","0","0","0","2800","0","0","0","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 13:21:47","1:成功","2025/09/03 13:22:30","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 12:58:22"
"*","001:麻布しき 旗の台店","No:202500100003386","0","水","10:会計済","2025/09/03 17:37:39","","","000000001:カウンター１","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0126:虻川馨佑","","","202500100003388","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/03 20:19:50","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 17:20:50"
"*","001:麻布しき 旗の台店","No:202500100003387","0","水","10:会計済","2025/09/03 17:37:39","","","000000013:テーブル１","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0126:虻川馨佑","","","202500100003388","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/03 20:19:50","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 17:36:54"
"*","001:麻布しき 旗の台店","No:202500100003388","0","水","50:支払取消","2025/09/03 20:12:36","","","000000013:テーブル１","2","1","1","0","0","0","0","22000","2","22000","2000","20000","2000","0","0","0","0","0","0","0","0","0","0","21600","400","0","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 20:12:39","1:成功","2025/09/03 20:19:50","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 17:20:50"
"*","001:麻布しき 旗の台店","No:202500100003389","0","水","10:会計済","2025/09/03 20:46:18","","","000000016:テーブル４","2","1","1","0","0","0","0","8920","8","8920","810","8110","810","0","0","0","0","0","0","0","0","0","0","8920","0","0","0","0","0","0","0","0126:虻川馨佑","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 20:46:22","1:成功","2025/09/03 20:46:39","","","","","T7010401147721","株式会社 麻布しき","03","2025/09/03 19:41:05"
"*","001:麻布しき 旗の台店","No:202500100003390","0","水","30:赤伝票","2025/09/03 20:12:36","","20250903","000000013:テーブル１","-2","-1","-1","0","0","0","0","-22000","-2","-22000","-2000","-20000","-2000","0","0","0","0","0","0","0","0","0","0","-21600","-400","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/03 20:12:39","1:成功","2025/09/03 20:19:50","","","","No:202500100003388","T7010401147721","株式会社 麻布しき","03","2025/09/03 17:20:50"
"*","001:麻布しき 旗の台店","No:202500100003391","0","水","40:黒伝票","2025/09/03 20:20:39","","","000000013:テーブル１","2","1","1","0","0","0","0","17600","2","17600","1600","16000","1600","0","0","0","0","0","0","0","0","0","0","17200","400","0","0","0","0","0","0","0105:佐々木昌一","","","","6:税率単位","","0","",""," ",""," ","1:成功","2025/09/03 20:20:42","","","","No:202500100003388","T7010401147721","株式会社 麻布しき","03","2025/09/03 20:20:08"
"*","001:麻布しき 旗の台店","No:202500100003392","0","土","10:会計済","2025/09/06 12:02:25","","","000000001:カウンター１","2","1","1","0","0","0","0","2400","2","2400","218","2182","218","0","0","0","0","10000","7600","0","0","0","2400","0","0","0","0","0","0","0","0","0101:オーナー","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/06 12:02:28","1:成功","2025/09/06 12:03:54","","","","","T7010401147721","株式会社 麻布しき","06","2025/09/06 11:29:56"
"*","001:麻布しき 旗の台店","No:202500100003393","0","土","11:分割会計済","2025/09/06 12:31:30","","","000000016:テーブル４","3","3","0","0","0","0","0","5400","3","5400","489","4911","489","0","0","0","0","13800","8400","0","0","0","5400","0","0","0","0","0","0","0","0","","","","","6:税率単位","","0","","1:成功"," ",""," ","1:成功","2025/09/06 12:31:40","","","","","T7010401147721","株式会社 麻布しき","06","2025/09/06 12:04:49"
"","001:麻布しき 旗の台店","No:202500100003393","1","土","11:分割会計済","2025/09/06 12:30:53","","","000000016:テーブル４","3","3","0","0","0","0","0","1800","1","1800","163","1637","163","0","0","0","0","2000","200","0","0","0","1800","0","0","0","0","0","0","0","0","0101:オーナー","","","","6:税率単位","","0","","1:成功"," ","1:成功","2025/09/06 12:30:56","1:成功","2025/09/06 12:31:40","","","","","T7010401147721","株式会社 麻布しき","06","2025/09/06 12:04:49"
