ネタメモ：ゾーニング,,
1,"もったいない！
FL比率知っとるだけやと損してますよ
使い方まで身につけんと利益出ません",
2,FLの数字見て、ため息ついて終わり…その繰り返しになってません？,
3,原価や人件費を削ることばっか考えて、現場がボロボロになってません？,
4,それ、数字の奴隷になってません？,
5,このままじゃ、忙しいだけの店。利益ゼロ、人も続かん地獄ループです,
6,『FL管理できてる』って思ってるけど、毎月の結果に本気で満足してますか？,
7,『FLの使い方が分からん…』って内心焦ってますよね,
8,ほんまは、仕入れと人の削減やなくて、動線とメニューの設計を変えるべきやって気づいてますよね？,
9,僕も数字見るだけで満足してました。でも仕組み変えた瞬間、FLも利益も変わったんです,
10,今日は、FL比率を“数字から設計”へ活かす具体例を、たっぷりお伝えします,
11,ただ数字を眺める店と、数字で現場を変える店。結果は天と地です,
12,FL比率って、車のメーターみたいなもん。数字見るだけじゃ走れません。操作法を知ってこそ進めます,
13,FL比率って、削るだけの数字ちゃいます。『食材原価＋人件費』をどう設計するかで店の強さが決まるんです,
14,例えば、ランチは軽め原価で回転重視、ディナーは原価高でもファン向けメニュー。売上データで客数予測してシフトを組み、仕入れは農家と直契約してロスを削減。オペはセルフ式や5Sで標準化し、ITツールで在庫と人員を見える化。こうやって“FとLを動かす仕組み”を作るんです,
15,この設計に変えてから、FL比率は60％→55％に。売上は変わらんのに利益が増え、人もムダ残業が減って定着しました,
16,僕も昔、数字を見てるだけで動かせませんでした。でもFL比率は“使い方次第”。設計した瞬間、数字も現場も一変します,
17,FL比率を動かせる店は、未来を動かせます。今日から仕組み、見直しましょう,
,,
ネタメモ：売上目標の決め方,,
シーン,①セリフを考える（ライティング）,
1,"昨対比目標＋10％でええやろ…って勢いだけの売上目標ほど無駄なもんないです
",
2,『数字増やせ』って言うだけで、根拠のない目標にため息ついてません？,
3,前年比プラスばっかり、計画もなく追い込んで…現場、疲弊してませんか？,
4,それ、単なる数字の押し付けです,
5,このままやと、スタッフもお客様も離れて、赤字が膨らむだけですわ,
6,ほんまは“売り上げもっと上げたい”って思ってるのに、売上目標の決め方が分からんからモヤモヤしてません？,
7,分かりますよ。売上は出てても、数字の根拠がないまま走るの、疲れますよね,
8,ほんまは『この売り上げ目標、どこに繋がってるんやろ』って心の奥で疑問に思ってません？,
9,でも利益から逆算して目標を割り出したら、売上の意味が見えて、現場もラクになったんですわ,
10,今日は、利益から逆算して目標を“1日単位”で割り出す考え方をお伝えします,
11,感覚で数字を追う店と、利益ベースで数字を組み立てる店。成果も疲れ方も全然違います,
12,売上目標って、旅行の計画みたいなもん。行き先（利益）決めて、日程（目標）組まんと迷子になりますわ,
13,"売上目標は“根拠ある数字”
利益から逆算して決めることが大事です",
14,利益目標と固定費を足して、粗利率で割り戻す。さらに月・週・日に分け、客数×単価まで落とし込むんです,
15,それだけで、“何人にいくら売るか”がはっきりして、現場も数字も回り始めます。ぜひ保存して自店で試してください,
16,僕もこの方法で数字に振り回されなくなり、売上と利益が繋がりました。あなたにもできます,
17,今日から逆算で目標立てましょう。保存して、また見返して使ってな,
,,
ネタメモ：ABC分析,,
シーン,①セリフを考える（ライティング）,
1,売上の8割が一握りの商品からって知ってます？,
2,『どれが稼ぎ頭か分からん』って、毎月在庫とにらめっこしてません？,
3,売上データはあるのに活かせてない…そんな感覚ありません？,
4,勘頼りの経営は危険です,
5,このままやと、仕入れも販促もズレまくって、時間もお金もドブに捨てるだけです,
6,全部売れればええなって心のどこかで期待して具体的に計算したことないんちゃいますか？,
7,"分かりますよ。
どれが主役か分からんと、発注や仕込みに自信持てないですよね",
8,ほんまは『この労力、どの商品に効くんやろ』って心の中で疑ってません？,
9,もABC分析で見える化したら、売上の意味がハッキリしてスッと肩の力が抜けるんです,
10,今日は、ABC分析の計算式と活用法を“1日で使えるレベル”に分かりやすくお伝えします,
11,感覚で仕入れる店と、数式で仕入れる店。結果も疲れ方も全然ちゃいます,
12,ABC分析は健康診断みたいなもん。血液検査の数値を見なあかんように、売上の数値を診んと、本当の問題は見えへんのです,
13,ABC分析とは累積売上比率”で見ること。Aは70％まで、Bは90％まで、Cは残りで覚えましょう,
14,計算式は簡単。各商品の売上を総売上で割って累積し、累積比率＝累積売上÷全売上×100。70％未満がA、70〜90％がB、90％超がCです,
15,A商品は欠品厳禁で販促強化。B商品はコストやレシピを見直し、C商品は発注を絞る。このランク別運用だけでムダ仕入れが減って利益が増えます,
16,この分析で、主役と脇役が一目で分かり、売上と利益の流れがつながるようになります,
17,今すぐデータを引っ張り出して、売上比率を計算しましょう,
,,
ネタメモ：ネット情報の統一化,,
シーン,①セリフを考える（ライティング）,
1,,
2,祝日前に『営業時間っていつまで？』って毎回電話来る…,
3,イベント終了後もネットに残りっぱなしで、お客さんが勘違いしてませんか？,
4,それ、情報の統一と更新をサボってる証拠です,
5,このままやと、口コミも評価も分散して、MEO順位もどんどん下がります,
6,『ホームページは更新したはず』って思いながら、GoogleマップやSNSの営業時間、放置してません？,
7,『どのサイトに何を書いたか忘れた…』って、自分でも混乱してませんか？,
8,ほんまは『Googleの順位が落ちたんはこれのせいかも』って、心の奥で気づいてません？,
9,休日営業時間やイベント情報を含めて統一したら、予約も評価もちゃんと戻るんです,
10,今日は、名前・住所・電話番号に加えて、祝日やイベント情報を統一する具体的な方法を紹介します,
11,ばらつきのある情報を統一した店は、Googleマップでの順位が上がり、来店が増えています,
12,統一化は料理の盛り付けと一緒。皿ごとにバラバラだと味が良くても伝わらん。きちんと揃えてこそ美味しさ（信頼）が伝わります,
13,正解は、NAP情報だけやなく、祝日やイベント情報まで一貫させること。これがローカルSEOの基礎です,
14,具体的には、自社サイト、Googleビジネスプロフィール、SNS、外部サイトの全てで同じ名前・住所・電話番号を使い、営業時間やイベントの情報も一致させる。更新時はリストを作って優先順位を決めて対応,
15,これだけで、MEOの順位が上がり、来店や問い合わせも増え、口コミが一元化されてブランド評価も高まります。保存して、自店でチェックリストを作りましょう,
16,僕もこの方法で、祝日営業の混乱もイベント情報のトラブルもなくなり、Googleの順位が安定しました。あなたの店も絶対変わります,
17,今すぐ自分の店の情報を確認して、全部そろえましょう,
,,
ネタメモ：レトルト商品,,
シーン,①セリフを考える（ライティング）,
1,"店内売上が戻らないなら、あなたの秘伝の味をレトルトで届けませんか？
今日から店外売上を増やす方法、教えます",
2,店内は満席。でもそれだけじゃ限界や…って、思い始めてません？,
3,レトルトに興味あるけど、“味が再現できへんやろ”って敬遠してません？,
4,それ、知らんままチャンス捨ててる証拠です,
5,このままやと、ブランドの味も売上も店の中に閉じ込めたままですよ,
6,『メニューの味そのまま出せるわけない』って諦めてる自分、心のどこかに居てません？,
7,正直“もっと広げたいのに方法が分からん”ってモヤモヤしますよね,
8,ほんまは『店の味を全国に届けたい』って夢、ずっと持ってますよね？,
9,僕も同じでした。でもレトルトにしてから、ファンも売上も増えたんですわ,
10,今は20食単位でレトルト試作できる時代。小ロットならリスクほぼゼロです,
11,大量生産じゃなくても始められる。このチャンスを逃したらもったいないで,
12,レトルトは“食べられる名刺”。あなたの味を遠くのファンに届けるPRツールなんです,
13,"レトルト食品は、料理を袋やトレーで密封し高温高圧で殺菌した食品です
コロナ禍でEC販売が増え、店外売上の柱になってます",
14,"作る手順はシンプル。
①商品と包装を決める
②地元保健所に製造許可を確認
③レシピと食材は自社で決め、製造は小ロット対応のOEMに委託
④試作を繰り返して味を再現",
15,"実際、クライアントの居酒屋はカレーをレトルト化してファンを増やしました
しかもレトルトは1回の製造量が少なくても委託でき、誰でも始められます",
16,"大事なのは製造業者選び。経験豊富で企画やパッケージ作成も支援し、小ロット対応し、添加物を極力使わないメーカーを選んでください
あなたの味を守るためです",
17,今日のポイントを踏まえ、保健所への確認やOEM選定など具体的な準備を進めましょう,
,,
ネタメモ：財務三表の説明,,
シーン,①セリフを考える（ライティング）,
1,黒字でも潰れる店、P/Lしか見てません,
2,"黒字やのに資金繰りヤバい”って、おかしいと思いません？
",
3,売上だけ伸びてるから大丈夫、って思い込んでるお店、多いんです,
4,でもそれ経営とは呼べないですよ,
5,このままやと、“気づいたら資金ショート”…そこまで見えてないだけです,
6,たぶん今、“利益出てるのに、なぜか資金繰りが苦しい”って感じてますよね？,
7,家賃払て、仕入れ払たら…“通帳の残高、あと数万円”とかザラですよね,
8,月100時間は厨房おって、残るの5万以下やったら、そら心折れます,
9,頑張ってる証拠はあっても、通帳は嘘つきませんから,
10,今日のリールでは、“P/Lだけ見てた経営”がどれだけ危ないか、3表の役割を超シンプルに解説します,
11,僕も昔、利益出てたのに現金減ってる理由、マジで分からんかったんです,
12,言うたら、売上と現金の関係を“蛇口とバケツの水漏れ”で理解するようなもんです,
13,財務三表って何かというと、P/L（損益計算書）・B/S（貸借対照表）・C/F（キャッシュフロー計算書）の3つ。これ、店の“現在・過去・未来”が全部見える地図なんです,
14,P/Lは“売上と利益”を見る表。でも、P/Lだけでは“今いくら現金あるか”が分かりません。たとえば利益100万出てても、C/F見たらマイナス30万とか、普通にあるんです,
15,P/Lで“原価率いいな”と思って仕入れ増やしたら、C/Fで現金足りずに支払い詰まるとかね。逆にB/Sで“借入返済のタイミング”見てれば、無駄な焦りも減ります,
16,もし今までP/Lしか見てなかったとしても大丈夫。三表は“店の現在地と目的地を教えてくれるカーナビ”です,
17,財務三表、ほんまに分かると“経営の見え方”変わります。まずは通帳とP/L、見比べてみてください,
ネタメモ：物件選びはなんかええな、じゃなくてロジックで選ばなあかん,,
シーン,①セリフを考える（ライティング）,
1,まさか経営者人生狂わす物件選びしてないよな？,
2,あの時もっと慎重に物件選んどけばよかった…って焦ったことありません？,
3,この物件ええ感じって具体的な市場調査もせんと決めてへん？,
4,それ危険すぎます,
5,雰囲気で選んだ物件ほど赤字垂れ流して撤退することになります,
6,感覚で物件選んだけど自分はうまくいくっていう根拠ない幻想持ってませんか？,
7,僕のクライアントでも感覚で物件決めて後悔したお店ほんまに多いです,
8,みんなこの場所なら行けるやろっていう甘い思い込みがあったんです,
9,"けど結果は惨敗
半年で資金繰りが回らんくなって撤退しました",
10,物件選びで絶対に失敗しやへんための具体的なロジックを今から徹底的にお伝えします,
11,感覚で選んだ今の自分とロジックを知った後の自分では確実に結果が変わります,
12,物件選びでロジック無視すんのは地図を見ずに知らん土地で目的地を探すようなもんです,
13,物件選びのロジックは商圏人口・客単価・家賃比率を徹底的に数字で見ることです,
14,最低限半径500m内の競合数と潜在顧客数家賃が月商の10％以下かを絶対確認してください,
15,この3つのロジックを使って決めた僕のクライアントのお店は初月から黒字化しました,
16,感覚ではなく数字で選ぶだけで物件選びは必ず成功します,
17,明日までに候補物件の周辺500m以内の競合店数と家賃比率を必ずチェックしてください,
,,
ネタメモ：インスタグラマー集客はやめろ,,
シーン,①セリフを考える（ライティング）,
1,インフルエンサーに頼めばお客様が殺到するほんまにそうですか？,
2,あの人のファンがあなたのお店のアカウントフォローしてくれるかもしれません,
3,でも実際は来店せぇへん＋興味ない層のフォロワーが増えるだけ,
4,この層ばっかり集めてると,
5,エンゲージメント下がってあなた本来のお客様にリーチせぇへんアカウントになるんです,
6,なんか最近投稿の反応イマイチやな…って感じてるならちょっと聞いてください,
7,僕も昔困ったらPRって発想にどっぷり浸かってました,
8,それで毎回その場しのぎで何とかしたつもりなって,
9,気づいたら誰にも届かんアカウントになってたんです,
10,このリールでお客様がちゃんと集まるアカウントの作り方を具体的に学べます,
11,誰にも届かん投稿を毎日頑張ってた自分からやっと卒業できました,
12,ハリボテの集客を脱ぎ捨ててお客様と繋がる投稿に変えるヒントをお伝えします,
13,集客って発信が届く相手を自分で選べるかどうかなんです,
14,"まずストーリーの閲覧数 ÷ フォロワー数×100が10％切ってたら危険信号
そのアカウントもう集客媒体じゃないです",
15,"僕も昔それで失敗して思い切ってゼロから作り直しました
誰に届けたいかだけを考えたら自然にお客様が戻ってきたんです",
16,"数字じゃなくてちゃんと届く実感
それがあるアカウントがほんまに売上をつくるアカウント",
17,まずストーリー閲覧数 ÷ フォロワー数×100を今すぐ計算してみてください,
,,
ネタメモ：週に一回15分の1on1が行えないお店は組織構造、時間の使い方をまず疑え,,
シーン,①セリフを考える（ライティング）,
1,そんなマネジメントで人材育成とか言うてる場合ちゃいますよ,
2,時間ないから1on1ムリってほんまに時間のせいなんですか？,
3,売上の資料作る時間は取れてるのに人と向き合う15分は削るんですか？,
4,それ優先順位がズレてるだけちゃいます？,
5,マネジメントって人を育てる仕事やってこともう一回思い出してほしいんです,
6,"人を大切にしたいけど時間が足らん
そうやってずっとジレンマ抱えてません？",
7,現場で毎日走り回って向き合いたくてもムリって日もあるのよう分かります,
8,でもそれ忙しいって言い訳にしてたの自分やったって気づいたんです,
9,ほんまに人を育てたいならまず時間つくるがマネジメントの第一歩やと思います,
10,今日のリールではなぜ1on1が人材定着に直結するかを具体的にお伝えします,
11,うちも忙しい忙しいって言うてる間に大事なスタッフいっぱい失いました,
12,1on1せえへん職場って点検してへん厨房と一緒で見えへんとこから崩れていきます,
13,人が辞める理由のほとんどは話せてないことです,
14,週1の1on1で最近どう？って聞くだけで空気も判断も変わります,
15,一番成長したスタッフは毎週1on1で分からんところを話してくれた子でした,
16,ちゃんと見てもらえてるって思えるだけで人はめちゃくちゃ頑張れるもんです,
17,部下と向き合う時間をつくらんマネージャーに成長も定着もないですよ,
,,
ネタメモ：無借金経営のデメリット,,
シーン,①セリフを考える（ライティング）,
1,"借り入れゼロやからこそ銀行から信用されへんってケース意外とあるんです
",
2,“借りへん方が立派”って思われがちですけど…,
3,実は銀行って、“借りてちゃんと返してる人”を評価するんです,
4,つまり、“信用の実績”がない状態になってしまうんです,
5,いざってときに融資が通らんリスク、これが“無借金経営の落とし穴”です,
6,正直、“借金”って言葉にちょっと抵抗ある…そんな気持ち、持ってません？,
7,僕も昔、“借金＝怖いもん”って思てたんです,
8,けどある時、“借り方を知らん自分”が一番怖いって気づきました,
9,経営って、“お金を動かせる人”が、チャンスをつかむ世界なんですよね,
10,今日は、“無借金＝安心”という思い込みが、将来の経営をどう縛るかをお伝えします,
11,“借りること”って、ほんまは“信用を証明すること”なんです,
12,"たとえるなら、“試合に出てない選手”が評価されへんのと同じ。
実績がなければ、信用は積まれません",
13,経営に必要なんは自己資金じゃなくて信用の器です,
14,たとえば100万だけ借りて、半年で返済するだけでも、立派な実績になります,
15,"僕の知り合いのオーナーも、開業2年目に“小さく借りて返すっていうのを繰り返して、5年後にはスッと2,000万通りました",
16,“いつでも資金調達できる状態”って、ほんまに安心です。借りんでもよくても借りれる状態っていうのが一番の理想です,
17,借金は怖い思ってた昔の自分に、届けたかった内容です。保存して、ゆっくり振り返ってみてください,
,,
ネタメモ：試食の仕方　ワンポーション食わんかい,,
シーン,①セリフを考える（ライティング）,
1,“食べた気になってる開発”、もうやめましょ,
2,お客様は一口目で満足するんじゃなくて最後まで食べて判断してるんです,
3,途中で飽きるか、しんどくなるか、最後まで心地いいか,
4,それひと口で分かると思いますか？,
5,食べ終わったときの感情まで味わわんと、ほんまの商品開発にはなりませんよ,
6,普段はお客様目線で考えよう言うてるのに、開発では自分の感覚だけで決めてたりしません？,
7,前に自分でこれ完璧わ思ったパスタ試食は一口だけでOK出してて,
8,でも実際に出したら後半しょっぱすぎて残される現場からこういうクレームが出ました,
9,お客様は最初の一口だけじゃなくて、最後の満足で評価してるって、そのとき痛感しました,
10,一口食べて美味しいと最後まで食べたいは、全然別もんやってことは、ほんまに多いです,
11,商品開発するなら満腹の一歩手前の感情まで再現してください,
12,例えるなら序盤だけおもしろい映画最後の印象で全部決まりますよね？,
13,味づくりって一口目のインパクトと最後の心地よさ両方設計して初めて完成なんです,
14,だからこそ開発での試食は1人前完食するっていうルール、絶対入れてください,
15,それだけで後半ちょっと重いなとか味の変化つけようかって会話が、自然と出てきます,
16,最後の一口までほんまに美味しいか？って問いかけがあるだけで、スタッフの目線もお客様に寄っていきます,
17,ワンポーション完食してから評価するこれを皆さんの現場の文化にしていきましょ,
,,
ネタメモ：集客の相談より「人」に関する問い合わせが一番多い,,
シーン,①セリフを考える（ライティング）,
1,採用・教育・定着…実はどこも人でつまずいてる店多いんですよ,
2,スタッフが続かへんこれ売上より先に店つぶすことになります,
3,一人辞めるたびに現場が回らへんってよく聞きます,
4,採用→教育→退職…このサイクルが止まらへん,
5,ほんまはみんな売上じゃなくて人のしんどさで限界感じてるんです,
6,ちゃんと現場見れてる経営者ほど人で悩むんです,
7,スタッフの顔色気にして空気読んで気ぃ張ってってこれしんどいですよね,
8,僕も昔この子辞めたら終わるって頭ん中ぐるぐる回ってました,
9,でも人の問題を後回しにしたお店から静かに崩れていくんです,
10,現場って人の空気が整ってないとどんな施策も効きません,
11,僕にDMくれる方みんな最初は売上の相談って言いながら、最後は人の話になります,
12,冷え切ったスタッフに熱意ぶつけても、うまいこと伝わらないんですよね,
13,経営って人に向き合う覚悟がないと、何もうまく回らんようになってます,
14,まず辞めた理由と向き合うだけでも、次の採用や教育の質が変わります,
15,実際にヒアリングや仕組み変えた現場では、誰も辞めてない半年っていうのを作れたお店もあります,
16,人が定着する安心感これほど経営に効くものは他にありませんでした,
17,"人のことで限界がきてるなら一度僕にDMをください
必ず整理できます",
,,
ネタメモ：こだわりすぎて財務ぐだぐだ→実はこんなお店が好き,,
シーン,①セリフを考える（ライティング）,
1,"財務ぐっちゃぐちゃ
これがダメって誰が決めたんですか？ 僕は、むしろ“愛”に見えます",
2,原価率バグってる。でも厨房覗いたら、“どうしても外せん食材”が並んでる,
3,これがこの一皿のこだわりやって思って削れずにいる,
4,そら、財務整うわけないんです,
5,でもそれがあのお店のあの味忘れられへんわって言われる理由やったりするんです,
6,"この食材外せば利益出る”って分かってても、どうしてもやれへん時ありますよね？
",
7,めちゃくちゃコンサルタントっぽくないこと言うんですが,
8,やっぱり料理人の職人っていうのが垣間見える瞬間が何よりも大好きなんです,
9,結局お皿の上に表現されたヤンチャな原価率がその人の愛なんですよね,
10,こだわりすぎてるお店って、数字より味で語ってるお店なんです,
11,それがいいか悪いかじゃなくて何を信じてるかが問題やと思うんです,
12,"例えば赤字覚悟でやってるライブ
魂は削れてるけど誰よりも伝わりますよね",
13,こだわりって削るもんじゃなくて守るために、誰かが“背中支える”もんやと思うんです,
14,数字、仕組み、経営のこと。それは僕に任せてください,
15,実際味は守って経営は黒字にしたお店、今も全国にいくつかあります,
16,あなたの料理の本気ちゃんと経営という形にして残しましょう,
17,僕は原価率の高いお皿に誰よりも敬意を持っています,
,,
ネタメモ：CFの8つの型で自店の経営状況の判断を,,
シーン,①セリフを考える（ライティング）,
1,経営偏差値、残高で出ます,
2,経営の“型”がズレてたら利益出てるのにお金残らなくなりますよ？,
3,そもそもキャッシュフローでお金の流れ見てないなんてことないですよね？,
