"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","支払月","12月支払金額","1月繰越残高","1月以降支払金額"
"2025/11/15","ＶＩＳＡ国内利用　VS ﾋﾞﾘﾔ-ﾄﾞﾛｻ/NFC","本人","1回払い","4150","0","4150","12月","4150","0",""
"2025/11/15","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ｶﾞｰﾃﾞﾝ","本人","1回払い","1540","0","1540","12月","1540","0",""
"2025/11/15","ＪＣＢ国内利用　QP  ﾊﾟ-ﾌｴｸﾄﾌ-ﾄﾞ","本人","1回払い","1000","0","1000","12月","1000","0",""
"2025/11/15","ＪＣＢ国内利用　QP  ﾌｱﾐﾘｰﾏｰﾄ","本人","1回払い","401","0","401","12月","401","0",""
"2025/11/15","ＪＣＢ国内利用　QP  ﾄﾞﾄ-ﾙｺ-ﾋ-","本人","1回払い","350","0","350","12月","350","0",""
"2025/11/15","ＪＣＢ国内利用　QP  ﾊﾞｸﾞ-ｽｼﾝｼﾞﾕｸﾃﾝ","本人","1回払い","1960","0","1960","12月","1960","0",""
"2025/11/14","ＶＩＳＡ国内利用　VS ｶﾌﾞｼｷｶｲｼﾔｽ* ｽﾍﾟ-ｽ","本人","1回払い","3868","0","3868","12月","3868","0",""
"2025/11/14","ＶＩＳＡ国内利用　VS ﾁﾔ-ｼﾞｽﾎﾟﾂﾄ","本人","1回払い","430","0","430","12月","430","0",""
"2025/11/14","ＶＩＳＡ国内利用　VS ﾌﾞｯｷﾝｸﾞ･ﾄﾞｯﾄｺﾑ･ｼﾞ","本人","1回払い","8910","0","8910","12月","8910","0",""
"2025/11/14","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ﾀｸｼｰｼｬﾅｲｹｯ","本人","1回払い","900","0","900","12月","900","0",""
"2025/11/14","ＶＩＳＡ国内利用　VS ﾆﾝﾃﾝﾄﾞｰEｼｮｯﾌﾟ","本人","1回払い","306","0","306","12月","306","0",""
"2025/11/14","ＪＣＢ国内利用　QP  ｲﾀﾘｱﾝﾚｽﾄﾗﾝﾍﾟﾙﾃｲｶ","本人","1回払い","2529","0","2529","12月","2529","0",""
"2025/11/14","ＪＣＢ国内利用　QP  ﾎﾃﾙｱﾋﾟｵ","本人","1回払い","7300","0","7300","12月","7300","0",""
"2025/11/13","ＶＩＳＡ国内利用　VS ﾗｸｽﾙ","本人","1回払い","4316","0","4316","12月","4316","0",""
"2025/11/13","楽天トラベル　国内宿泊　        702203","本人","1回払い","3900","0","3900","12月","3900","0",""
"2025/11/12","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","12月","10000","0",""
"2025/11/12","ＪＣＢ国内利用　QP  ｴｷｱﾀｹﾉﾂｶ","本人","1回払い","1400","0","1400","12月","1400","0",""
"2025/11/12","ＪＣＢ国内利用　QP  ﾃﾞﾆ-ｽﾞ ﾀｹﾉﾂｶﾃﾝ","本人","1回払い","528","0","528","12月","528","0",""
"2025/11/12","ＪＣＢ国内利用　QP  ﾃﾞﾆ-ｽﾞ ﾀｹﾉﾂｶﾃﾝ","本人","1回払い","3168","0","3168","12月","3168","0",""
"2025/11/12","ＪＣＢ国内利用　QP  ｻ-ﾃｲﾜﾝｱｲｽｸﾘ-ﾑ","本人","1回払い","510","0","510","12月","510","0",""
"2025/11/09","ＶＩＳＡ国内利用　VS ﾁﾔ-ｼﾞｽﾎﾟﾂﾄ","本人","1回払い","430","0","430","12月","430","0",""
"2025/11/09","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ﾔﾅｶ ﾔﾄﾞﾘｷﾞ","本人","1回払い","6330","0","6330","12月","6330","0",""
"2025/11/09","ＪＣＢ国内利用　QP  ｻ-ﾃｲﾜﾝｱｲｽｸﾘ-ﾑ","本人","1回払い","550","0","550","12月","550","0",""
"2025/11/09","ＪＣＢ国内利用　QP  ﾋﾞﾘﾔ-ﾄﾞﾛｻ","本人","1回払い","3700","0","3700","12月","3700","0",""
"2025/11/08","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ｷﾗﾘ","本人","1回払い","1850","0","1850","12月","1850","0",""
"2025/11/08","ＶＩＳＡ国内利用　VS ﾏｸﾄﾞﾅﾙﾄﾞﾓﾊﾞｲﾙｵ-ﾀﾞ","本人","1回払い","840","0","840","12月","840","0",""
"2025/11/07","ＶＩＳＡ海外利用　HOSTINGER* HOSTINGER","本人","1回払い","1799","0","1799","12月","1799","0",""
"2025/11/07","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ﾀｸｼｰｼｬﾅｲｹｯ","本人","1回払い","2600","0","2600","12月","2600","0",""
"2025/11/06","ＶＩＳＡ海外利用　TERMIUS CORPORATION","本人","1回払い","2400","0","2400","12月","2400","0",""
"2025/11/06","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","10000","0","10000","12月","10000","0",""
"2025/11/06","ﾓﾊﾞｲﾙｽｲｶ","本人","1回払い","750","0","750","12月","750","0",""
"2025/11/06","ＪＣＢ国内利用　QP  ﾄﾞﾄ-ﾙｺ-ﾋ-","本人","1回払い","510","0","510","12月","510","0",""
"2025/11/06","楽天ブロードバンド　        703922","本人","1回払い","4271","0","4271","12月","4271","0",""
"2025/11/05","ＶＩＳＡ国内利用　VS ﾏﾈ-ﾌｵﾜ-ﾄﾞｸﾗｳﾄﾞ","本人","1回払い","1408","0","1408","12月","1408","0",""
"2025/11/03","ＶＩＳＡ国内利用　VS ﾍﾟｲﾍﾟｲ*ﾆﾄﾘ","本人","1回払い","34990","0","34990","12月","34990","0",""
"2025/11/03","ＶＩＳＡ国内利用　VS ﾏｸﾄﾞﾅﾙﾄﾞﾓﾊﾞｲﾙｵ-ﾀﾞ","本人","1回払い","640","0","640","12月","640","0",""
"2025/11/03","ＶＩＳＡ国内利用　VS ﾀﾞｲﾄﾞ-ﾄﾞﾘﾝｺ ｶ","本人","1回払い","150","0","150","12月","150","0",""
"2025/11/02","ＶＩＳＡ国内利用　VS AMAZON WEB SERVIC","本人","1回払い","67","0","67","12月","67","0",""
"2025/11/02","ＶＩＳＡ海外利用　OPENAI *CHATGPT SUBS","本人","1回払い","35210","0","35210","12月","35210","0",""
"2025/11/01","ＶＩＳＡ国内利用　VS GOOGLE*CLOUD J6ZH","本人","1回払い","1035","0","1035","12月","1035","0",""
"2025/11/01","ＶＩＳＡ海外利用　AQUA VOICE","本人","1回払い","1599","0","1599","12月","1599","0",""
"2025/11/01","ＪＣＢ国内利用　QP  ﾏｸﾄﾞﾅﾙﾄﾞﾄｳｷﾕｳﾌﾟﾗ","本人","1回払い","730","0","730","12月","730","0",""
"2025/11/01","ＪＣＢ国内利用　QP  ﾌﾟﾛﾝﾄｺ-ﾎﾟﾚ-ｼﾖﾝ","本人","1回払い","1364","0","1364","12月","1364","0",""
"2025/11/01","ＪＣＢ国内利用　QP  ｶﾅﾁﾕｳﾀｸｼ- ﾄﾂｶｴｲｷ","本人","1回払い","2600","0","2600","12月","2600","0",""
"2025/11/01","ＪＣＢ国内利用　QP  ﾗｳﾝﾄﾞﾜﾝﾖｺﾊﾏｴｷﾆｼｸ","本人","1回払い","990","0","990","12月","990","0",""
"2025/11/01","ＪＣＢ国内利用　QP  ﾋﾞﾘﾔ-ﾄﾞﾛｻ","本人","1回払い","1450","0","1450","12月","1450","0",""
"2025/12/01","ＶＩＳＡ海外利用　AQUA VOICE","本人","1回払い","1622","0","1622","1月以降","","","1622"
