No,カテゴリ,テーマ,フック,解決策,エンド
32,,焼肉屋さん、網洗いに人件費かけすぎてない？,焼肉屋さん、網洗いに人件費かけすぎてへん？,毎月何万円人件費捨ててるか計算したことありますか？,一ヶ月の網洗い人件費＞外注費or機械費であれば変えましょう
33,,ワンオペラーメンオーナーが限界：券売機・前払い導入の判断基準,ワンオペでラーメン屋を経営している方、提供スピードが会計に引っ張られてません？,"忙しい時の会計に限ってミスが起きたりするので券売機の導入は検討してみましょう
券売機は設備投資ではなく限界を超えないための保険と思うと気が楽です",逆に常連9割とかカスタム命のお店、オーナーとの会話そのものが価値であれば券売機導入はしない方がいいです
34,,回転が悪いカフェ：滞在時間を削らずに席効率を上げる方法,カフェで回転率を上げようとするのは一番やっちゃダメな戦略です,一人用カウンター、大テーブル、二人掛けテーブルなど役割を明確にすると回り始めます,滞在中に追加注文しやすい状態を作ったり、混雑時のルールは先に作っておきましょう
35,,コースを単価UPのためと思ってませんか？選択のしやすさ,「単価UPしたいからコース作るねん」って言ってる時点で失敗です,"行ったことのないお店のアラカルトほどストレスは多いんです
その時にコースがあるとお客様はお店を選択しやすくなるんです","コースは決められない人のための救済措置
それが結果的に単価を押し上げてるだけです"
36,,コロナ融資終わって閉店,コロナ融資の返済しんどくないですか？,"融資は延命装置であって再生装置ではないです
返済が原因ではなく元々の集客力が原因です","すこし厳しい話ですが潰れる判断を後ろにずらしてただけ
融資は時間を買う手段なので、その時間で何を変えたかが今の結果です"
37,,飲食店オーナーの現場張り付き症候群,飲食店オーナーの現場張り付き症候群は末期の症状です,お店はオーナーの体力以上に大きくならへんってことをオーナー自身気付かんとダメです,"あなたが1ヶ月お店にいなくても回る仕組み作りに全力で取り組んでください
分からない方はいつでも相談に乗りますよ"
38,,値下げ戦略、9割の飲食店があとで後悔します,値下げ戦略、9割の飲食店があとで後悔します,値下げして客層が変わったらもう元には戻らないです,忙しくなったのに手元に残らん。スタッフは疲れる。常連は減る。値下げの典型的な副作用も理解した上で決めてください
39,,クーポンで店が一気に苦しくなる理由,クーポンはめちゃくちゃ危険って知ってました？,お客様の来店理由が価値から価格に置き換わり価格比較でしかお店に来なくなります,クーポンをやめても来てくれる理由今言えるかが重要です
40,,潰れた店が口を揃えて言う“やらなきゃよかった”,潰れた店が口を揃えて言うやらなきゃよかった3選,"① 固定費を上げすぎたこと（特に家賃・人件費）
② 利益構造を把握しないまま運営したこと
③ 意思決定を先送りにし続けたこと",これからお店を始める方は成功例を探すのではなく失敗例を聞くと共通項が見つかって安全に経営ができます
41,,Googleの口コミ→ガイドライン違反,口コミを書いてくれたらドリンク一杯無料！ってやってるお店、それ違反ですよ,"Googleの口コミガイドラインでは「インセンティブを与えて口コミを書かせる行為」は明確に禁止しています
その上景品表示法にも抵触する可能性が高いです",マーケティングを小手先のテクニックで完結するのは経営とは呼べませんよ
42,,売上が落ちた時に絶対やってはいけない行動,売上が落ちた時に絶対やってはいけない行動って知ってますか？,まず何かを足す前に必ず重いものを下ろしましょう,"まずやるべき順番が重要で
1、固定費を下げる
2、利益が出ない業務を止める
3、一施策だけ、短期間で検証
4、数値で合否を切る"
43,,「飲食店　集客　方法」って検索したことある人,「飲食店　集客　方法」って検索したことある人、そこに答えは出てこないですよ,マーケティングは料理人の仕事ではないものの、経営者あなたの仕事ではあります,知らない、分からないって方は僕のDMに「無料面談」って送ってくれたらzoomで相談乗りますよ
44,,営業中スタッフに声を荒げて叱ってる方は見てください,営業中スタッフに声を荒げて叱ったことある方は見てください,"お客様にも聞こえるし、空気悪くなってスタッフは働きにくくなるだけ
そんなマネジメントしてるのであれば管理職失格です","今の一言、お客さんに聞かせて誇れますか？
これを常に意識しておいてください"
45,,"ここまで頑張って、まだ苦しいなら
それは“やり方”じゃなく“前提”が間違ってる",ここまで頑張ってまだ苦しいなら、そもそもジャンルを疑うべきです,マーケットインで誰のための商品かを明確にして商品を開発してください,"努力は必要やけど向いてる方向が違うだけでどんどん正解からかけ離れてしまいます
一度立ち止まってみる必要があるかもしれません"
46,,無料面談アナウンス,相談したいけどコンサルってお金めっちゃかかるんちゃうん？って聞かれますが結論無料でできます！,飲食店にとってサポートやブレインが必要、でも予算がそんなに取れへんねんって方でも安心して使っていただけるようにかなりコストも低くしています,飲食店オーナーの方、これから始める方、飲食店経営で困ってる方、DMまたはプロフィールのリンクからご連絡ください
47,,今日は満席でめちゃくちゃ忙しかったのに売上思ったほどあらへんな,今日は満席でめちゃくちゃ忙しかったのに売上思ったほどあらへんなって言うてる飲食店経営社さん、忙しさで評価する経営もう卒業しましょ,人も体力も削って利益は残らんのは経営としては負けです,"経営の一番の評価はどれだけの利益を残したかです
忙しさや売り上げではなく利益を見ましょう"
48,,GW明けにスタッフが辞める,"予言します
GW明けに新人が辞めるでしょう",入社から溜まってた不満が一番忙しい期間をすぎて整理されただけ,"忙しい時ほど人は会社の本性を見るもんです
GWの忙しさがスタッフにとって「誇れる経験」か「耐えただけの時間」やったかで未来は変わります"
49,,マーケティングファネル,マーケティングファネルを知らん飲食店経営者はこの先しんどいで,"SNSで予約取ろうとする店ほどファネルの入口で詰まってます
逆に「行くかどうか」を決める場所にSNSのリンクはノイズです",リピーターが少ないのであればリテンションフェーズを見直さないとずっと集客地獄に入りますよ
50,,現金出納帳,地味やけど一番効く現金出納帳を見落としてませんか？,"現金出納帳を付けるって経営をちゃんと直視する覚悟です
お金の流れが全部見えてしまいますからね",潰れる店の多くは利益を失ったんじゃなくて現金を失ってるパターンが多いです
51,,スタッフとの面談をサボるな,最後にスタッフと面談したのいつですか？,面談をサボるお店ほどスタッフが辞める理由を「急やった」って言うけど、それ聞いてへんだけちゃいます？,"面談はズレが小さいうちに修正する時間です
たったの5分、一ヶ月の0.01%もスタッフと向き合えない店舗に未来はないですよ"
52,,本気でマーケしたいならSNSの数字をしっかり落とし込め,本気でSNSで集客したい人に僕が使ってるシートあげるんで全力で取り組んでください,保存率、動画再生維持率、ホーム率、フォロー率など毎日見て100本投稿したら必然的に異変に気付けるようになります,"今年こそSNS集客頑張りたい方はコメントください
シート渡します"
53,,口コミで戦ってませんか？,悪い口コミに対して反論したことある人、Googleからの集客できなくなってるので今すぐ確認してください,"事実かどうか、理不尽かどうかなんて関係ない
第三者は「どう返しとるか」しか見てないです
戦った瞬間見てる人全員敵に回してますよ","口コミ対応は信用管理です
イラっとするなら悪い口コミ用にコピペで返信できるテンプレをコメントに書いとくので使ってください"
54,,キッチン志望はホールから,ほんまに料理で喜ばれるお店を作りたいならまずホールから修行してください,"一番お客さんに近い仕事がホールです
ホールを飛ばしたキッチンは自己満足になりやすい","ホールでの仕事はキッチンで一生効いてきます
選ばれる料理は現場理解からしか生まれないです"
55,,インスタグラマー集客はやめろ,インスタグラマー集客はやめません？,"インスタグラマーで一時的にお店は流行るけど集客は安定しません
これはインスタグラマーのファンが来ただけであなたのお店のファンではないからです",集客を人に依存した瞬間短命になりますよ
56,,社長は最低マーケと財務は勉強しとけ,社長は最低限でええからマーケと財務は勉強しとかなあかん,誰よりも料理ができなあかんわけでもなく、どこに何を片付けてるか知らんくてもいいけど、数字と集客の仕組みが分からん社長は経営判断する資格がないです,正しい意思決定するためにも共通言語の理解は必要です
57,,食べ歩きするべき（価格相場の理解）,価格はお店が決めるのではなく市場が決めるもんです,"食べ歩きは仕事として行うべきです
ピンからキリまで全部知らないと偏ったお店になりますよ",周りがいくらで何を出してるか自分の財布で確認しましたか？
58,,食べログの伸ばし方徹底公開,"食べログの伸ばし方徹底公開しちゃいます
ちなみに食べログが伸びないお店ほど点数を気にしすぎです","伸びる店がやってるのは来店の意思決定をとにかく楽にしてること
飲み放題は何が出されてるのか？コースの内容は？どんな人、どう言う時におすすめ？などです","あとはなによりシズル感のある写真と食欲を駆り立てるライティングです
説明いらずでイメージを沸かせたら勝ちです"
59,,炎上対策,この大SNS時代、まさか炎上対策してへんとか防具もつけずに戦場に立つようなもんですよ,"① すぐ反応しない
② 事実と感情を分ける
③ 公開の場で戦わない
これだけは守ってください","勝とうとした瞬間お店は負けです
余計なことをしない勇気をもって冷静に対応してください"
60,,日常食は潰れにくいけど稼ぎにくい、特別食は潰れやすいけど稼ぎやすい,"毎月、客数の不安と単価の不安
どっちならちゃんと向き合えますか？",日常食は潰れにくいけど稼ぎにくいけど、特別食は潰れやすいけど稼ぎやすいです,耐えられる不安の種類を選んでどっちのリスクを自分が引き受けるかを決めて開業しましょう
