No,テーマ,シーン1,シーン2,シーン3,シーン4,シーン5,シーン6,シーン7,シーン8,シーン9,シーン10,シーン11,シーン12,シーン13,シーン14,シーン15,シーン16,シーン17,参考例ID
11,デリバリーフードやるべきかどうか,売上欲しいからってデリバリー始めたら、忙しいだけで利益残らん店になりますよ。,最近売上も伸び悩んでるし、デリバリーでもやってみよかな…って思ってません？,とりあえず大手プラットフォームに登録して、人気メニュー並べたらなんとかなるやろって。,それ、一番アカンやつです。,気づいたら手数料で利益は消え、現場はてんやわんや。最悪、店内のお客さんからもクレームです。,“でもやらな売上上がらんし…”って、他に選択肢がないように感じてません？,なんとかして売上の柱を増やしたいその気持ち、めっちゃ分かります。,でも本音は、店内の営業だけでちゃんと利益出したいって思ってますよね。,その気持ちは大事です。でも、今のままやとデリバリーに頼るしかなくなりますよ。,このあと、デリバリーを始める前に絶対確認せなあかんポイントを具体的にお伝えします。,儲かるデリバリーと、疲弊するだけのデリバリーは、始める前の準備で全部決まります。,手数料30%って、売上から引かれるんちゃうんです。販売価格からごっそり持ってかれる。穴の空いたバケツで水運んでるようなもんですよ。,デリバリーで利益を出すには、手数料とコストを引いてもちゃんと手元に残る価格設計が全てです。,見るべきは3つ。①プラットフォーム手数料、②包材・配達コスト、③店内オペレーションへの影響です。,まず、デリバリー専用の原価計算をしてください。容器代、割り箸代、袋代も全部原価です。,計算したら、思ったより利益が薄くてゾッとするかもしれへん。でも、それを見ずに始める方がもっと怖いです。,計画なしのデリバリーはただの博打です。まずは自店の数字と向き合うことから始めてください。,問題の本質を探す→新規集客欲しいのにメニュー開発、人が辞めるから人事評価など;限界利益;スタッフが辞めるのは、給料のせいだけじゃない;閉業率が高く絶対に選ばない3つの業態;そのオペレーションを続けることが、継続コストがあなたの首を絞めてる
12,新入社員OJT→GW明けに辞める,新人採用できたお店さん、GW明けが怖いですよね。,せっかく入ってくれたのに、すぐ辞められたらどうしようって不安になりますやんか。,「とりあえずやってみて」「見て覚えろ」って、いきなり現場に立たせてませんか？,それ、教育やなくてただの放置ですわ。,GW明けに「辞めます」の一言。また求人出して面接して…この繰り返し、しんどすぎません？,「うちは忙しいから、実践で覚えてもらうしかない」って、自分に言い訳してません？,ほんまは一人前に育てて、お店の力になってほしい。そう願ってるはずです。,でも、教える時間もないし、正直どう教えたらええか分からんのが本音ちゃいます？,その気持ち、痛いほど分かります。でも、そのやり方やと何人採っても同じことの繰り返しですよ。,このあと、新人が辞めへんようになる「最初の1週間」でやるべきことを具体的にお伝えします。,放置された新人は不安で孤立する。ちゃんと導かれた新人は、お店の一員として成長します。,レシピも渡さんと「美味しいカレー作って」って言うてるのと同じです。そら無理ですやんか。,結論、初日から現場にいきなり放り込むのだけは、絶対やめましょう。,最初の3日は座学でOK。店の理念、メニューのこだわり、接客の基本ルール。これを徹底的に教えるんです。,そして教育担当を一人決める。毎日「何ができて、何が分からんかったか」を必ず聞く時間を作ってください。,「自分は期待されてるんや」って感じられたら、人は簡単には辞めへんのです。,教育担当を決めて、できたかどうかを細かく見てあげる。それが一番の近道です。,POPの意味;SNSなんて正直めんどい　でも伝える努力をやめへん理由;お客様の怒りや渇望→マーケ;ネット情報の統一化;地域密着型店舗の落とし穴
13,主導線と副動線,商圏リサーチを人口だけで見てる人、それもう時代遅れですよ。,人通りはめっちゃあるのに、なんでウチの店だけ素通りされるんやろ…って思ったことないですか？,駅前の大通りやから安心や！って、人の流れの『質』を見んと物件決めてへん？,それ、一番ハマる罠かもしれへん。,高い家賃だけが毎月出ていって、気づいたら誰も歩いてへん裏路地の店に売上で負けてる…なんてことになりますよ。,「人通り＝売上」っていう方程式、まだ心のどこかで信じてませんか？,僕も昔はとにかく人通りの多い場所が正義やと思ってました。気持ちはめっちゃわかります。,だって、人がおらんとこで勝負するの、正直怖いですもんね。,でも、その『安心』が一番の落とし穴なんですわ。,今から、人通りが多くても儲からん『主導線』と、人通りは少なくても儲かる『副動線』の決定的違いを教えます。,主導線はただの『通過点』。副動線は『目的地』になり得る場所なんです。,駅前の大通りは高速道路みたいなもん。みんな目的地しか見てへんから、途中のサービスエリアにはなかなか寄らへんでしょ？,物件選びの正解は、人の流れの『目的』を読むこと。足を使った商圏リサーチで、必ず見るポイントはこれだけです。,見るべきは3つだけ。信号待ちの人の視線、近くのコンビニの滞在時間、そして主導線から一本入った道の雰囲気です。,もし副導線を選ぶなら、主導線から『8歩』以内の物件だけを探してください。これが売れる立地の絶対条件です。,地図上の人口データより、そこで生活してる人の『息づかい』を感じる方が、よっぽど確実なリサーチになります。,主導線は目的地の決まった人が多いから足を止めてもらいづらい。お客さんがふと立ち寄れる『余白』がある場所を選んでください。,オーナーが現場に入る店 vs 入らない店　本当に利益が出てるのはどっち？;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;やりがいじゃなく仕掛けマネジメント;CFの8つの型で自店の経営状況の判断を
14,タイミーの使い方,タイミーさん呼んでも毎回皿洗いしかさせてへんなぁって感じてたら結構やばいです。,せっかく来てもらったのに、簡単なことしか頼まれへん…ってもどかしくないですか？,忙しいからって、つい「とりあえず皿洗いお願い！」って言っちゃいますよね。,でもそれ、一番もったいない使い方なんです。,そのままだと、タイミーさんは「作業員」のままで、お店の戦力には絶対ならへんのです。,「教える時間もないし、任せるのも不安」って、結局自分で抱え込んでもうてません？,わかります。僕も昔は、急に来た人にどこまで任せてええんか、めっちゃ悩みました。,でもほんまは、「もっと色々手伝ってほしい」って思ってるはずなんです。,その気持ち、めっちゃ大事。でも、仕組みがないと気持ちだけでは人は動いてくれへんのです。,このあと、タイミーさんを即戦力に変える「魔法の紙」の作り方、教えますね。,指示待ちの「作業員」になってもらうか、自分で動ける「戦力」になってもらうか、紙一枚で変わります。,これって、レシピなしで「美味しいパスタ作って」って言うてるようなもん。そら無理な話ですわ。,結論、マニュアルを整備してないお店がタイミーを使うのは人件費の無駄遣いです。,シンプルでええんです。①作業名、②やる順番、③終わりの基準。この3つだけ書いとくんです。,例えば「テーブルセット」。①おしぼり、皿、箸を置く。②椅子を引いて拭く。③メニューを定位置に。これだけで指示がめっちゃ楽になります。,「これ見といて」の一言で済む安心感、想像してみてください。めっちゃ心に余裕できません？,タイミーさんは時間給。その時間を最大限活かすんは、オーナーの準備次第です。,予約ゼロ→満席に変えた価格の順番　値下げより設計が先;試食の仕方　ワンポーション食わんかい;今もコロナ前と同じやり方してる店　変わらないことがリスク;開業してから考えるな　今いるお客さんの視点から逆算しろ;ECサイト伸ばしたいなら、お客様がどんな時に食べるか想像して
15,子供の行きたいが一番の集客効果,「子供こそ一番最強のインフルエンサー」って、気づいてますか？,「子供は騒がしいし、客単価も低いし…」って、正直思ってしまいますよね。,で、とりあえずお子様ランチだけ用意して、それで満足してません？,それ、全然子供の心、掴めてないです。,そのままだと「あそこは子供向けじゃない」って親御さんに判断されて、一生ファミリー客は来なくなります。,「うちは大人向けやから」って、本当はファミリー層も取り込みたいのに、諦めてません？,わかります。子供向けの設備とか、お金も手間もかかるって思いますもんね。,でも本音は、「どうやったら子供が喜ぶかなんて、わからへん…」ってのが正直なとこちゃいます？,その気持ち、めっちゃ大事なんです。でも、そのままだと近所のライバル店に全部お客さん取られてまいますよ。,この後、お金をかけずに子供が「また行きたい！」って親にねだるお店の作り方を具体的に話します。,ただの「子連れOK」のお店から、「子供が主役になれる」お店へ変わるんです。,子供にとってお店はテーマパークと一緒。料理だけやなくて、体験が記憶に残るんですわ。,結論、親を狙うより子供を喜ばせる方が、リピート率は圧倒的に高いです。,例えば、おもちゃのクジ引き、自分で作れるミニパフェ、店員さんとの秘密の合言葉とか。,子供が楽しめて「また行きたい！」となる仕掛けがあれば、親は必然的に通ってくれます。,子供の「楽しかった！」の一言が、どんな広告よりも強い一番の口コミになるんです。,ファミリー層を取りたいなら、子供が楽しめる空間づくり、本気で考えてみてください。,飲食店は立地で決まる？;飲食店経営は“戦時”と“平時”を分けて考えろ;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;ぶっちゃけ飲食店の成功は立地で決まるかどうか;竹矢匠吾が思う飲食店経営のやりがい
16,バックヤードが汚い店舗は大体うまくいってない,バックヤードが汚いお店で、繁盛してる店って見たことないですわ。,「見えへんとこやし、まあええか…」って、後回しにしてません？,段ボールが積み上がってたり、備品が床に直置きやったり。心当たり、ありませんか？,それ、めっちゃ危ないサインです。,その乱れ、いずれホールに出てきます。提供ミス、異物混入、スタッフの離職…全部つながってるんです。,「忙しいからしゃあない」って自分に言い聞かせて、見て見ぬフリしてるとこ、ありませんか？,ほんまはスッキリさせたい。でも、どこから手をつけてええか分からんのですよね。,「こんなとこ、お客さんには見せられへん…」って、心のどこかで罪悪感感じてません？,その気持ち、分かります。でも、バックヤードは店の“心臓部”。そこが乱れてたら、ええ血は巡りませんよ。,今日は、バックヤードが汚い店が抱える“見えないコスト”と、それを解消する簡単なルールをお伝えします。,綺麗な厨房は効率が上がる。汚い厨房はストレスが上がる。どっちがええかは、もう分かりますよね。,バックヤードって、料理でいう“仕込み”みたいなもん。仕込みが雑やったら、ええ料理は絶対できひんのです。,散らかったバックヤードの問題は、「探す・避ける・我慢する」っていう無駄な行動をなくすことです。,ポイントは3つ。「定位置管理」「床に物を置かない」「不要な物は即処分」。これだけです。,まずは「床に物を置かない」から始めてみてください。それだけで、動線も気持ちも全然変わりますから。,バックヤードが整うと、不思議とスタッフの表情も明るくなる。お店の空気って、そういうとこから変わるんです。,お店の健康診断やと思って、まずバックヤードの床から見直してみてください。,あなたの店、SNSやる前に現場の空気が整ってますか？;ABC分析;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;お客様の怒りや渇望→マーケ;竹矢匠吾が思う飲食店経営のやりがい
17,労基法　休憩,その休憩の取らせ方、一発で労基に引っかかりますよ。,「忙しいからしゃあない…」って、見て見ぬフリしてませんか？,ピーク過ぎたら30分ずつ、電話番はお願いして…とか、ついやってません？,それ、全部アウトです。,このままやと、ある日突然調査が入って罰金。スタッフからも見放されて店が回らんようになりますよ。,ほんまはちゃんとせなあかんって分かってるけど、どこから手つけたらええか分からん…って思ってません？,分かりますよ。人を休ませたら売上が…って思うと、なかなか踏み切れへん気持ち。,心のどこかで『休憩くらいでごちゃごちゃ言わんといて』って思ってたりしません？,でも、スタッフを守られへん店に、お客さんを守ることはできまへん。,今日は、忙しい飲食店でもできる、法律を守った休憩の取らせ方の基本をお伝えします。,これを知らんままやとビクビク経営、知ってれば堂々と胸張ってスタッフを雇えます。,休憩って、仕込みの時間と一緒ですわ。ちゃんと取らんと、後半の営業がガタガタになります。,休憩のルールはシンプルです。6時間超えたら45分、8時間超えたら1時間。必ず労働時間の“途中”にあげてください。,ポイントは3つ。「途中で」「一斉に」「自由に」使わせること。これが大原則です。,休憩中の電話対応や呼び出しはNG。完全に仕事から解放することが絶対条件です。,ちゃんと休ませることで、スタッフの集中力も店の雰囲気も、絶対良くなりますから。,忙しいから休憩なし、は通用しまへん。まず自店のシフト、見直してみてな。,家族経営の強み;売上目標の決め方;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;飲食店の店舗アカウントのプロフィール;飲食店は立地で決まる？
18,新任マネジャーがやりがちなミス,この春マネージャーになる方、これだけは絶対やったらあかんで。,「よっしゃ、俺がこの店変えたるで！」って、気合い入ってますよね。,いきなりメニュー変えたり、オペレーションに口出ししたりしてませんか？,それ、一番やったらあかんやつです。,良かれと思ってやったのに、古株のスタッフから総スカンくらって、現場がバラバラになりますよ。,「早く結果出さな、俺の価値ないって思われるんちゃうか…」って焦ってません？,新しい役職ついたら、何か大きなことせなあかんって思いますもんね。めっちゃわかります。,でもそれって、「前の店長の方が良かった」って言われたくないだけちゃいます？,その気持ちは大事やけど、焦って空回りしたら信頼を失うだけやで。,今日は新任マネージャーがまず最初にやるべき「たった一つの仕事」について話します。,いきなり改革するマネージャーと、まず現場を守るマネージャー。信頼されるのは圧倒的に後者です。,新しい店長って、いきなり店の秘伝のタレのレシピを変えようとするようなもんやねん。,新任マネージャーの最初の仕事は「何もしないこと」。現場の安心感を守ることです。,自分の存在価値を証明しようと色々変えるのは揉めるだけ。まずは観察、対話、リスペクト。,最初の1ヶ月は改革案を出すんやなくて、全員の名前と得意なことを覚える期間にしてください。,何かを変えることが仕事やない。みんなが安心して働ける場所を作ることが、一番の価値やから。,現場が普通に回る状態を維持すること。それがあなたの最初の、そして一番大事な仕事です。,開業3年以内に潰れる飲食店の共通点「自己流」は99％破滅の道;飲食店経営は数字が全て　でも数字の裏には人がいることを忘れるな;料理のこだわりより、提供の仕組み　味は記憶。動線は現実。;googleマップの口コミ=顧客体験（小手先で上げれるものではない）;エリアリサーチ　主導線と副動線
19,単価率上がるメニュー表の作り方,そのメニュー表、お客様のたった１秒のストレスがオーダーに繋がらんようにしてますよ。,「うちの看板メニュー、なんで注文されへんのやろ…」って悩んだことないですか？,あれもこれも食べてほしくて、メニューブックが商品のカタログみたいになってませんか？,でもそれ、お客様からしたら“選ぶのがしんどい”だけなんです。,このままやと、結局いつもの安いメニューしか頼まれへんから、客単価がずーっと上がらんのです。,「全部おすすめやから、どれも平等に載せなあかん」って思ってません？,一品一品に愛情があるからこそ、全部を魅力的に見せたい気持ち、めっちゃわかります。,でも本音は、お客様に迷わせるんじゃなくて、こっちが売りたいもんを気持ちよく選んでほしいんですよね。,その優しさが、逆にお客様の注文する気力を奪ってるって気づかなあきません。,今から、お客様が勝手に単価の高いもんを選んでくれるメニュー表の作り方、具体的に解説しますわ。,あかんメニュー表は“商品の図鑑”。ええメニュー表は“注文までの道案内”なんです。,旅行のガイドブックみたいに、「まずこれ、次にこれ」って自然に誘導できてますか？,答えはシンプルで、お客さんが“考えんでも選べる”状態を作ってあげることです。,ポイントは３つ。「松竹梅」で価格を見せる、写真を絞る、そして一番売りたいもんにだけキャッチコピーをつける。,まずは今のメニュー表を開いて、「もし自分が初めてのお客さんやったら、どれを頼むか」を３秒で決めてみてください。,メニュー表はただのリストやない。お店からの“最高のおもてなし”であり、最強の営業マンなんです。,単価が上がらんメニュー表は、だいたい全部を平等に扱ってしまってます。選ばせたいなら、まず“選ばんでええもん”を決めることからです。,新卒を採っても育たない本当の理由　教育者が正解を持ちすぎてる;オーナーしか作れない属人料理;最強の戦略は凡事徹底;地域密着型店舗の落とし穴;やりがいじゃなく仕掛けマネジメント
20,看板商品を定着させるスケジュールの公開,「うちは看板商品ないねん」って嘆いてるお店、それ看板化させる流れを知らんだけですわ。,うちにはコレ！っていう決め手がない…って、内心焦ってませんか？,とりあえず新メニューを次々出して、どれか当たればラッキー、みたいなことしてません？,それ、完全に運任せのギャンブルです。,そのやり方やと、結局どれも印象に残らんと、お客さんから静かに忘れられていくだけですよ。,看板商品って、ある日突然生まれる天才的な一品やと思てません？,僕も昔はそうでした。一発逆転できる魔法のメニューが欲しいってずっと思ってましたわ。,でも本音は「メニュー開発にそんな時間もお金もかけられへん…」ってことちゃいます？,その気持ちは痛いほどわかります。けど、待ってるだけでは看板商品は一生生まれません。,このリールでは、運任せやなく、計画的に看板商品を『育てる』ための具体的なスケジュールを全部お見せします。,完成品を待つ店はいつまでも迷走。育てる店はお客様と一緒に強くなります。,看板商品づくりって、実は子育てと一緒なんです。いきなり完璧な大人にはならへんでしょ？,ええですか、看板商品は『作る』もんやない。『育てる』もんなんです。,ポイントは３つだけ。「仮説メニュー」を決める、「お客様に試してもらう」、そして「声を聞いて改良する」。この繰り返しです。,まずは試作、写真撮影、レジ登録、SNSで告知。この流れをカレンダーに書き込むことから始めてください。,最初から100点のメニューなんてないんです。お客様と一緒に育てるって思ったら、ちょっと気楽になりませんか？,まずは「これを看板にしたい」ってメニュー、一つだけ決めてみましょ。,エリアリサーチ　主導線と副動線;売上あっても潰れるリアルな損益構造を全項目数値付きで可視化　FL・販管費・借入返済など;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;意思決定と合意形成;最強の戦略は凡事徹底
21,SNS伸ばし方ありますかって言われるけど,「SNSの伸ばし方ありますか？」ってよう聞かれるんですけど、包み隠さず全部話しますわ。,なんか魔法みたいな裏技があって、一発でバズる方法があるんちゃうかって思ってません？,いろんな人の投稿見ては「すごいな…」って感心して、結局自分の投稿はできずじまい。,それ、一番伸びひん人の考え方です。,ノウハウばっかり集めて行動せんかったら、ライバル店にお客さん全部取られて終わってまいますよ。,「投稿するネタもないし、どうせやっても無駄や…」って、やる前から諦めてる自分、いませんか？,わかりますよ。毎日お店のことで手一杯で、SNSまで頭回らん気持ち。,ほんまは「誰か代わりにやってくれへんかな」ってのが本音ちゃいます？,僕も昔はそうでした。でも、誰も助けてはくれへんのです。,でも安心してください。小手先のテクニックやない、ほんまにアカウントが育つ、たった一つのシンプルな方法を教えます。,テクニックを追いかける毎日と、淡々と投稿を続ける毎日。どっちが結果出るか、もうわかりますよね？,SNSってお店の『仕込み』と一緒なんです。毎日コツコツやらんと、いざって時にお客様に何も出されへんでしょ？,結論、すごいテクニックなんて探さんでええです。まずはショート動画を100本投稿してください。,クオリティは気にせんでOK。スマホで撮って、思ったこと喋るだけ。それで十分なんです。,今日から1日1本。「今日のまかない」とか「仕入れのこだわり」とか、何でもええからとにかく100本やり切るんです。,100本投稿する頃には、何がウケるか、どう見せたらええか、絶対に体でわかってきますから。,だいたいの人が100本までに心折れて辞めていく。やから、続けさえすれば、それだけで勝てるんです。,インスタグラマー集客はやめろ;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;売上が下がったときは割引じゃなく販路を増やせ;レトルト商品;今もコロナ前と同じやり方してる店　変わらないことがリスク
22,予約が増える店舗情報の最適化（NAP情報）,Google集客できてへん店、9割が致命的なミスしてるんです。,「色々やってるのに、なんで予約増えへんのやろ…」って、正直しんどいですよね。,グルメサイトも更新したし、Googleマップにも載ってるし、って安心してません？,でも、その情報が全部バラバラやったら、やってないのと同じなんです。,このままやと、お客さんは混乱して予約をやめるし、Googleからも「存在しない店」扱いされてしまいますよ。,「いやいや、店名も住所も合ってるし大丈夫やろ」って、心のどこかで思ってません？,ほんまはもっとネットから予約が入ってほしい。でも、何が正解か分からんのですよね。,こんな細かいこと気にするより、ええ料理作る方が大事やんかって思ってますよね。,その気持ち、めっちゃ分かります。でも、そのこだわりがお客さんに届いてへんかったら、もったいないだけですよ。,今日は、お金をかけずにGoogleからの予約を増やす、たった一つのシンプルなルールを教えます。,これを知らんままやと、頑張りが全部無駄になるかもしれへんのです。,お店の情報って、インターネット上の『表札』みたいなもん。住所がちょっとでも違ったら、手紙届かへんのと同じですわ。,やることは一つだけ。ネット上の全ての店舗情報を、一文字一句、完璧に統一してください。,例えば「Tokyo Cafe」って名前やったら、大文字小文字、半角全角スペースまで、全部のサイトで寸分違わず揃えるんです。,Google、食べログ、自社サイト、全部見比べてください。ついでにGoogleビジネスプロフィールの項目も全部埋めたら最強です。,こんな地味な作業が、あなたのお店の価値をちゃんと届けるための、一番大事な一歩になるんです。,Googleで損してるお店が多すぎる。まずは自分の店の『ネット上の表札』、今すぐチェックしてみてください。,FL60%なんて守っていたらやっていけない;人が辞めないチームの作り方　給与より信じたくなる空気があるか;飲食店経営は“戦時”と“平時”を分けて考えろ;財務三表の説明;SNSなんて正直めんどい　でも伝える努力をやめへん理由
23,リールで集客できない店の共通点：導線設計が間違ってます,リールで集客できひんお店、動画の質が問題やと思てません？ちゃうねん、見た後どうしたらええか分からんだけなんです。,めっちゃ頑張って動画作ってんのに、なんで予約に繋がらへんのやろ…ってなってません？,再生数は伸びたのに、コメント欄も予約もシーン…みたいなこと、ありませんか？,それ、動画のせいちゃうんです。,このままやと再生数だけが増えて、結局お店はガラガラ。時間と労力だけが消えていきますよ。,「いいね」は増えるけど、売上は変わらん…って、内心焦ってますよね？,僕も昔、再生数だけ追いかけてた時期ありましたから、その気持ちめっちゃ分かります。,「こんなに頑張ってるのに、なんで誰も来てくれへんのや」って、正直しんどいですよね。,でもそれ、お客さんが悪いんやなくて、お店までの道案内をしてへんだけなんです。,今日は、その再生数をちゃんと『来店予約』に変えるための、超重要な『導線設計』について話しますわ。,ただの『面白い動画』で終わるか、『行きたいお店』になるかの大きな分かれ道です。,ええ動画って、美味しそうな匂いみたいなもん。でも、お店の場所が分からんかったら誰も来られへんでしょ？,結論、リールを見た人が次に取るべき行動を、こっちでちゃんと用意したってください。,興味を持ってくれた人を、グルメサイトやGoogleマップに飛ばす。この一手間がめちゃくちゃ大事なんです。,動画の最後に『予約はプロフリンクから』って一言入れる。ハイライトでお店の場所をまとめる。すぐできますよね？,せっかく頑張って作った動画やから、ちゃんとお客さんをお店まで連れてきてあげましょ。,SNSは集客のゴールやない。あくまで、きっかけを作るトリガーやと思って取り組んでみてください。,無意識のクセが命取り（所作は人格、ふるまいはブランド）;今もコロナ前と同じやり方してる店　変わらないことがリスク;売上が下がったときは割引じゃなく販路を増やせ;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;家族経営の強み
24,営業電話が鳴り響く季節,営業電話への態度で、その店のレベル、全部バレてますよ。,正直、営業電話ってしんどいですよね。忙しい時に限って鳴るし…。,『結構です！』ってガチャ切りしたり、あからさまに面倒くさそうな声出したり、ついやってません？,でも、それ一番やったらアカンやつです。,その姿、スタッフは見てます。『あ、うちのトップは人見て態度変える人なんや』って、静かに信頼なくしていきますよ。,『いやいや、外部の人間にまで気ぃ遣うてられへんわ』って、心のどこかで思ってません？,分かります。目の前のお客さんとスタッフで手一杯。営業の相手してる暇なんてないって思いますよね。,『どうせ断んねんから、時間の無駄やん』って、それが本音ちゃいますか？,その気持ちは痛いほど分かる。でも、その態度こそが、店の空気をじわじわ壊していくんです。,このあと話すのは、たった一本の営業電話で、スタッフの信頼をむしろ勝ち取る方法です。,営業に雑な店ほど、スタッフへの扱いも雑になる。これ、ほんまに連動するんです。,営業マンって、いわば“店の外から来たお客さん”と一緒。その人に無愛想な店、ええ店やと思いますか？,結論、外部の営業への態度は、そのままスタッフへの無言のメッセージになってるんです。,人によって態度を変える上司を見たら、スタッフも『この店ではそうしてええんや』って学びます。,断る時でも『お電話ありがとうございます。でも今は必要ないんです、すみません』。この一言があるかないか、だけです。,特に新人の営業マンなんて、緊張してしどろもどろやったりする。その子にどう接するかで、あなたの器が試されてます。,誰にどう接してるか、スタッフは全部見てます。外部への態度は、最強の社内教育ですよ。,通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;限界利益;繁盛してる風に騙されるな　1日100人来ても、潰れる店がある理由;スタッフが辞めるのは、給料のせいだけじゃない;ABC分析
25,損益分岐点の計算方法,なんぼ儲けたらええんか、即答できひんの、かなりやばいですよ。,売上はそこそこあるのに、なんでか手元にお金が残らん…そんな経験ないですか？,「まあなんとかなるやろ」って、どんぶり勘定でやってしまったり…。ついやりがちですよね。,それ、目隠しで高速道路運転してるのと一緒です。,気づいたときには資金ショート寸前。黒字やのに潰れる店って、これが原因なんです。,正直、「数字とか計算とか苦手やねん…」って、後回しにしてません？,日々の仕込みや接客で手一杯で、そんな細かい計算してる暇ないわ！って気持ち、めっちゃわかります。,でも本音では、「このままのやり方で、ほんまに大丈夫なんか？」って不安、ずっと心のどっかにありません？,その不安、見て見ぬふりしてても、お店は勝手にはようはなりませんからね。,今日はややこしい話は抜きにして、自分のお店の「最低これだけは売らなアカン金額」がわかる、めっちゃ簡単な方法を教えます。,これを知らん経営は、ゴールのないマラソン。知ってる経営は、あと何キロ走ればええか分かるマラソンです。,お店って、シャッター開けた瞬間に家賃とか人件費で赤字からスタートするんです。その赤字を何日で回収できるか、そのゲームのルールブックが損益分岐点ですわ。,損益分岐点の計算、覚えるのはほんまにこれだけです。,損益分岐点売上は、「固定費 ÷ (1 − 変動費率)」。変動費率は、「変動費 ÷ 売上」で出せます。,まずは固定費。家賃、正社員人件費、借入返済とか、毎月絶対かかるお金を全部足してください。それだけで大きな一歩です。,この数字がパッと出てくるようになると、「ああ、うちはここまでやれば大丈夫なんや」って、経営の不安がスッと軽くなりますよ。,飲食店は毎月1日に赤字額が決まります。何日で回収するか計画がないのは、目隠し経営まっしぐらですよ。,無借金経営のデメリット;最強の戦略は凡事徹底;通販・実店舗・百貨店、全部やるべきほんまの理由は売上じゃなく耐性を作ってる;立地選び　一等地信仰が危ない理由;地域密着型店舗の落とし穴
26,物件を決める前にするエリアリサーチ方法（コンビニのレジと雑誌）,その物件契約、待ってください。難しいエリア分析、ほとんど意味ないですわ。,「ええ物件やけど、ほんまにお客さん来るんかな…」って不安になりますよね。,ネットで周辺の人口調べたり、競合店のリスト作ったりしてません？,それ、机上の空論です。,そのまま契約したら、オープン後「なんで誰も来ぇへんのや…」って家賃に押し潰されますよ。,「データ上は完璧なはずやのに…」って、オープン前から頭抱えてる姿、見えてません？,わかります。数字だけじゃ、そこに住む人の“リアルな顔”は見えてきませんもんね。,ほんまは「どんな人が、何時ごろに、何を求めてるか」が知りたいだけなんですよね。,その感覚、めっちゃ大事。でも、パソコンの前におっても答えは見つかりません。,今日は、お金も時間もかけずに、そのエリアの“本当の姿”を見抜く方法、教えますね。,分厚い調査レポートより、たった5分の“ある場所”の観察の方が、よっぽど精度高いです。,エリア分析って、味見と一緒ですわ。レシピだけ見てても、ほんまの味はわからんでしょ？,答えはシンプル。見るのは、候補地の近くにあるコンビニだけです。,チェックするのは2つだけ。「レジの台数」と「雑誌棚」。,レジが3台以上なら昼ピークが強い証拠。ビジネス誌が多ければ、サラリーマンがターゲットになります。,「あ、この人たちに来てほしい」っていうお客さんの顔が、具体的に見えてきますよ。,ええ物件は、データやなくて“人の流れ”が教えてくれます。,なぜ新入社員のエンゲージメントが3年で低下するのか;スタッフに任せる前に、なんでやるべきかの視座を揃える　自由＝放置じゃない;アルバイトの定着;チェーン店に勝つ方法;集客の相談より「人」に関する問い合わせが一番多い
27,"金曜19:30、ホール2人欠勤
回らない瞬間の捨てる業務",金曜19:30、ホール2人欠勤。もう今日回らんと思ったら、全部完璧にやろうとするの、今すぐやめてください。,もうどうにもならん…って、頭真っ白になってませんか？,ドリンクも料理も下げ膳も、全部普段通りやろうとして、逆に空回りしてません？,それ、一番お客様を待たせる原因になります。,このままやと、全部が中途半端になってクレームの嵐。信頼まで失いますよ。,「いや、気合いで乗り切るしかない」って、自分に無理させてませんか？,もちろん、お客様に迷惑かけたくないし、店のレベルを落としたくない。その気持ち、痛いほどわかります。,でも本音は、「誰か助けてくれ」って叫びたいくらいしんどいんちゃいます？,その責任感はほんまにすごい。でも、それで店が崩壊したら、誰のためにもならへんのです。,今日は、絶対無理な状況で店を崩壊させへんために、『捨てる業務』の決め方をお伝えします。,これを知らんままやと地獄の営業。知ってれば、なんとか乗り切れるサバイバルに変わります。,こういう緊急事態って、いわば野戦病院と一緒。全員を完璧には救われへん。命の優先順位が大事なんです。,やるべきことは一つです。回らんとわかった瞬間、『やらないこと』を即決するんです。,例えば、凝った盛り付け、お客様との長話、普段やってるプラスアルファのサービス。この3つは即捨ててください。,事前に「これやらんでも店は潰れへんリスト」を作っておくんです。オーダー、提供、会計。まずはこれだけ守りましょ。,完璧じゃなくてええんです。今日一日、店を守り抜くことが、オーナーの一番の仕事ですから。,ピークは付加価値を足す時間やない。最低限の約束を守り抜く時間です。捨てる勇気を持ちましょ。,飲食店の店舗アカウントのプロフィール;アルバイトがプロになる職場　マニュアルより哲学が共有されてるか？;メニュー開発は固定概念に囚われてはいけない（リフレーミング）;物件選びはなんかええな、じゃなくてロジックで選ばなあかん;なぜ新入社員のエンゲージメントが3年で低下するのか
