来店日,来店時間,合計,人数,商品点数,カテゴリー名,メニュー名,価格,注文数量,来店日時,曜日,会計ID
2025/8/9,11:49:41,1260.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-09 11:49:41,土,14
2025/8/9,11:49:41,1260.0,1.0,2.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-09 11:49:41,土,14
2025/8/9,11:57:06,1560.0,1.0,2.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-09 11:57:06,土,15
2025/8/9,11:57:06,1560.0,1.0,2.0,テイクアウト,TOチキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-09 11:57:06,土,15
2025/8/9,12:03:58,-1360.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,-680,1,2025-08-09 12:03:58,土,16
2025/8/9,12:03:58,-1360.0,1.0,2.0,テイクアウト,TO千休抹茶ラテ,-680,1,2025-08-09 12:03:58,土,16
2025/8/9,12:11:49,1490.0,1.0,2.0,物販,ローストアーモンドシュガーソルト 50g,890,1,2025-08-09 12:11:49,土,17
2025/8/9,12:11:49,1490.0,1.0,2.0,物販,地粉の薫 そうめん 200g,600,1,2025-08-09 12:11:49,土,17
2025/8/9,12:28:02,2700.0,1.0,4.0,ドリンク,あらびき茶→深蒸し煎茶 ゆたかみどり(和香園),580,1,2025-08-09 12:28:02,土,18
2025/8/9,12:28:02,2700.0,1.0,4.0,スイーツ,あんこわらび餅,680,1,2025-08-09 12:28:02,土,18
2025/8/9,12:28:02,2700.0,1.0,4.0,物販,きくち村の素朴なかりんとう 60g,550,1,2025-08-09 12:28:02,土,18
2025/8/9,12:28:02,2700.0,1.0,4.0,物販,きくち村の甘納豆 80g,890,1,2025-08-09 12:28:02,土,18
2025/8/9,13:00:21,2520.0,1.0,4.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-09 13:00:21,土,19
2025/8/9,13:00:21,2520.0,1.0,4.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-09 13:00:21,土,19
2025/8/9,13:00:21,2520.0,1.0,4.0,テイクアウト,TOあんこカヌレ,580,2,2025-08-09 13:00:21,土,19
2025/8/9,13:10:53,1760.0,1.0,2.0,テイクアウト,TO千休抹茶シェイク,880,2,2025-08-09 13:10:53,土,20
2025/8/9,13:15:38,980.0,1.0,1.0,テイクアウト,TOチキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-09 13:15:38,土,21
2025/8/9,13:38:50,1080.0,1.0,1.0,フード,魚プレート,1200,1,2025-08-09 13:38:50,土,22
2025/8/9,14:10:19,2520.0,1.0,4.0,ドリンク,千休抹茶ラテ,680,1,2025-08-09 14:10:19,土,23
2025/8/9,14:10:19,2520.0,1.0,4.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-09 14:10:19,土,23
2025/8/9,14:10:19,2520.0,1.0,4.0,スイーツ,あんこカヌレ,580,2,2025-08-09 14:10:19,土,23
2025/8/9,10:58:46,2820.0,3.0,4.0,テイクアウト,TOコーヒー,580,2,2025-08-09 10:58:46,土,24
2025/8/9,10:58:46,2820.0,3.0,4.0,テイクアウト,TOあんこわらび餅,680,1,2025-08-09 10:58:46,土,24
2025/8/9,10:58:46,2820.0,3.0,4.0,テイクアウト,TOだし巻きサンドイッチ,980,1,2025-08-09 10:58:46,土,24
2025/8/9,14:16:41,2820.0,1.0,4.0,ドリンク,コーヒー(HOT/ICE),580,2,2025-08-09 14:16:41,土,25
2025/8/9,14:16:41,2820.0,1.0,4.0,スイーツ,あんこわらび餅,680,1,2025-08-09 14:16:41,土,25
2025/8/9,14:16:41,2820.0,1.0,4.0,フード,だし巻きサンドイッチ,980,1,2025-08-09 14:16:41,土,25
2025/8/9,14:17:55,2520.0,3.0,4.0,ドリンク,千休抹茶ラテ,680,1,2025-08-09 14:17:55,土,26
2025/8/9,14:17:55,2520.0,3.0,4.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-09 14:17:55,土,26
2025/8/9,14:17:55,2520.0,3.0,4.0,スイーツ,あんこカヌレ,580,2,2025-08-09 14:17:55,土,26
2025/8/9,14:20:18,-2520.0,1.0,4.0,ドリンク,千休抹茶ラテ,-680,1,2025-08-09 14:20:18,土,27
2025/8/9,14:20:18,-2520.0,1.0,4.0,ドリンク,千休抹茶スカッシュ,-680,1,2025-08-09 14:20:18,土,27
2025/8/9,14:20:18,-2520.0,1.0,4.0,スイーツ,あんこカヌレ,-580,2,2025-08-09 14:20:18,土,27
2025/8/9,14:20:48,-2820.0,1.0,4.0,テイクアウト,TOコーヒー,-580,2,2025-08-09 14:20:48,土,28
2025/8/9,14:20:48,-2820.0,1.0,4.0,テイクアウト,TOあんこわらび餅,-680,1,2025-08-09 14:20:48,土,28
2025/8/9,14:20:48,-2820.0,1.0,4.0,テイクアウト,TOだし巻きサンドイッチ,-980,1,2025-08-09 14:20:48,土,28
2025/8/9,14:41:12,1560.0,1.0,2.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-09 14:41:12,土,29
2025/8/9,14:41:12,1560.0,1.0,2.0,テイクアウト,TO千休抹茶シェイク,880,1,2025-08-09 14:41:12,土,29
2025/8/9,14:49:44,4720.0,2.0,6.0,テイクアウト,TOあんこカヌレ,580,4,2025-08-09 14:49:44,土,30
2025/8/9,14:49:44,4720.0,2.0,6.0,フード,肉プレート,1200,1,2025-08-09 14:49:44,土,30
2025/8/9,14:49:44,4720.0,2.0,6.0,フード,魚プレート,1200,1,2025-08-09 14:49:44,土,30
2025/8/9,14:53:48,3540.0,2.0,4.0,ドリンク,千休抹茶ラテ,680,1,2025-08-09 14:53:48,土,31
2025/8/9,14:53:48,3540.0,2.0,4.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-09 14:53:48,土,31
2025/8/9,14:53:48,3540.0,2.0,4.0,フード,だし巻きサンドイッチ,980,1,2025-08-09 14:53:48,土,31
2025/8/9,14:53:48,3540.0,2.0,4.0,フード,カレープレート,1200,1,2025-08-09 14:53:48,土,31
2025/8/9,15:00:41,4450.0,1.0,6.0,テイクアウト,TOあんこカヌレ,580,2,2025-08-09 15:00:41,土,32
2025/8/9,15:00:41,4450.0,1.0,6.0,物販,TEAET フレーバーグリーンティー大隅ゆず 3g/6 個入,1540,1,2025-08-09 15:00:41,土,32
2025/8/9,15:00:41,4450.0,1.0,6.0,物販,きくち村の素朴なかりんとう 60g,550,2,2025-08-09 15:00:41,土,32
2025/8/9,15:00:41,4450.0,1.0,6.0,物販,オルガパンケーキミックス 150g,650,1,2025-08-09 15:00:41,土,32
2025/8/9,15:32:33,1560.0,1.0,2.0,テイクアウト,TO千休抹茶スカッシュ,680,1,2025-08-09 15:32:33,土,33
2025/8/9,15:32:33,1560.0,1.0,2.0,テイクアウト,TO千休抹茶シェイク,880,1,2025-08-09 15:32:33,土,33
2025/8/9,15:41:22,1260.0,1.0,2.0,テイクアウト,TO千休抹茶スカッシュ,680,1,2025-08-09 15:41:22,土,34
2025/8/9,15:41:22,1260.0,1.0,2.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-09 15:41:22,土,34
2025/8/9,15:43:31,680.0,2.0,1.0,スイーツ,あんこわらび餅,680,1,2025-08-09 15:43:31,土,35
2025/8/9,16:02:48,1940.0,1.0,3.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-09 16:02:48,土,36
2025/8/9,16:02:48,1940.0,1.0,3.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-09 16:02:48,土,36
2025/8/9,16:02:48,1940.0,1.0,3.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-09 16:02:48,土,36
2025/8/9,15:50:40,1260.0,1.0,2.0,ドリンク,あんこカフェ・オレ,680,1,2025-08-09 15:50:40,土,37
2025/8/9,15:50:40,1260.0,1.0,2.0,スイーツ,あんこカヌレ,580,1,2025-08-09 15:50:40,土,37
2025/8/9,16:24:16,1260.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-09 16:24:16,土,38
2025/8/9,16:24:16,1260.0,1.0,2.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-09 16:24:16,土,38
2025/8/9,15:54:03,1280.0,1.0,3.0,スイーツ,あんこカヌレ,580,1,2025-08-09 15:54:03,土,39
2025/8/9,15:54:03,1280.0,1.0,3.0,物販,きくち村の素朴なかりんとう 60g,550,1,2025-08-09 15:54:03,土,39
2025/8/9,15:54:03,1280.0,1.0,3.0,ドリンクセット,ドリンクセット(コーヒー),150,1,2025-08-09 15:54:03,土,39
2025/8/9,17:09:04,1360.0,1.0,2.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-09 17:09:04,土,40
2025/8/9,17:09:04,1360.0,1.0,2.0,スイーツ,あんこわらび餅,680,1,2025-08-09 17:09:04,土,40
2025/8/9,18:43:32,680.0,1.0,1.0,テイクアウト,TOあんこわらび餅,680,1,2025-08-09 18:43:32,土,41
2025/8/9,19:00:52,4010.0,2.0,6.0,ドリンク,あんこカフェ・オレ,680,1,2025-08-09 19:00:52,土,42
2025/8/9,19:00:52,4010.0,2.0,6.0,ドリンク,千休抹茶ラテ,680,1,2025-08-09 19:00:52,土,42
2025/8/9,19:00:52,4010.0,2.0,6.0,フード,魚プレート,1200,2,2025-08-09 19:00:52,土,42
2025/8/9,19:00:52,4010.0,2.0,6.0,ドリンク,オーツミルク,100,1,2025-08-09 19:00:52,土,42
2025/8/9,19:00:52,4010.0,2.0,6.0,ドリンクセット,ドリンクセット(コーヒー),150,1,2025-08-09 19:00:52,土,42
2025/8/9,19:08:13,1160.0,1.0,2.0,テイクアウト,TOあんこカヌレ,580,2,2025-08-09 19:08:13,土,43
2025/8/9,21:11:28,1200.0,1.0,1.0,フード,肉プレート,1200,1,2025-08-09 21:11:28,土,44
2025/8/10,11:56:40,730.0,1.0,2.0,スイーツ,あんこカヌレ,580,1,2025-08-10 11:56:40,日,45
2025/8/10,11:56:40,730.0,1.0,2.0,ドリンクセット,ドリンクセット(コーヒー),150,1,2025-08-10 11:56:40,日,45
2025/8/10,14:03:05,2340.0,1.0,3.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-10 14:03:05,日,46
2025/8/10,14:03:05,2340.0,1.0,3.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-10 14:03:05,日,46
2025/8/10,14:03:05,2340.0,1.0,3.0,テイクアウト,TOだし巻きサンドイッチ,980,1,2025-08-10 14:03:05,日,46
2025/8/10,12:42:50,5180.0,3.0,7.0,ドリンク,千休抹茶ラテ,680,2,2025-08-10 12:42:50,日,47
2025/8/10,12:42:50,5180.0,3.0,7.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-10 12:42:50,日,47
2025/8/10,12:42:50,5180.0,3.0,7.0,スイーツ,あんこわらび餅,680,1,2025-08-10 12:42:50,日,47
2025/8/10,12:42:50,5180.0,3.0,7.0,テイクアウト,TOあんこわらび餅,680,1,2025-08-10 12:42:50,日,47
2025/8/10,12:42:50,5180.0,3.0,7.0,スイーツ,あんこカヌレ,580,1,2025-08-10 12:42:50,日,47
2025/8/10,12:42:50,5180.0,3.0,7.0,フード,肉プレート,1200,1,2025-08-10 12:42:50,日,47
2025/8/10,12:44:05,1260.0,1.0,2.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-10 12:44:05,日,48
2025/8/10,12:44:05,1260.0,1.0,2.0,スイーツ,あんこカヌレ,580,1,2025-08-10 12:44:05,日,48
2025/8/10,14:47:05,1660.0,1.0,2.0,ドリンク,あんこカフェ・オレ,680,1,2025-08-10 14:47:05,日,49
2025/8/10,14:47:05,1660.0,1.0,2.0,フード,チキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-10 14:47:05,日,49
2025/8/10,14:57:11,1260.0,1.0,2.0,ドリンク,千休抹茶ラテ,680,1,2025-08-10 14:57:11,日,50
2025/8/10,14:57:11,1260.0,1.0,2.0,スイーツ,あんこカヌレ,580,1,2025-08-10 14:57:11,日,50
2025/8/10,15:19:00,2240.0,2.0,4.0,ドリンク,あらびき茶→深蒸し煎茶 ゆたかみどり(和香園),580,1,2025-08-10 15:19:00,日,51
2025/8/10,15:19:00,2240.0,2.0,4.0,ドリンク,千休抹茶ラテ,680,1,2025-08-10 15:19:00,日,51
2025/8/10,15:19:00,2240.0,2.0,4.0,スイーツ,あんこわらび餅,680,1,2025-08-10 15:19:00,日,51
2025/8/10,15:19:00,2240.0,2.0,4.0,ドリンク,お子さまアップルジュース,300,1,2025-08-10 15:19:00,日,51
2025/8/10,15:58:44,2394.0,1.0,3.0,テイクアウト,TOあんこカヌレ,580,2,2025-08-10 15:58:44,日,52
2025/8/10,15:58:44,2394.0,1.0,3.0,フード,すき焼き（HEGE）,1500,1,2025-08-10 15:58:44,日,52
2025/8/10,16:26:24,612.0,1.0,1.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-10 16:26:24,日,53
2025/8/10,15:54:11,2800.0,1.0,3.0,ドリンク,カフェ・オレ,580,1,2025-08-10 15:54:11,日,54
2025/8/10,15:54:11,2800.0,1.0,3.0,スイーツ,あんこカヌレ,580,1,2025-08-10 15:54:11,日,54
2025/8/10,15:54:11,2800.0,1.0,3.0,物販,宇治抹茶ラテ「あさゆう」※,1640,1,2025-08-10 15:54:11,日,54
2025/8/10,18:43:46,2300.0,1.0,3.0,ドリンク,千休抹茶ラテ,680,1,2025-08-10 18:43:46,日,55
2025/8/10,18:43:46,2300.0,1.0,3.0,フード,すき焼き（HEGE）,1500,1,2025-08-10 18:43:46,日,55
2025/8/10,18:43:46,2300.0,1.0,3.0,テイクアウト,とうもろこし,120,1,2025-08-10 18:43:46,日,55
2025/8/10,19:37:20,3540.0,1.0,2.0,物販,TEAET フレーバーグリーンティー大隅ゆず 3g/6 個入,1540,1,2025-08-10 19:37:20,日,56
2025/8/10,19:37:20,3540.0,1.0,2.0,物販,クリエーションタビ シロ×シルバーラメ,2000,1,2025-08-10 19:37:20,日,56
2025/8/11,11:30:27,980.0,1.0,1.0,テイクアウト,TOチキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-11 11:30:27,月,57
2025/8/11,11:35:33,1160.0,1.0,2.0,テイクアウト,TOあんこカヌレ,580,2,2025-08-11 11:35:33,月,58
2025/8/11,12:18:15,2720.0,1.0,4.0,テイクアウト,TOあんこカヌレ,580,3,2025-08-11 12:18:15,月,59
2025/8/11,12:18:15,2720.0,1.0,4.0,テイクアウト,TOだし巻きサンドイッチ,980,1,2025-08-11 12:18:15,月,59
2025/8/11,12:34:42,580.0,1.0,1.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-11 12:34:42,月,60
2025/8/11,11:50:10,3580.0,2.0,5.0,スイーツ,あんこカヌレ,580,1,2025-08-11 11:50:10,月,61
2025/8/11,11:50:10,3580.0,2.0,5.0,フード,魚プレート,1200,1,2025-08-11 11:50:10,月,61
2025/8/11,11:50:10,3580.0,2.0,5.0,フード,すき焼き（HEGE）,1500,1,2025-08-11 11:50:10,月,61
2025/8/11,11:50:10,3580.0,2.0,5.0,ドリンクセット,ドリンクセット(煎茶),150,2,2025-08-11 11:50:10,月,61
2025/8/11,11:53:49,3210.0,2.0,4.0,スイーツ,あんこカヌレ,580,1,2025-08-11 11:53:49,月,62
2025/8/11,11:53:49,3210.0,2.0,4.0,フード,チキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-11 11:53:49,月,62
2025/8/11,11:53:49,3210.0,2.0,4.0,フード,すき焼き（HEGE）,1500,1,2025-08-11 11:53:49,月,62
2025/8/11,11:53:49,3210.0,2.0,4.0,ドリンクセット,ドリンクセット(コーヒー),150,1,2025-08-11 11:53:49,月,62
2025/8/11,12:23:45,3730.0,2.0,4.0,テイクアウト,TO千休抹茶シェイク,880,1,2025-08-11 12:23:45,月,63
2025/8/11,12:23:45,3730.0,2.0,4.0,フード,カレープレート,1200,1,2025-08-11 12:23:45,月,63
2025/8/11,12:23:45,3730.0,2.0,4.0,フード,すき焼き（HEGE）,1500,1,2025-08-11 12:23:45,月,63
2025/8/11,12:23:45,3730.0,2.0,4.0,ドリンクセット,ドリンクセット(コーヒー),150,1,2025-08-11 12:23:45,月,63
2025/8/11,13:03:38,1740.0,4.0,3.0,ドリンク,あんこカフェ・オレ,680,1,2025-08-11 13:03:38,月,64
2025/8/11,13:03:38,1740.0,4.0,3.0,ドリンク,コーヒー(HOT/ICE),580,1,2025-08-11 13:03:38,月,64
2025/8/11,13:03:38,1740.0,4.0,3.0,ドリンク,グレープフルーツジュース,480,1,2025-08-11 13:03:38,月,64
2025/8/11,12:36:44,3540.0,2.0,4.0,ドリンク,千休抹茶スカッシュ,680,2,2025-08-11 12:36:44,月,65
2025/8/11,12:36:44,3540.0,2.0,4.0,フード,チキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-11 12:36:44,月,65
2025/8/11,12:36:44,3540.0,2.0,4.0,フード,肉プレート,1200,1,2025-08-11 12:36:44,月,65
2025/8/11,14:16:05,1360.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-11 14:16:05,月,66
2025/8/11,14:16:05,1360.0,1.0,2.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-11 14:16:05,月,66
2025/8/11,14:14:09,1080.0,1.0,1.0,フード,魚プレート,1200,1,2025-08-11 14:14:09,月,67
2025/8/11,13:23:44,2480.0,3.0,4.0,フード,だし巻きサンドイッチ,980,1,2025-08-11 13:23:44,月,68
2025/8/11,13:23:44,2480.0,3.0,4.0,フード,魚プレート,1200,1,2025-08-11 13:23:44,月,68
2025/8/11,13:23:44,2480.0,3.0,4.0,ドリンクセット,ドリンクセット(コーヒー),150,2,2025-08-11 13:23:44,月,68
2025/8/11,14:47:03,1360.0,1.0,2.0,テイクアウト,TO千休抹茶ラテ,680,2,2025-08-11 14:47:03,月,69
2025/8/11,12:56:36,3670.0,1.0,6.0,テイクアウト,TOあんこカヌレ,580,4,2025-08-11 12:56:36,月,70
2025/8/11,12:56:36,3670.0,1.0,6.0,フード,魚プレート,1200,1,2025-08-11 12:56:36,月,70
2025/8/11,12:56:36,3670.0,1.0,6.0,ドリンクセット,ドリンクセット(グレープフルーツ),150,1,2025-08-11 12:56:36,月,70
2025/8/11,14:43:58,1510.0,2.0,4.0,ドリンク,あんこカフェ・オレ,680,1,2025-08-11 14:43:58,月,71
2025/8/11,14:43:58,1510.0,2.0,4.0,ドリンク,千休抹茶ラテ,680,1,2025-08-11 14:43:58,月,71
2025/8/11,14:43:58,1510.0,2.0,4.0,ドリンク,アーモンドミルク,50,1,2025-08-11 14:43:58,月,71
2025/8/11,14:43:58,1510.0,2.0,4.0,ドリンク,オーツミルク,100,1,2025-08-11 14:43:58,月,71
2025/8/11,15:35:43,1660.0,1.0,2.0,ドリンク,千休抹茶ラテ,680,1,2025-08-11 15:35:43,月,72
2025/8/11,15:35:43,1660.0,1.0,2.0,フード,だし巻きサンドイッチ,980,1,2025-08-11 15:35:43,月,72
2025/8/11,15:58:20,1260.0,1.0,2.0,ドリンク,あらびき茶→深蒸し煎茶 ゆたかみどり(和香園),580,1,2025-08-11 15:58:20,月,73
2025/8/11,15:58:20,1260.0,1.0,2.0,スイーツ,あんこわらび餅,680,1,2025-08-11 15:58:20,月,73
2025/8/11,15:16:19,1840.0,2.0,3.0,ドリンク,コーヒー(HOT/ICE),580,1,2025-08-11 15:16:19,月,74
2025/8/11,15:16:19,1840.0,2.0,3.0,ドリンク,千休抹茶ラテ,680,1,2025-08-11 15:16:19,月,74
2025/8/11,15:16:19,1840.0,2.0,3.0,スイーツ,あんこカヌレ,580,1,2025-08-11 15:16:19,月,74
2025/8/11,16:47:41,1640.0,1.0,1.0,物販,宇治抹茶ラテ「あさゆう」※,1640,1,2025-08-11 16:47:41,月,75
2025/8/11,16:52:43,1080.0,1.0,1.0,フード,カレープレート,1200,1,2025-08-11 16:52:43,月,76
2025/8/11,17:03:52,1940.0,1.0,3.0,テイクアウト,TO千休抹茶ラテ,680,1,2025-08-11 17:03:52,月,77
2025/8/11,17:03:52,1940.0,1.0,3.0,テイクアウト,TOあんこわらび餅,680,1,2025-08-11 17:03:52,月,77
2025/8/11,17:03:52,1940.0,1.0,3.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-11 17:03:52,月,77
2025/8/11,18:29:23,1360.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-11 18:29:23,月,78
2025/8/11,18:29:23,1360.0,1.0,2.0,テイクアウト,TOあんこわらび餅,680,1,2025-08-11 18:29:23,月,78
2025/8/11,18:35:26,680.0,1.0,1.0,ドリンク,千休抹茶ラテ,680,1,2025-08-11 18:35:26,月,79
2025/8/11,18:00:00,1260.0,2.0,2.0,ドリンク,栄養紅茶(HOT/ICE),580,1,2025-08-11 18:00:00,月,80
2025/8/11,18:00:00,1260.0,2.0,2.0,スイーツ,あんこわらび餅,680,1,2025-08-11 18:00:00,月,80
2025/8/11,19:06:33,1350.0,1.0,2.0,フード,魚プレート,1200,1,2025-08-11 19:06:33,月,81
2025/8/11,19:06:33,1350.0,1.0,2.0,ドリンクセット,ドリンクセット(煎茶),150,1,2025-08-11 19:06:33,月,81
2025/8/11,18:00:21,2030.0,1.0,3.0,スイーツ,あんこわらび餅,680,1,2025-08-11 18:00:21,月,82
2025/8/11,18:00:21,2030.0,1.0,3.0,フード,魚プレート,1200,1,2025-08-11 18:00:21,月,82
2025/8/11,18:00:21,2030.0,1.0,3.0,ドリンクセット,ドリンクセット(コーヒー),150,1,2025-08-11 18:00:21,月,82
2025/8/11,19:15:42,612.0,1.0,1.0,テイクアウト,TO千休抹茶スカッシュ,680,1,2025-08-11 19:15:42,月,83
2025/8/11,19:09:52,680.0,1.0,1.0,ドリンク,千休抹茶ラテ,680,1,2025-08-11 19:09:52,月,84
2025/8/13,11:46:01,2140.0,2.0,3.0,ドリンク,コーヒー(HOT/ICE),580,1,2025-08-13 11:46:01,水,85
2025/8/13,11:46:01,2140.0,2.0,3.0,ドリンク,千休抹茶シェイク,880,1,2025-08-13 11:46:01,水,85
2025/8/13,11:46:01,2140.0,2.0,3.0,スイーツ,あんこわらび餅,680,1,2025-08-13 11:46:01,水,85
2025/8/13,12:25:21,730.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-13 12:25:21,水,86
2025/8/13,12:25:21,730.0,1.0,2.0,テイクアウト,TOアーモンドミルク,50,1,2025-08-13 12:25:21,水,86
2025/8/13,12:43:52,1260.0,1.0,2.0,テイクアウト,TOあんこカフェ・オレ,680,1,2025-08-13 12:43:52,水,87
2025/8/13,12:43:52,1260.0,1.0,2.0,テイクアウト,TOあんこカヌレ,580,1,2025-08-13 12:43:52,水,87
2025/8/13,12:44:59,2700.0,2.0,4.0,フード,肉プレート,1200,1,2025-08-13 12:44:59,水,88
2025/8/13,12:44:59,2700.0,2.0,4.0,フード,魚プレート,1200,1,2025-08-13 12:44:59,水,88
2025/8/13,12:44:59,2700.0,2.0,4.0,ドリンクセット,ドリンクセット(紅茶),150,2,2025-08-13 12:44:59,水,88
2025/8/13,12:31:42,2920.0,2.0,4.0,ドリンク,千休抹茶ラテ,680,1,2025-08-13 12:31:42,水,89
2025/8/13,12:31:42,2920.0,2.0,4.0,ドリンク,千休抹茶スカッシュ,680,1,2025-08-13 12:31:42,水,89
2025/8/13,12:31:42,2920.0,2.0,4.0,スイーツ,あんこカヌレ,580,1,2025-08-13 12:31:42,水,89
2025/8/13,12:31:42,2920.0,2.0,4.0,フード,チキンソテーと彩り野菜のサンドイッチ,980,1,2025-08-13 12:31:42,水,89
2025/8/13,13:34:24,680.0,1.0,1.0,ドリンク,あんこカフェ・オレ,680,1,2025-08-13 13:34:24,水,90
2025/8/13,14:07:34,1460.0,1.0,2.0,テイクアウト,TOカフェ・オレ,580,1,2025-08-13 14:07:34,水,91
2025/8/13,14:07:34,1460.0,1.0,2.0,テイクアウト,TO千休抹茶シェイク,880,1,2025-08-13 14:07:34,水,91
